"geneid","CpG_count"
"SPU_000628",6
"SPU_000631",5
"SPU_000632",9
"SPU_000640",25
"SPU_000645",37
"SPU_000658",9
"SPU_000662",8
"SPU_000667",6
"SPU_000668",20
"SPU_000669",46
"SPU_000673",95
"SPU_000678",3
"SPU_000680",4
"SPU_000687",6
"SPU_000688",5
"SPU_000692",2
"SPU_000699",10
"SPU_000702",32
"SPU_000712",1
"SPU_000721",29
"SPU_000722",22
"SPU_000730",9
"SPU_000740",2
"SPU_000742",10
"SPU_000743",1
"SPU_000748",27
"SPU_000749",2
"SPU_000750",9
"SPU_000756",4
"SPU_000759",152
"SPU_000760",14
"SPU_000764",45
"SPU_000765",3
"SPU_000767",19
"SPU_000776",2
"SPU_000783",4
"SPU_000790",28
"SPU_000791",5
"SPU_000794",2
"SPU_000798",12
"SPU_000801",7
"SPU_000806",1
"SPU_000808",3
"SPU_000818",26
"SPU_000819",126
"SPU_000828",11
"SPU_000830",3
"SPU_000832",4
"SPU_000838",4
"SPU_000839",7
"SPU_000840",8
"SPU_000851",1
"SPU_000856",51
"SPU_000858",4
"SPU_000860",19
"SPU_000869",3
"SPU_000873",4
"SPU_000878",15
"SPU_000882",9
"SPU_000883",22
"SPU_000887",4
"SPU_000889",70
"SPU_000890",124
"SPU_000891",1
"SPU_000899",1
"SPU_000906",3
"SPU_000912",5
"SPU_000920",16
"SPU_000921",25
"SPU_000925",9
"SPU_000939",9
"SPU_000940",1
"SPU_000952",33
"SPU_000957",6
"SPU_000964",1
"SPU_000967",2
"SPU_000968",5
"SPU_000969",1
"SPU_000970",15
"SPU_000971",13
"SPU_000992",56
"SPU_001013",4
"SPU_001017",6
"SPU_001031",4
"SPU_001037",56
"SPU_001041",34
"SPU_001049",27
"SPU_001054",4
"SPU_001056",2
"SPU_001057",24
"SPU_001058",5
"SPU_001068",7
"SPU_001069",3
"SPU_001071",8
"SPU_001076",3
"SPU_001077",24
"SPU_001083",90
"SPU_001084",47
"SPU_001085",65
"SPU_001086",8
"SPU_001087",9
"SPU_001088",3
"SPU_001092",3
"SPU_001114",15
"SPU_001120",8
"SPU_001123",2
"SPU_001125",22
"SPU_001127",1
"SPU_001128",6
"SPU_001131",2
"SPU_001136",16
"SPU_001138",28
"SPU_001141",5
"SPU_001142",2
"SPU_001149",10
"SPU_001154",3
"SPU_001163",2
"SPU_001165",35
"SPU_001166",14
"SPU_001168",3
"SPU_001170",131
"SPU_001172",10
"SPU_001181",3
"SPU_001182",31
"SPU_001185",2
"SPU_001198",8
"SPU_001200",11
"SPU_001202",1
"SPU_001211",3
"SPU_001213",1
"SPU_001224",6
"SPU_001225",34
"SPU_001235",73
"SPU_001237",26
"SPU_001248",5
"SPU_001250",56
"SPU_001252",1
"SPU_001255",44
"SPU_001263",11
"SPU_001264",3
"SPU_001266",3
"SPU_001269",3
"SPU_001270",7
"SPU_001273",17
"SPU_001274",16
"SPU_001277",61
"SPU_001283",2
"SPU_001285",53
"SPU_001288",1
"SPU_001291",1
"SPU_001293",5
"SPU_001296",4
"SPU_001302",3
"SPU_001305",7
"SPU_001311",10
"SPU_001314",1
"SPU_001315",13
"SPU_001320",1
"SPU_001322",3
"SPU_001336",14
"SPU_001342",5
"SPU_001349",8
"SPU_001352",2
"SPU_001355",1
"SPU_001356",1
"SPU_001358",3
"SPU_001359",3
"SPU_001376",3
"SPU_001380",5
"SPU_001381",4
"SPU_001388",3
"SPU_001393",12
"SPU_001395",3
"SPU_001396",11
"SPU_001397",62
"SPU_001398",4
"SPU_001399",5
"SPU_001400",16
"SPU_001408",4
"SPU_001419",14
"SPU_001421",8
"SPU_001424",1
"SPU_001430",11
"SPU_001434",5
"SPU_001436",3
"SPU_001444",1
"SPU_001448",17
"SPU_001450",5
"SPU_001454",1
"SPU_001457",6
"SPU_001469",6
"SPU_001470",17
"SPU_001471",1
"SPU_001476",28
"SPU_001477",61
"SPU_001479",11
"SPU_001480",2
"SPU_001493",77
"SPU_001494",46
"SPU_001495",1
"SPU_001496",1
"SPU_001498",5
"SPU_001501",2
"SPU_001514",7
"SPU_001515",4
"SPU_001518",44
"SPU_001519",10
"SPU_001528",3
"SPU_001531",19
"SPU_001532",4
"SPU_001533",1
"SPU_001535",12
"SPU_001537",41
"SPU_001539",2
"SPU_001545",19
"SPU_001548",9
"SPU_001555",4
"SPU_001557",2
"SPU_001559",6
"SPU_001560",31
"SPU_001562",15
"SPU_001566",14
"SPU_001569",9
"SPU_001570",3
"SPU_001572",1
"SPU_001578",19
"SPU_001584",1
"SPU_001586",37
"SPU_001587",11
"SPU_001596",3
"SPU_001599",8
"SPU_001601",13
"SPU_001606",2
"SPU_001608",11
"SPU_001609",1
"SPU_001610",5
"SPU_001614",1
"SPU_001621",17
"SPU_001633",4
"SPU_001634",1
"SPU_001636",3
"SPU_001638",4
"SPU_001641",17
"SPU_001643",9
"SPU_001648",23
"SPU_001667",4
"SPU_001669",5
"SPU_001671",6
"SPU_001679",1
"SPU_001689",6
"SPU_001702",21
"SPU_001706",42
"SPU_001708",8
"SPU_001713",2
"SPU_001722",10
"SPU_001735",1
"SPU_001738",2
"SPU_001739",27
"SPU_001751",3
"SPU_001754",10
"SPU_001756",5
"SPU_001761",6
"SPU_001762",4
"SPU_001765",4
"SPU_001766",1
"SPU_001768",15
"SPU_001780",28
"SPU_001782",43
"SPU_001785",21
"SPU_001786",1
"SPU_001794",11
"SPU_001796",6
"SPU_001797",14
"SPU_001799",38
"SPU_001807",1
"SPU_001817",2
"SPU_001826",2
"SPU_001829",2
"SPU_001836",19
"SPU_001846",5
"SPU_001854",9
"SPU_001855",5
"SPU_001856",21
"SPU_001859",2
"SPU_001860",5
"SPU_001864",3
"SPU_001865",2
"SPU_001866",8
"SPU_001867",2
"SPU_001871",6
"SPU_001876",42
"SPU_001879",34
"SPU_001889",3
"SPU_001890",14
"SPU_001892",9
"SPU_001893",2
"SPU_001898",5
"SPU_001900",2
"SPU_001903",1
"SPU_001905",3
"SPU_001910",3
"SPU_001916",5
"SPU_001917",6
"SPU_001919",3
"SPU_001920",10
"SPU_001922",2
"SPU_001928",6
"SPU_001933",5
"SPU_001937",5
"SPU_001942",3
"SPU_001944",6
"SPU_001945",124
"SPU_001949",4
"SPU_001955",4
"SPU_001956",10
"SPU_001958",2
"SPU_001968",13
"SPU_001975",30
"SPU_001977",2
"SPU_001980",5
"SPU_002004",16
"SPU_002006",6
"SPU_002007",17
"SPU_002024",1
"SPU_002025",22
"SPU_002028",1
"SPU_002033",7
"SPU_002041",1
"SPU_002044",9
"SPU_002047",4
"SPU_002048",2
"SPU_002049",4
"SPU_002058",23
"SPU_002066",27
"SPU_002070",3
"SPU_002071",5
"SPU_002074",128
"SPU_002075",4
"SPU_002080",17
"SPU_002081",4
"SPU_002086",90
"SPU_002093",68
"SPU_002096",2
"SPU_002103",6
"SPU_002105",3
"SPU_002106",17
"SPU_002107",24
"SPU_002110",14
"SPU_002114",3
"SPU_002117",4
"SPU_002120",1
"SPU_002121",10
"SPU_002124",3
"SPU_002129",2
"SPU_002140",15
"SPU_002147",2
"SPU_002149",4
"SPU_002155",13
"SPU_002158",2
"SPU_002173",5
"SPU_002177",15
"SPU_002178",13
"SPU_002184",2
"SPU_002185",3
"SPU_002191",13
"SPU_002202",8
"SPU_002203",4
"SPU_002205",1
"SPU_002207",7
"SPU_002209",275
"SPU_002214",23
"SPU_002223",3
"SPU_002229",1
"SPU_002230",4
"SPU_002235",7
"SPU_002241",3
"SPU_002244",9
"SPU_002246",46
"SPU_002249",12
"SPU_002258",3
"SPU_002269",6
"SPU_002270",3
"SPU_002296",1
"SPU_002303",8
"SPU_002306",4
"SPU_002314",29
"SPU_002319",16
"SPU_002320",10
"SPU_002323",11
"SPU_002324",1
"SPU_002328",22
"SPU_002345",2
"SPU_002349",66
"SPU_002353",5
"SPU_002355",21
"SPU_002356",18
"SPU_002359",49
"SPU_002365",2
"SPU_002366",2
"SPU_002374",7
"SPU_002375",10
"SPU_002376",2
"SPU_002380",5
"SPU_002387",2
"SPU_002388",20
"SPU_002390",23
"SPU_002393",23
"SPU_002394",5
"SPU_002398",34
"SPU_002402",16
"SPU_002410",104
"SPU_002420",18
"SPU_002423",14
"SPU_002424",2
"SPU_002425",25
"SPU_002428",4
"SPU_002429",4
"SPU_002431",7
"SPU_002437",4
"SPU_002443",4
"SPU_002444",18
"SPU_002461",5
"SPU_002469",3
"SPU_002470",32
"SPU_002475",46
"SPU_002476",3
"SPU_002481",5
"SPU_002503",28
"SPU_002509",111
"SPU_002510",3
"SPU_002512",2
"SPU_002513",2
"SPU_002514",3
"SPU_002531",2
"SPU_002532",24
"SPU_002533",7
"SPU_002536",13
"SPU_002540",4
"SPU_002550",12
"SPU_002552",5
"SPU_002555",3
"SPU_002559",1
"SPU_002579",150
"SPU_002583",13
"SPU_002588",3
"SPU_002592",18
"SPU_002593",17
"SPU_002596",11
"SPU_002613",1
"SPU_002615",16
"SPU_002617",3
"SPU_002628",8
"SPU_002629",83
"SPU_002630",4
"SPU_002631",13
"SPU_002636",6
"SPU_002642",5
"SPU_002645",5
"SPU_002646",1
"SPU_002647",2
"SPU_002648",1
"SPU_002649",10
"SPU_002657",5
"SPU_002661",5
"SPU_002673",187
"SPU_002677",16
"SPU_002682",30
"SPU_002684",5
"SPU_002700",6
"SPU_002707",12
"SPU_002708",5
"SPU_002714",1
"SPU_002719",7
"SPU_002731",3
"SPU_002732",1
"SPU_002736",11
"SPU_002739",10
"SPU_002740",5
"SPU_002743",4
"SPU_002748",2
"SPU_002753",2
"SPU_002757",1
"SPU_002758",7
"SPU_002759",15
"SPU_002763",3
"SPU_002774",5
"SPU_002775",2
"SPU_002778",1
"SPU_002779",2
"SPU_002781",11
"SPU_002782",3
"SPU_002783",62
"SPU_002784",5
"SPU_002788",2
"SPU_002795",3
"SPU_002810",3
"SPU_002812",6
"SPU_002813",11
"SPU_002819",1
"SPU_002821",1
"SPU_002827",18
"SPU_002829",2
"SPU_002832",4
"SPU_002834",37
"SPU_002842",2
"SPU_002848",12
"SPU_002850",3
"SPU_002851",8
"SPU_002857",52
"SPU_002869",4
"SPU_002871",2
"SPU_002874",7
"SPU_002876",3
"SPU_002882",28
"SPU_002887",4
"SPU_002895",6
"SPU_002897",31
"SPU_002901",3
"SPU_002903",3
"SPU_002907",5
"SPU_002908",3
"SPU_002917",1
"SPU_002921",5
"SPU_002924",1
"SPU_002930",25
"SPU_002934",6
"SPU_002939",18
"SPU_002940",15
"SPU_002941",12
"SPU_002948",19
"SPU_002961",10
"SPU_002962",12
"SPU_002964",1
"SPU_002966",6
"SPU_002970",8
"SPU_002971",23
"SPU_002973",3
"SPU_002975",14
"SPU_002976",5
"SPU_002981",24
"SPU_002982",4
"SPU_002985",2
"SPU_002990",5
"SPU_002993",5
"SPU_003010",9
"SPU_003033",34
"SPU_003036",15
"SPU_003044",1
"SPU_003053",9
"SPU_003063",5
"SPU_003070",5
"SPU_003072",6
"SPU_003074",1
"SPU_003075",2
"SPU_003077",5
"SPU_003089",117
"SPU_003098",2
"SPU_003100",4
"SPU_003108",8
"SPU_003109",14
"SPU_003110",15
"SPU_003114",3
"SPU_003118",4
"SPU_003120",10
"SPU_003138",15
"SPU_003139",5
"SPU_003141",17
"SPU_003142",1
"SPU_003146",11
"SPU_003150",2
"SPU_003158",1
"SPU_003170",21
"SPU_003171",26
"SPU_003172",1
"SPU_003180",25
"SPU_003181",5
"SPU_003191",4
"SPU_003192",12
"SPU_003200",6
"SPU_003203",18
"SPU_003204",9
"SPU_003206",84
"SPU_003208",7
"SPU_003211",2
"SPU_003212",3
"SPU_003213",2
"SPU_003233",26
"SPU_003237",1
"SPU_003241",3
"SPU_003244",18
"SPU_003245",5
"SPU_003246",34
"SPU_003249",4
"SPU_003251",5
"SPU_003253",4
"SPU_003255",1
"SPU_003264",5
"SPU_003270",1
"SPU_003284",8
"SPU_003285",15
"SPU_003293",1
"SPU_003300",16
"SPU_003304",9
"SPU_003319",3
"SPU_003324",8
"SPU_003325",2
"SPU_003327",43
"SPU_003329",17
"SPU_003330",12
"SPU_003334",10
"SPU_003335",6
"SPU_003339",3
"SPU_003344",213
"SPU_003350",38
"SPU_003353",40
"SPU_003359",4
"SPU_003362",6
"SPU_003364",4
"SPU_003365",14
"SPU_003378",6
"SPU_003384",15
"SPU_003385",26
"SPU_003391",170
"SPU_003395",1
"SPU_003414",9
"SPU_003416",6
"SPU_003418",11
"SPU_003420",14
"SPU_003432",10
"SPU_003434",13
"SPU_003443",11
"SPU_003445",7
"SPU_003449",1
"SPU_003456",4
"SPU_003459",10
"SPU_003460",5
"SPU_003461",1
"SPU_003462",7
"SPU_003486",3
"SPU_003488",10
"SPU_003493",2
"SPU_003495",2
"SPU_003499",2
"SPU_003504",3
"SPU_003506",13
"SPU_003509",7
"SPU_003516",9
"SPU_003518",4
"SPU_003519",3
"SPU_003537",5
"SPU_003540",13
"SPU_003551",2
"SPU_003554",18
"SPU_003555",1
"SPU_003559",39
"SPU_003569",25
"SPU_003574",2
"SPU_003577",4
"SPU_003581",13
"SPU_003585",4
"SPU_003586",12
"SPU_003588",2
"SPU_003595",149
"SPU_003596",7
"SPU_003597",10
"SPU_003598",2
"SPU_003605",3
"SPU_003606",12
"SPU_003608",4
"SPU_003609",1
"SPU_003610",2
"SPU_003612",2
"SPU_003620",1
"SPU_003628",28
"SPU_003634",14
"SPU_003635",29
"SPU_003649",4
"SPU_003656",5
"SPU_003659",2
"SPU_003662",3
"SPU_003664",4
"SPU_003669",8
"SPU_003671",2
"SPU_003675",3
"SPU_003677",3
"SPU_003678",5
"SPU_003683",4
"SPU_003691",3
"SPU_003692",3
"SPU_003698",3
"SPU_003703",2
"SPU_003704",10
"SPU_003707",12
"SPU_003708",6
"SPU_003711",6
"SPU_003713",12
"SPU_003715",13
"SPU_003719",5
"SPU_003720",9
"SPU_003724",4
"SPU_003737",3
"SPU_003741",5
"SPU_003742",19
"SPU_003744",8
"SPU_003747",8
"SPU_003753",29
"SPU_003754",6
"SPU_003756",2
"SPU_003767",2
"SPU_003772",6
"SPU_003776",13
"SPU_003777",10
"SPU_003785",1
"SPU_003791",3
"SPU_003792",5
"SPU_003805",2
"SPU_003813",93
"SPU_003814",36
"SPU_003817",2
"SPU_003819",6
"SPU_003820",1
"SPU_003825",14
"SPU_003827",2
"SPU_003829",32
"SPU_003831",36
"SPU_003832",19
"SPU_003835",2
"SPU_003836",18
"SPU_003837",13
"SPU_003838",105
"SPU_003844",2
"SPU_003855",8
"SPU_003856",12
"SPU_003860",65
"SPU_003872",25
"SPU_003881",2
"SPU_003885",12
"SPU_003887",23
"SPU_003888",7
"SPU_003891",9
"SPU_003893",1
"SPU_003907",12
"SPU_003910",19
"SPU_003913",60
"SPU_003922",9
"SPU_003924",15
"SPU_003925",2
"SPU_003929",4
"SPU_003934",2
"SPU_003935",9
"SPU_003940",20
"SPU_003941",3
"SPU_003944",2
"SPU_003948",5
"SPU_003950",4
"SPU_003953",7
"SPU_003963",9
"SPU_003967",13
"SPU_003972",3
"SPU_003976",126
"SPU_003979",4
"SPU_003985",7
"SPU_003989",2
"SPU_003991",11
"SPU_003995",1
"SPU_004002",9
"SPU_004007",33
"SPU_004014",6
"SPU_004018",8
"SPU_004022",16
"SPU_004025",39
"SPU_004035",1
"SPU_004036",22
"SPU_004038",5
"SPU_004040",7
"SPU_004047",1
"SPU_004048",22
"SPU_004056",24
"SPU_004061",14
"SPU_004062",128
"SPU_004072",1
"SPU_004075",11
"SPU_004077",5
"SPU_004078",5
"SPU_004086",2
"SPU_004089",12
"SPU_004090",10
"SPU_004093",6
"SPU_004100",2
"SPU_004101",5
"SPU_004104",8
"SPU_004109",13
"SPU_004110",1
"SPU_004117",2
"SPU_004128",2
"SPU_004129",3
"SPU_004130",3
"SPU_004131",4
"SPU_004135",36
"SPU_004136",4
"SPU_004137",4
"SPU_004147",15
"SPU_004148",6
"SPU_004152",8
"SPU_004154",10
"SPU_004156",3
"SPU_004157",1
"SPU_004159",7
"SPU_004160",9
"SPU_004161",3
"SPU_004164",11
"SPU_004174",45
"SPU_004175",55
"SPU_004180",2
"SPU_004181",8
"SPU_004183",6
"SPU_004184",3
"SPU_004185",3
"SPU_004189",3
"SPU_004193",1
"SPU_004201",7
"SPU_004207",1
"SPU_004208",2
"SPU_004212",2
"SPU_004224",5
"SPU_004229",208
"SPU_004233",5
"SPU_004243",30
"SPU_004245",47
"SPU_004251",1
"SPU_004252",3
"SPU_004253",7
"SPU_004255",92
"SPU_004256",8
"SPU_004260",70
"SPU_004261",118
"SPU_004264",7
"SPU_004286",1
"SPU_004287",2
"SPU_004294",1
"SPU_004300",50
"SPU_004306",21
"SPU_004314",4
"SPU_004315",1
"SPU_004318",1
"SPU_004321",1
"SPU_004328",1
"SPU_004333",5
"SPU_004342",8
"SPU_004345",5
"SPU_004350",20
"SPU_004351",1
"SPU_004358",2
"SPU_004364",4
"SPU_004366",1
"SPU_004367",1
"SPU_004378",3
"SPU_004379",2
"SPU_004393",10
"SPU_004395",30
"SPU_004397",2
"SPU_004400",2
"SPU_004405",20
"SPU_004412",2
"SPU_004414",4
"SPU_004415",5
"SPU_004420",3
"SPU_004421",3
"SPU_004422",1
"SPU_004423",33
"SPU_004428",2
"SPU_004429",2
"SPU_004433",6
"SPU_004434",16
"SPU_004436",2
"SPU_004455",1
"SPU_004468",5
"SPU_004473",85
"SPU_004476",7
"SPU_004479",3
"SPU_004482",1
"SPU_004497",7
"SPU_004509",4
"SPU_004511",8
"SPU_004512",3
"SPU_004513",1
"SPU_004515",13
"SPU_004517",4
"SPU_004527",2
"SPU_004530",9
"SPU_004532",2
"SPU_004535",62
"SPU_004542",50
"SPU_004543",3
"SPU_004545",1
"SPU_004548",2
"SPU_004560",3
"SPU_004562",7
"SPU_004575",1
"SPU_004584",12
"SPU_004585",27
"SPU_004590",1
"SPU_004591",1
"SPU_004599",40
"SPU_004611",18
"SPU_004619",1
"SPU_004621",3
"SPU_004622",9
"SPU_004628",4
"SPU_004629",13
"SPU_004635",11
"SPU_004639",24
"SPU_004641",28
"SPU_004646",15
"SPU_004647",1
"SPU_004658",1
"SPU_004661",4
"SPU_004673",3
"SPU_004684",5
"SPU_004686",54
"SPU_004692",3
"SPU_004694",6
"SPU_004697",12
"SPU_004698",135
"SPU_004700",2
"SPU_004701",18
"SPU_004702",5
"SPU_004705",3
"SPU_004706",24
"SPU_004710",19
"SPU_004711",4
"SPU_004714",6
"SPU_004715",152
"SPU_004716",32
"SPU_004719",13
"SPU_004722",26
"SPU_004723",2
"SPU_004726",10
"SPU_004732",30
"SPU_004734",10
"SPU_004735",5
"SPU_004736",2
"SPU_004746",8
"SPU_004747",3
"SPU_004748",5
"SPU_004756",62
"SPU_004758",20
"SPU_004768",2
"SPU_004769",8
"SPU_004771",150
"SPU_004774",3
"SPU_004781",5
"SPU_004785",53
"SPU_004786",5
"SPU_004789",28
"SPU_004799",4
"SPU_004804",3
"SPU_004805",6
"SPU_004807",3
"SPU_004809",1
"SPU_004816",5
"SPU_004817",18
"SPU_004822",12
"SPU_004826",1
"SPU_004827",2
"SPU_004828",3
"SPU_004831",5
"SPU_004834",5
"SPU_004840",1
"SPU_004848",6
"SPU_004849",3
"SPU_004850",25
"SPU_004859",1
"SPU_004861",3
"SPU_004865",2
"SPU_004866",15
"SPU_004871",13
"SPU_004873",1
"SPU_004878",9
"SPU_004879",1
"SPU_004887",4
"SPU_004893",2
"SPU_004905",53
"SPU_004910",3
"SPU_004912",11
"SPU_004916",5
"SPU_004920",4
"SPU_004921",2
"SPU_004923",4
"SPU_004924",56
"SPU_004933",16
"SPU_004936",3
"SPU_004942",5
"SPU_004948",14
"SPU_004954",11
"SPU_004958",41
"SPU_004959",33
"SPU_004960",3
"SPU_004962",1
"SPU_004964",12
"SPU_004965",4
"SPU_004968",5
"SPU_004969",4
"SPU_004973",11
"SPU_004975",8
"SPU_004977",2
"SPU_004981",3
"SPU_004982",43
"SPU_004983",9
"SPU_004984",46
"SPU_004985",15
"SPU_004988",15
"SPU_004989",30
"SPU_004992",21
"SPU_004994",11
"SPU_004995",2
"SPU_004997",5
"SPU_004998",64
"SPU_005000",44
"SPU_005001",3
"SPU_005003",1
"SPU_005005",6
"SPU_005008",1
"SPU_005009",3
"SPU_005010",50
"SPU_005014",2
"SPU_005023",5
"SPU_005024",45
"SPU_005025",11
"SPU_005028",13
"SPU_005037",1
"SPU_005039",32
"SPU_005040",3
"SPU_005041",13
"SPU_005045",7
"SPU_005054",9
"SPU_005062",5
"SPU_005069",4
"SPU_005070",5
"SPU_005079",72
"SPU_005081",6
"SPU_005086",5
"SPU_005096",8
"SPU_005099",102
"SPU_005102",15
"SPU_005103",18
"SPU_005112",29
"SPU_005113",4
"SPU_005115",3
"SPU_005119",9
"SPU_005120",3
"SPU_005123",6
"SPU_005125",8
"SPU_005130",5
"SPU_005131",4
"SPU_005132",7
"SPU_005134",5
"SPU_005136",2
"SPU_005144",25
"SPU_005146",8
"SPU_005150",5
"SPU_005154",3
"SPU_005160",5
"SPU_005163",8
"SPU_005166",22
"SPU_005171",15
"SPU_005182",21
"SPU_005186",6
"SPU_005187",2
"SPU_005193",2
"SPU_005195",26
"SPU_005196",12
"SPU_005200",8
"SPU_005201",2
"SPU_005205",2
"SPU_005208",2
"SPU_005216",4
"SPU_005218",3
"SPU_005228",4
"SPU_005239",8
"SPU_005240",9
"SPU_005241",10
"SPU_005242",45
"SPU_005243",1
"SPU_005251",1
"SPU_005253",6
"SPU_005256",8
"SPU_005258",3
"SPU_005261",33
"SPU_005264",21
"SPU_005278",1
"SPU_005281",1
"SPU_005285",2
"SPU_005296",14
"SPU_005297",47
"SPU_005300",180
"SPU_005306",11
"SPU_005312",3
"SPU_005313",4
"SPU_005317",2
"SPU_005324",5
"SPU_005325",1
"SPU_005330",4
"SPU_005344",7
"SPU_005348",3
"SPU_005350",4
"SPU_005352",5
"SPU_005356",10
"SPU_005358",40
"SPU_005359",8
"SPU_005360",66
"SPU_005361",2
"SPU_005362",17
"SPU_005370",18
"SPU_005378",2
"SPU_005380",3
"SPU_005385",6
"SPU_005386",2
"SPU_005394",3
"SPU_005399",81
"SPU_005401",12
"SPU_005403",23
"SPU_005405",3
"SPU_005406",8
"SPU_005407",1
"SPU_005408",69
"SPU_005414",7
"SPU_005415",1
"SPU_005417",18
"SPU_005420",3
"SPU_005421",3
"SPU_005426",4
"SPU_005435",3
"SPU_005439",14
"SPU_005441",7
"SPU_005456",12
"SPU_005457",2
"SPU_005461",35
"SPU_005467",1
"SPU_005476",21
"SPU_005477",12
"SPU_005483",54
"SPU_005515",1
"SPU_005516",61
"SPU_005517",3
"SPU_005530",5
"SPU_005539",1
"SPU_005542",10
"SPU_005548",32
"SPU_005556",20
"SPU_005564",8
"SPU_005566",5
"SPU_005569",1
"SPU_005577",57
"SPU_005581",2
"SPU_005584",1
"SPU_005589",2
"SPU_005592",2
"SPU_005597",1
"SPU_005605",8
"SPU_005609",34
"SPU_005613",2
"SPU_005614",5
"SPU_005617",10
"SPU_005624",41
"SPU_005640",7
"SPU_005642",197
"SPU_005643",35
"SPU_005644",3
"SPU_005647",2
"SPU_005648",1
"SPU_005659",8
"SPU_005660",2
"SPU_005664",1
"SPU_005665",5
"SPU_005669",2
"SPU_005673",34
"SPU_005675",7
"SPU_005678",9
"SPU_005679",28
"SPU_005680",22
"SPU_005681",94
"SPU_005686",37
"SPU_005701",1
"SPU_005702",12
"SPU_005708",4
"SPU_005710",7
"SPU_005712",1
"SPU_005717",13
"SPU_005721",21
"SPU_005727",24
"SPU_005729",8
"SPU_005730",12
"SPU_005740",6
"SPU_005743",72
"SPU_005749",4
"SPU_005750",26
"SPU_005754",1
"SPU_005755",41
"SPU_005756",1
"SPU_005757",3
"SPU_005758",32
"SPU_005764",8
"SPU_005771",4
"SPU_005778",2
"SPU_005779",2
"SPU_005782",3
"SPU_005783",23
"SPU_005792",5
"SPU_005795",4
"SPU_005798",19
"SPU_005806",8
"SPU_005814",13
"SPU_005824",1
"SPU_005833",5
"SPU_005834",22
"SPU_005836",3
"SPU_005839",5
"SPU_005840",5
"SPU_005842",4
"SPU_005843",2
"SPU_005851",1
"SPU_005853",1
"SPU_005857",2
"SPU_005860",3
"SPU_005868",3
"SPU_005869",5
"SPU_005871",9
"SPU_005872",10
"SPU_005878",8
"SPU_005879",3
"SPU_005881",4
"SPU_005884",3
"SPU_005889",15
"SPU_005892",60
"SPU_005896",23
"SPU_005907",2
"SPU_005912",3
