"exonid","CpG_count"
"SPU_000743-tr-E1",4
"SPU_000743-tr-E2",1
"SPU_000746-tr-E4",7
"SPU_000751-tr-E1",12
"SPU_000765-tr-E4",10
"SPU_000765-tr-E6",4
"SPU_000765-tr-E7",24
"SPU_000767-tr-E3",9
"SPU_000773-tr-E2",4
"SPU_000784-tr-E3",2
"SPU_000784-tr-E5",2
"SPU_000791-tr-E4",9
"SPU_000792-tr-E8",7
"SPU_000793-tr-E1",2
"SPU_000796-tr-E2",5
"SPU_000798-tr-E16",2
"SPU_000798-tr-E9",8
"SPU_000802-tr-E3",4
"SPU_000816-tr-E5",6
"SPU_000825-tr-E1",4
"SPU_000828-tr-E2",7
"SPU_000830-tr-E4",3
"SPU_000832-tr-E23",4
"SPU_000841-tr-E2",5
"SPU_000842-tr-E1",1
"SPU_000842-tr-E3",2
"SPU_000856-tr-E3",6
"SPU_000865-tr-E12",8
"SPU_000866-tr-E3",4
"SPU_000869-tr-E4",1
"SPU_000883-tr-E2",1
"SPU_000883-tr-E3",1
"SPU_000883-tr-E4",7
"SPU_000883-tr-E8",7
"SPU_000891-tr-E10",8
"SPU_000901-tr-E2",4
"SPU_000902-tr-E1",6
"SPU_000905-tr-E1",7
"SPU_000907-tr-E1",4
"SPU_000909-tr-E4",3
"SPU_000910-tr-E3",3
"SPU_000918-tr-E2",7
"SPU_000919-tr-E2",2
"SPU_000920-tr-E5",15
"SPU_000921-tr-E2",5
"SPU_000929-tr-E3",4
"SPU_000931-tr-E1",6
"SPU_000934-tr-E1",2
"SPU_000937-tr-E1",4
"SPU_000937-tr-E8",2
"SPU_000952-tr-E4",5
"SPU_000956-tr-E2",14
"SPU_000957-tr-E6",3
"SPU_000961-tr-E11",3
"SPU_000969-tr-E3",1
"SPU_000971-tr-E1",2
"SPU_000972-tr-E1",10
"SPU_000974-tr-E2",13
"SPU_000974-tr-E4",6
"SPU_000975-tr-E1",2
"SPU_000991-tr-E4",3
"SPU_000992-tr-E1",3
"SPU_001012-tr-E3",2
"SPU_001013-tr-E1",3
"SPU_001038-tr-E1",6
"SPU_001041-tr-E1",11
"SPU_001050-tr-E1",3
"SPU_001057-tr-E1",4
"SPU_001057-tr-E4",6
"SPU_001059-tr-E1",4
"SPU_001082-tr-E4",2
"SPU_001087-tr-E7",2
"SPU_001113-tr-E1",5
"SPU_001113-tr-E2",3
"SPU_001116-tr-E1",2
"SPU_001128-tr-E3",2
"SPU_001129-tr-E1",15
"SPU_001138-tr-E2",3
"SPU_001139-tr-E1",5
"SPU_001139-tr-E3",2
"SPU_001149-tr-E6",1
"SPU_001149-tr-E7",12
"SPU_001152-tr-E3",3
"SPU_001158-tr-E1",11
"SPU_001165-tr-E3",8
"SPU_001168-tr-E5",1
"SPU_001181-tr-E5",1
"SPU_001193-tr-E1",4
"SPU_001198-tr-E14",3
"SPU_001201-tr-E2",2
"SPU_001211-tr-E4",5
"SPU_001212-tr-E1",16
"SPU_001212-tr-E2",5
"SPU_001213-tr-E1",10
"SPU_001214-tr-E14",2
"SPU_001242-tr-E1",4
"SPU_001247-tr-E1",3
"SPU_001250-tr-E1",3
"SPU_001254-tr-E10",4
"SPU_001254-tr-E9",6
"SPU_001256-tr-E1",2
"SPU_001263-tr-E1",3
"SPU_001264-tr-E11",4
"SPU_001279-tr-E5",10
"SPU_001281-tr-E1",4
"SPU_001288-tr-E2",5
"SPU_001288-tr-E3",5
"SPU_001289-tr-E9",11
"SPU_001298-tr-E7",2
"SPU_001312-tr-E3",11
"SPU_001316-tr-E1",9
"SPU_001318-tr-E1",7
"SPU_001319-tr-E2",6
"SPU_001324-tr-E7",1
"SPU_001330-tr-E10",3
"SPU_001336-tr-E10",4
"SPU_001336-tr-E23",1
"SPU_001342-tr-E2",6
"SPU_001352-tr-E2",2
"SPU_001368-tr-E6",2
"SPU_001376-tr-E12",2
"SPU_001376-tr-E22",6
"SPU_001376-tr-E24",9
"SPU_001388-tr-E6",9
"SPU_001389-tr-E2",5
"SPU_001393-tr-E6",1
"SPU_001396-tr-E4",1
"SPU_001410-tr-E1",2
"SPU_001413-tr-E1",46
"SPU_001414-tr-E1",32
"SPU_001415-tr-E1",8
"SPU_001425-tr-E2",5
"SPU_001430-tr-E2",2
"SPU_001447-tr-E2",10
"SPU_001448-tr-E1",3
"SPU_001451-tr-E1",6
"SPU_001452-tr-E10",5
"SPU_001453-tr-E1",24
"SPU_001454-tr-E2",10
"SPU_001457-tr-E1",3
"SPU_001458-tr-E1",7
"SPU_001459-tr-E1",8
"SPU_001460-tr-E1",2
"SPU_001464-tr-E2",2
"SPU_001467-tr-E3",9
"SPU_001473-tr-E3",14
"SPU_001480-tr-E5",2
"SPU_001483-tr-E2",4
"SPU_001487-tr-E1",9
"SPU_001491-tr-E9",1
"SPU_001496-tr-E1",1
"SPU_001498-tr-E7",1
"SPU_001500-tr-E7",6
"SPU_001500-tr-E9",9
"SPU_001502-tr-E1",3
"SPU_001508-tr-E4",5
"SPU_001518-tr-E30",11
"SPU_001525-tr-E5",1
"SPU_001528-tr-E1",1
"SPU_001528-tr-E15",1
"SPU_001531-tr-E2",3
"SPU_001531-tr-E5",7
"SPU_001531-tr-E7",5
"SPU_001532-tr-E5",2
"SPU_001533-tr-E12",1
"SPU_001533-tr-E16",2
"SPU_001539-tr-E1",5
"SPU_001539-tr-E3",3
"SPU_001545-tr-E10",4
"SPU_001545-tr-E5",5
"SPU_001552-tr-E6",3
"SPU_001555-tr-E1",12
"SPU_001555-tr-E2",3
"SPU_001557-tr-E3",4
"SPU_001558-tr-E1",6
"SPU_001560-tr-E4",2
"SPU_001570-tr-E2",6
"SPU_001572-tr-E5",3
"SPU_001584-tr-E3",4
"SPU_001587-tr-E2",7
"SPU_001587-tr-E5",3
"SPU_001594-tr-E6",1
"SPU_001597-tr-E1",3
"SPU_001599-tr-E1",1
"SPU_001601-tr-E6",2
"SPU_001609-tr-E7",1
"SPU_001610-tr-E15",3
"SPU_001610-tr-E17",4
"SPU_001615-tr-E1",2
"SPU_001624-tr-E11",35
"SPU_001625-tr-E2",12
"SPU_001626-tr-E2",14
"SPU_001626-tr-E4",23
"SPU_001627-tr-E2",30
"SPU_001633-tr-E1",2
"SPU_001638-tr-E4",18
"SPU_001638-tr-E7",2
"SPU_001640-tr-E5",1
"SPU_001643-tr-E13",5
"SPU_001643-tr-E5",5
"SPU_001643-tr-E6",7
"SPU_001644-tr-E1",8
"SPU_001665-tr-E5",1
"SPU_001669-tr-E1",10
"SPU_001688-tr-E1",7
"SPU_001690-tr-E1",2
"SPU_001690-tr-E17",1
"SPU_001697-tr-E1",5
"SPU_001702-tr-E3",8
"SPU_001719-tr-E1",5
"SPU_001719-tr-E5",3
"SPU_001720-tr-E3",4
"SPU_001723-tr-E2",3
"SPU_001726-tr-E2",6
"SPU_001728-tr-E4",7
"SPU_001730-tr-E12",1
"SPU_001739-tr-E2",25
"SPU_001742-tr-E4",1
"SPU_001749-tr-E1",5
"SPU_001752-tr-E22",6
"SPU_001753-tr-E14",1
"SPU_001754-tr-E9",1
"SPU_001762-tr-E2",2
"SPU_001765-tr-E3",3
"SPU_001768-tr-E1",4
"SPU_001774-tr-E2",4
"SPU_001774-tr-E7",3
"SPU_001779-tr-E7",7
"SPU_001785-tr-E1",4
"SPU_001785-tr-E12",2
"SPU_001785-tr-E3",3
"SPU_001786-tr-E18",2
"SPU_001797-tr-E10",9
"SPU_001799-tr-E22",6
"SPU_001799-tr-E30",3
"SPU_001808-tr-E2",1
"SPU_001841-tr-E1",3
"SPU_001842-tr-E1",3
"SPU_001844-tr-E1",6
"SPU_001854-tr-E18",7
"SPU_001860-tr-E16",3
"SPU_001867-tr-E3",6
"SPU_001876-tr-E10",2
"SPU_001876-tr-E8",2
"SPU_001876-tr-E9",6
"SPU_001878-tr-E2",6
"SPU_001883-tr-E1",2
"SPU_001883-tr-E2",3
"SPU_001887-tr-E3",8
"SPU_001887-tr-E4",15
"SPU_001892-tr-E8",1
"SPU_001903-tr-E1",1
"SPU_001905-tr-E4",2
"SPU_001914-tr-E1",10
"SPU_001918-tr-E5",5
"SPU_001918-tr-E6",8
"SPU_001920-tr-E1",1
"SPU_001924-tr-E1",5
"SPU_001924-tr-E3",1
"SPU_001928-tr-E10",4
"SPU_001928-tr-E29",15
"SPU_001928-tr-E33",5
"SPU_001937-tr-E1",4
"SPU_001941-tr-E4",6
"SPU_001952-tr-E1",7
"SPU_001955-tr-E3",3
"SPU_001956-tr-E1",14
"SPU_001958-tr-E1",2
"SPU_001962-tr-E13",6
"SPU_001964-tr-E1",14
"SPU_001968-tr-E1",2
"SPU_001975-tr-E3",9
"SPU_001998-tr-E3",3
"SPU_002003-tr-E2",5
"SPU_002008-tr-E5",6
"SPU_002010-tr-E11",4
"SPU_002021-tr-E10",4
"SPU_002021-tr-E6",1
"SPU_002024-tr-E2",1
"SPU_002025-tr-E1",5
"SPU_002027-tr-E1",16
"SPU_002029-tr-E2",2
"SPU_002029-tr-E6",2
"SPU_002040-tr-E1",5
"SPU_002042-tr-E1",4
"SPU_002052-tr-E1",3
"SPU_002080-tr-E3",12
"SPU_002080-tr-E4",2
"SPU_002082-tr-E2",6
"SPU_002094-tr-E3",6
"SPU_002108-tr-E1",7
"SPU_002112-tr-E2",3
"SPU_002114-tr-E13",3
"SPU_002114-tr-E18",3
"SPU_002114-tr-E2",2
"SPU_002114-tr-E9",6
"SPU_002117-tr-E16",1
"SPU_002120-tr-E2",2
"SPU_002122-tr-E8",6
"SPU_002123-tr-E7",2
"SPU_002133-tr-E39",3
"SPU_002138-tr-E4",4
"SPU_002155-tr-E5",2
"SPU_002157-tr-E4",4
"SPU_002158-tr-E1",3
"SPU_002160-tr-E2",10
"SPU_002171-tr-E1",7
"SPU_002171-tr-E3",12
"SPU_002173-tr-E1",10
"SPU_002177-tr-E2",1
"SPU_002209-tr-E1",4
"SPU_002210-tr-E7",2
"SPU_002219-tr-E1",15
"SPU_002232-tr-E8",6
"SPU_002235-tr-E7",3
"SPU_002244-tr-E2",5
"SPU_002246-tr-E12",5
"SPU_002247-tr-E10",3
"SPU_002247-tr-E9",2
"SPU_002250-tr-E5",2
"SPU_002256-tr-E4",3
"SPU_002266-tr-E1",5
"SPU_002269-tr-E1",6
"SPU_002270-tr-E3",3
"SPU_002295-tr-E5",1
"SPU_002295-tr-E7",6
"SPU_002297-tr-E1",24
"SPU_002298-tr-E2",10
"SPU_002303-tr-E11",15
"SPU_002306-tr-E4",1
"SPU_002328-tr-E9",3
"SPU_002330-tr-E3",9
"SPU_002334-tr-E1",1
"SPU_002336-tr-E10",1
"SPU_002342-tr-E2",5
"SPU_002346-tr-E11",4
"SPU_002348-tr-E1",2
"SPU_002350-tr-E1",7
"SPU_002350-tr-E8",1
"SPU_002355-tr-E34",5
"SPU_002355-tr-E56",3
"SPU_002356-tr-E3",1
"SPU_002361-tr-E1",4
"SPU_002368-tr-E1",9
"SPU_002371-tr-E2",8
"SPU_002376-tr-E5",2
"SPU_002382-tr-E3",1
"SPU_002383-tr-E1",2
"SPU_002385-tr-E9",9
"SPU_002390-tr-E1",4
"SPU_002393-tr-E2",2
"SPU_002393-tr-E3",1
"SPU_002396-tr-E4",3
"SPU_002398-tr-E3",3
"SPU_002400-tr-E6",10
"SPU_002402-tr-E3",4
"SPU_002403-tr-E2",15
"SPU_002407-tr-E1",6
"SPU_002417-tr-E1",4
"SPU_002419-tr-E2",6
"SPU_002420-tr-E3",1
"SPU_002420-tr-E8",4
"SPU_002427-tr-E4",1
"SPU_002428-tr-E8",3
"SPU_002430-tr-E3",8
"SPU_002437-tr-E5",5
"SPU_002444-tr-E2",25
"SPU_002449-tr-E1",6
"SPU_002451-tr-E7",4
"SPU_002464-tr-E4",5
"SPU_002473-tr-E10",11
"SPU_002476-tr-E3",5
"SPU_002481-tr-E12",3
"SPU_002482-tr-E2",3
"SPU_002488-tr-E2",5
"SPU_002493-tr-E8",2
"SPU_002511-tr-E12",3
"SPU_002516-tr-E1",2
"SPU_002518-tr-E1",4
"SPU_002530-tr-E2",4
"SPU_002530-tr-E8",1
"SPU_002533-tr-E5",8
"SPU_002533-tr-E8",7
"SPU_002536-tr-E8",3
"SPU_002542-tr-E1",18
"SPU_002542-tr-E2",3
"SPU_002547-tr-E1",7
"SPU_002550-tr-E5",1
"SPU_002551-tr-E6",1
"SPU_002552-tr-E16",5
"SPU_002552-tr-E9",4
"SPU_002554-tr-E1",11
"SPU_002554-tr-E12",9
"SPU_002554-tr-E15",3
"SPU_002554-tr-E6",3
"SPU_002555-tr-E28",3
"SPU_002555-tr-E3",1
"SPU_002555-tr-E4",1
"SPU_002558-tr-E3",2
"SPU_002558-tr-E9",5
"SPU_002559-tr-E14",6
"SPU_002559-tr-E17",6
"SPU_002559-tr-E2",2
"SPU_002578-tr-E1",5
"SPU_002578-tr-E8",5
"SPU_002583-tr-E2",1
"SPU_002583-tr-E4",4
"SPU_002583-tr-E5",1
"SPU_002586-tr-E1",6
"SPU_002587-tr-E2",1
"SPU_002589-tr-E1",3
"SPU_002592-tr-E1",21
"SPU_002603-tr-E1",10
"SPU_002604-tr-E1",9
"SPU_002605-tr-E9",5
"SPU_002613-tr-E11",5
"SPU_002630-tr-E1",18
"SPU_002635-tr-E9",1
"SPU_002640-tr-E4",3
"SPU_002642-tr-E10",4
"SPU_002645-tr-E1",2
"SPU_002646-tr-E2",5
"SPU_002646-tr-E3",1
"SPU_002651-tr-E2",1
"SPU_002652-tr-E1",18
"SPU_002654-tr-E3",3
"SPU_002656-tr-E3",4
"SPU_002657-tr-E6",1
"SPU_002661-tr-E9",16
"SPU_002664-tr-E17",2
"SPU_002664-tr-E18",2
"SPU_002675-tr-E8",5
"SPU_002679-tr-E1",8
"SPU_002686-tr-E13",13
"SPU_002686-tr-E5",6
"SPU_002693-tr-E3",2
"SPU_002697-tr-E2",1
"SPU_002698-tr-E7",2
"SPU_002700-tr-E8",5
"SPU_002705-tr-E1",2
"SPU_002705-tr-E2",3
"SPU_002707-tr-E2",7
"SPU_002708-tr-E3",4
"SPU_002709-tr-E5",2
"SPU_002710-tr-E1",4
"SPU_002723-tr-E1",1
"SPU_002723-tr-E3",2
"SPU_002723-tr-E9",8
"SPU_002725-tr-E1",3
"SPU_002726-tr-E3",12
"SPU_002731-tr-E5",1
"SPU_002737-tr-E6",8
"SPU_002739-tr-E1",26
"SPU_002748-tr-E8",4
"SPU_002757-tr-E15",16
"SPU_002757-tr-E7",10
"SPU_002768-tr-E1",2
"SPU_002777-tr-E1",16
"SPU_002779-tr-E17",3
"SPU_002783-tr-E10",7
"SPU_002783-tr-E18",6
"SPU_002783-tr-E9",4
"SPU_002784-tr-E2",5
"SPU_002787-tr-E5",22
"SPU_002787-tr-E9",18
"SPU_002789-tr-E5",2
"SPU_002792-tr-E1",8
"SPU_002809-tr-E1",5
"SPU_002810-tr-E4",1
"SPU_002812-tr-E6",3
"SPU_002815-tr-E3",9
"SPU_002819-tr-E2",2
"SPU_002819-tr-E5",3
"SPU_002825-tr-E12",5
"SPU_002825-tr-E14",3
"SPU_002825-tr-E15",7
"SPU_002827-tr-E3",6
"SPU_002832-tr-E4",7
"SPU_002832-tr-E5",6
"SPU_002840-tr-E16",7
"SPU_002840-tr-E3",3
"SPU_002842-tr-E9",5
"SPU_002848-tr-E3",1
"SPU_002857-tr-E1",8
"SPU_002872-tr-E14",3
"SPU_002877-tr-E1",4
"SPU_002878-tr-E18",2
"SPU_002879-tr-E1",1
"SPU_002882-tr-E15",4
"SPU_002909-tr-E4",2
"SPU_002914-tr-E12",2
"SPU_002934-tr-E2",13
"SPU_002934-tr-E3",7
"SPU_002934-tr-E4",16
"SPU_002935-tr-E7",9
"SPU_002946-tr-E4",4
"SPU_002964-tr-E3",5
"SPU_002980-tr-E1",2
"SPU_002985-tr-E4",3
"SPU_002995-tr-E1",5
"SPU_003002-tr-E1",5
"SPU_003005-tr-E1",12
"SPU_003007-tr-E1",1
"SPU_003010-tr-E4",11
"SPU_003021-tr-E1",11
"SPU_003035-tr-E4",21
"SPU_003036-tr-E2",8
"SPU_003043-tr-E4",5
"SPU_003044-tr-E4",1
"SPU_003057-tr-E1",1
"SPU_003070-tr-E35",2
"SPU_003090-tr-E1",4
"SPU_003091-tr-E1",12
"SPU_003093-tr-E1",6
"SPU_003093-tr-E11",3
"SPU_003093-tr-E2",1
"SPU_003093-tr-E8",3
"SPU_003095-tr-E1",12
"SPU_003098-tr-E3",1
"SPU_003107-tr-E1",3
"SPU_003108-tr-E1",11
"SPU_003109-tr-E1",2
"SPU_003114-tr-E4",2
"SPU_003116-tr-E1",2
"SPU_003129-tr-E2",2
"SPU_003130-tr-E3",5
"SPU_003134-tr-E1",7
"SPU_003143-tr-E1",2
"SPU_003169-tr-E1",4
"SPU_003170-tr-E19",1
"SPU_003170-tr-E22",17
"SPU_003170-tr-E25",3
"SPU_003170-tr-E26",5
"SPU_003170-tr-E3",1
"SPU_003171-tr-E14",3
"SPU_003175-tr-E7",3
"SPU_003176-tr-E2",1
"SPU_003177-tr-E2",7
"SPU_003181-tr-E1",4
"SPU_003185-tr-E11",8
"SPU_003187-tr-E4",7
"SPU_003191-tr-E2",2
"SPU_003204-tr-E6",5
"SPU_003208-tr-E5",6
"SPU_003210-tr-E6",3
"SPU_003213-tr-E1",3
"SPU_003224-tr-E6",7
"SPU_003233-tr-E10",4
"SPU_003237-tr-E7",4
"SPU_003240-tr-E7",1
"SPU_003241-tr-E11",14
"SPU_003241-tr-E9",2
"SPU_003242-tr-E1",13
"SPU_003249-tr-E12",2
"SPU_003249-tr-E6",1
"SPU_003255-tr-E6",5
"SPU_003257-tr-E15",19
"SPU_003258-tr-E16",3
"SPU_003259-tr-E2",5
"SPU_003260-tr-E14",1
"SPU_003260-tr-E28",4
"SPU_003260-tr-E45",8
"SPU_003261-tr-E47",5
"SPU_003264-tr-E11",7
"SPU_003275-tr-E1",7
"SPU_003276-tr-E1",3
"SPU_003277-tr-E11",1
"SPU_003277-tr-E4",1
"SPU_003284-tr-E14",8
"SPU_003284-tr-E9",1
"SPU_003288-tr-E10",5
"SPU_003290-tr-E2",5
"SPU_003297-tr-E6",3
"SPU_003300-tr-E8",16
"SPU_003303-tr-E4",3
"SPU_003308-tr-E5",1
"SPU_003312-tr-E1",1
"SPU_003322-tr-E1",5
"SPU_003350-tr-E10",8
"SPU_003354-tr-E1",5
"SPU_003356-tr-E3",3
"SPU_003364-tr-E1",1
"SPU_003364-tr-E3",10
"SPU_003375-tr-E3",2
"SPU_003376-tr-E7",3
"SPU_003383-tr-E2",8
"SPU_003395-tr-E7",2
"SPU_003396-tr-E3",6
"SPU_003424-tr-E1",5
"SPU_003432-tr-E3",1
"SPU_003432-tr-E5",1
"SPU_003440-tr-E1",8
"SPU_003449-tr-E15",1
"SPU_003460-tr-E21",2
"SPU_003461-tr-E10",1
"SPU_003461-tr-E2",7
"SPU_003467-tr-E2",5
"SPU_003468-tr-E2",4
"SPU_003475-tr-E3",5
"SPU_003476-tr-E4",7
"SPU_003489-tr-E2",2
"SPU_003501-tr-E1",1
"SPU_003503-tr-E1",3
"SPU_003505-tr-E1",3
"SPU_003509-tr-E23",2
"SPU_003513-tr-E2",3
"SPU_003529-tr-E1",2
"SPU_003540-tr-E11",1
"SPU_003563-tr-E1",1
"SPU_003564-tr-E40",4
"SPU_003577-tr-E6",3
"SPU_003577-tr-E8",1
"SPU_003581-tr-E3",4
"SPU_003582-tr-E6",9
"SPU_003591-tr-E1",7
"SPU_003592-tr-E1",3
"SPU_003600-tr-E1",2
"SPU_003600-tr-E10",3
"SPU_003606-tr-E4",4
"SPU_003606-tr-E6",7
"SPU_003608-tr-E6",2
"SPU_003609-tr-E3",2
"SPU_003610-tr-E3",1
"SPU_003610-tr-E7",22
"SPU_003610-tr-E9",7
"SPU_003618-tr-E2",3
"SPU_003630-tr-E1",3
"SPU_003634-tr-E4",3
"SPU_003634-tr-E5",5
"SPU_003635-tr-E35",3
"SPU_003635-tr-E36",3
"SPU_003635-tr-E40",5
"SPU_003637-tr-E4",8
"SPU_003642-tr-E1",10
"SPU_003647-tr-E1",18
"SPU_003655-tr-E1",3
"SPU_003656-tr-E3",1
"SPU_003656-tr-E4",5
"SPU_003661-tr-E4",2
"SPU_003662-tr-E7",1
"SPU_003671-tr-E20",5
"SPU_003677-tr-E1",2
"SPU_003682-tr-E2",2
"SPU_003686-tr-E3",2
