"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.0185366882744795 3 9 "GO:0005858" "axonemal dynein complex" 0.532929787891286
0 0.294837896790065 2 5 "GO:0005869" "dynactin complex" 1
0 0.0600737945279979 2 75 "GO:0005871" "kinesin complex" 1
0 0.638280910914101 3 64 "GO:0005874;GO:0099513;GO:0099512;GO:0099081;GO:0099080" "supramolecular complex" 1
0 0.0507995056878604 2 131 "GO:0005875" "microtubule associated complex" 1
0 0.294837896790065 3 5 "GO:0005876" "spindle microtubule" 1
0 1 3 23 "GO:0005886" "plasma membrane" 1
0 1 3 13 "GO:0005887;GO:0031226" "intrinsic component of plasma membrane" 1
0 1 8 9 "GO:0008021;GO:0070382;GO:0030133;GO:0099503" "transport vesicle" 1
0 1 3 5 "GO:0008076;GO:0034705" "voltage-gated potassium channel complex" 1
0 0.503326139244403 3 10 "GO:0008305;GO:0098636;GO:0098802;GO:0043235" "receptor complex" 1
0 0.537015257706508 2 11 "GO:0015629" "actin cytoskeleton" 1
0 1 2 6 "GO:0015934" "large ribosomal subunit" 1
0 1 2 14 "GO:0015935" "small ribosomal subunit" 1
0 0.38699659798659 2 7 "GO:0016272" "prefoldin complex" 1
0 0.926684622101262 2 37 "GO:0016459" "myosin complex" 1
0 0.147351721243575 3 20 "GO:0016592" "mediator complex" 1
0 0.294837896790065 2 5 "GO:0017053" "transcription repressor complex" 1
0 0.142171323598021 2 10 "GO:0017119" "Golgi transport complex" 1
0 1 2 5 "GO:0019773" "proteasome core complex, alpha-subunit complex" 1
0 1 2 12 "GO:0019866;GO:0005743" "organelle inner membrane" 1
0 1 2 5 "GO:0019898" "extrinsic component of membrane" 1
0 0.328447230305833 2 43 "GO:0030117" "membrane coat" 1
0 0.294837896790065 3 5 "GO:0030118" "clathrin coat" 1
0 0.147351721243575 3 20 "GO:0030120" "vesicle coat" 1
0 1 2 5 "GO:0030126" "COPI vesicle coat" 1
0 0.166434954623359 2 11 "GO:0030127" "COPII vesicle coat" 1
0 0.674360871929114 3 16 "GO:0030131;GO:0030119" "AP-type membrane coat adaptor complex" 1
0 1 5 6 "GO:0030173;GO:0031228" "integral component of Golgi membrane" 1
0 0.191928065246179 2 34 "GO:0030286" "dynein complex" 1
0 0.503326139244403 3 10 "GO:0030684;GO:0032040" "preribosome" 1
0 0.428495861178987 4 8 "GO:0030915;GO:0106068" "SUMO ligase complex" 1
0 0.0965017556398089 5 8 "GO:0031011;GO:0033202;GO:0097346;GO:1904949;GO:0070603" "Ino80 complex" 1
0 1 2 30 "GO:0031012" "extracellular matrix" 1
0 0.918252923426251 3 59 "GO:0031090" "organelle membrane" 1
0 1 2 7 "GO:0031227" "intrinsic component of endoplasmic reticulum membrane" 1
0 0.827676526185517 2 25 "GO:0031301;GO:0031300" "intrinsic component of organelle membrane" 1
0 1 3 12 "GO:0031410;GO:0097708;GO:0031982" "cytoplasmic vesicle" 1
0 0.827676526185517 2 25 "GO:0031461" "cullin-RING ubiquitin ligase complex" 1
0 0.294837896790065 4 5 "GO:0031932" "TORC2 complex" 1
0 1 2 23 "GO:0031966" "mitochondrial membrane" 1
0 0.342514664875734 3 6 "GO:0032039" "integrator complex" 1
0 1 2 17 "GO:0033177" "proton-transporting two-sector ATPase complex, proton-transporting domain" 1
0 0.625087323234313 3 14 "GO:0033178" "proton-transporting two-sector ATPase complex, catalytic domain" 1
0 1 4 10 "GO:0033179" "proton-transporting V-type ATPase, V0 domain" 1
0 1 4 5 "GO:0033180" "proton-transporting V-type ATPase, V1 domain" 1
0 0.11877748917276 2 9 "GO:0034464" "BBSome" 1
0 0.0965017556398089 2 8 "GO:0038201" "TOR complex" 1
0 1 2 7 "GO:0042555" "MCM complex" 1
0 1 4 5 "GO:0042765;GO:0008303" "GPI-anchor transamidase complex" 1
0 0.999997155618147 3 209 "GO:0043232;GO:0043228" "intracellular non-membrane-bounded organelle" 1
0 1 3 20 "GO:0044391" "ribosomal subunit" 1
0 1 3 11 "GO:0045211;GO:0097060;GO:0098590" "postsynaptic membrane" 1
0 1 3 6 "GO:0048500" "signal recognition particle" 1
0 1 3 5 "GO:0055029;GO:0000428;GO:0030880" "nuclear DNA-directed RNA polymerase complex" 1
0 1 2 12 "GO:0061695" "transferase complex, transferring phosphorus-containing groups" 1
0 1 3 5 "GO:0070461" "SAGA-type complex" 1
0 1 2 6 "GO:0070652" "HAUS complex" 1
0 0.625087323234313 2 14 "GO:0071203" "WASH complex" 1
0 0.696534742517599 2 17 "GO:0090575" "RNA polymerase II transcription regulator complex" 1
0 0.342514664875734 2 6 "GO:0097525;GO:0030532;GO:0120114" "Sm-like protein family complex" 1
0 0.902445429103122 2 33 "GO:0098588" "bounding membrane of organelle" 1
0 0.576266093596584 2 151 "GO:0098796" "membrane protein complex" 1
0 0.680788649983331 2 34 "GO:0098797" "plasma membrane protein complex" 1
0 0.771233543344971 2 21 "GO:0098800;GO:0098798" "mitochondrial protein-containing complex" 1
0 0.345019178204759 2 18 "GO:0099023" "vesicle tethering complex" 1
0 0.273315914799469 2 146 "GO:0140513" "nuclear protein-containing complex" 1
0 0.650583327807109 2 15 "GO:0140534" "endoplasmic reticulum protein-containing complex" 1
0 0.22711944860101 2 87 "GO:0140535" "intracellular protein-containing complex" 1
0 0.330920755242931 2 167 "GO:1902494" "catalytic complex" 1
0 1 2 11 "GO:1902495;GO:1990351;GO:0034703;GO:0034702" "transporter complex" 1
0 1 3 5 "GO:1902562" "H4 histone acetyltransferase complex" 1
0 1 3 13 "GO:1905368" "peptidase complex" 1
0 1 2 7 "GO:1905369" "endopeptidase complex" 1
0 0.503326139244403 3 10 "GO:1990204" "oxidoreductase complex" 1
0 0.49311791087693 3 83 "GO:1990234" "transferase complex" 1
0 0.793555717262788 2 61 "GO:1990904" "ribonucleoprotein complex" 1
