"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 3 24 "GO:0005794" "Golgi apparatus" 1
0 1 2 16 "GO:0005813" "centrosome" 1
0 1 2 24 "GO:0005815" "microtubule organizing center" 1
0 1 2 5 "GO:0005829" "cytosol" 1
0 1 2 20 "GO:0005839" "proteasome core complex" 1
0 1 2 117 "GO:0005840" "ribosome" 1
0 1 2 15 "GO:0005852" "eukaryotic translation initiation factor 3 complex" 1
0 1 5 57 "GO:0005856" "cytoskeleton" 1
0 1 2 9 "GO:0005858" "axonemal dynein complex" 1
0 1 3 5 "GO:0005869" "dynactin complex" 1
0 1 3 73 "GO:0005871" "kinesin complex" 1
0 1 3 74 "GO:0005874;GO:0099513;GO:0099512;GO:0099081;GO:0099080" "supramolecular complex" 1
0 1 2 126 "GO:0005875" "microtubule associated complex" 1
0 1 3 25 "GO:0005886" "plasma membrane" 1
0 1 4 9 "GO:0005891;GO:0034704" "voltage-gated calcium channel complex" 1
0 1 3 5 "GO:0005952" "cAMP-dependent protein kinase complex" 1
0 1 7 15 "GO:0008021;GO:0070382;GO:0030133;GO:0099503" "secretory vesicle" 1
0 1 4 7 "GO:0008076;GO:0034705" "voltage-gated potassium channel complex" 1
0 1 3 12 "GO:0008305;GO:0098636;GO:0098802;GO:0043235" "receptor complex" 1
0 1 2 10 "GO:0015629" "actin cytoskeleton" 1
0 1 3 6 "GO:0015934" "large ribosomal subunit" 1
0 1 2 11 "GO:0015935" "small ribosomal subunit" 1
0 1 2 7 "GO:0016272" "prefoldin complex" 1
0 1 2 37 "GO:0016459" "myosin complex" 1
0 1 2 17 "GO:0016592" "mediator complex" 1
0 1 3 5 "GO:0017053" "transcription repressor complex" 1
0 1 2 9 "GO:0017119" "Golgi transport complex" 1
0 1 2 5 "GO:0019773" "proteasome core complex, alpha-subunit complex" 1
0 1 2 15 "GO:0019866;GO:0005743" "organelle inner membrane" 1
0 1 2 5 "GO:0019898" "extrinsic component of membrane" 1
0 1 3 41 "GO:0030117" "membrane coat" 1
0 1 2 21 "GO:0030120" "vesicle coat" 1
0 1 3 6 "GO:0030125;GO:0030118" "clathrin coat" 1
0 1 3 5 "GO:0030126" "COPI vesicle coat" 1
0 1 3 11 "GO:0030127" "COPII vesicle coat" 1
0 1 4 15 "GO:0030131;GO:0030119" "AP-type membrane coat adaptor complex" 1
0 1 2 10 "GO:0030173;GO:0031228" "integral component of Golgi membrane" 1
0 1 2 36 "GO:0030286" "dynein complex" 1
0 1 2 10 "GO:0030684;GO:0032040" "preribosome" 1
0 1 4 8 "GO:0030915;GO:0106068" "SUMO ligase complex" 1
0 1 4 8 "GO:0031011;GO:0033202;GO:0097346;GO:1904949;GO:0070603" "INO80-type complex" 1
0 1 2 39 "GO:0031012" "extracellular matrix" 1
0 1 3 68 "GO:0031090" "organelle membrane" 1
0 1 4 7 "GO:0031227" "intrinsic component of endoplasmic reticulum membrane" 1
0 1 4 28 "GO:0031301;GO:0031300" "intrinsic component of organelle membrane" 1
0 1 6 18 "GO:0031410;GO:0097708;GO:0031982" "cytoplasmic vesicle" 1
0 1 2 25 "GO:0031461" "cullin-RING ubiquitin ligase complex" 1
0 1 2 5 "GO:0031932" "TORC2 complex" 1
0 1 2 26 "GO:0031966" "mitochondrial membrane" 1
0 1 2 6 "GO:0032039" "integrator complex" 1
0 1 2 17 "GO:0033177" "proton-transporting two-sector ATPase complex, proton-transporting domain" 1
0 1 3 13 "GO:0033178" "proton-transporting two-sector ATPase complex, catalytic domain" 1
0 1 3 10 "GO:0033179" "proton-transporting V-type ATPase, V0 domain" 1
0 1 2 5 "GO:0033180" "proton-transporting V-type ATPase, V1 domain" 1
0 1 2 7 "GO:0034464" "BBSome" 1
0 1 4 19 "GO:0034703;GO:0034702;GO:1902495;GO:1990351" "transporter complex" 1
0 1 2 6 "GO:0036128" "CatSper complex" 1
0 1 3 8 "GO:0038201" "TOR complex" 1
0 1 2 6 "GO:0042555" "MCM complex" 1
0 1 3 208 "GO:0043232;GO:0043228" "non-membrane-bounded organelle" 1
0 1 2 17 "GO:0044391" "ribosomal subunit" 1
0 1 3 16 "GO:0045211;GO:0097060;GO:0098590" "plasma membrane region" 1
0 1 2 6 "GO:0048500" "signal recognition particle" 1
0 1 3 5 "GO:0055029;GO:0000428;GO:0030880" "nuclear DNA-directed RNA polymerase complex" 1
0 1 3 12 "GO:0061695" "transferase complex, transferring phosphorus-containing groups" 1
0 1 3 6 "GO:0070652" "HAUS complex" 1
0 1 2 15 "GO:0071203" "WASH complex" 1
0 1 2 15 "GO:0090575" "RNA polymerase II transcription regulator complex" 1
0 1 3 6 "GO:0097525;GO:0030532;GO:0120114" "Sm-like protein family complex" 1
0 1 2 33 "GO:0098588" "bounding membrane of organelle" 1
0 1 2 159 "GO:0098796" "membrane protein complex" 1
0 1 2 43 "GO:0098797" "plasma membrane protein complex" 1
0 1 2 25 "GO:0098800;GO:0098798" "mitochondrial protein-containing complex" 1
0 1 2 18 "GO:0099023" "vesicle tethering complex" 1
0 1 2 143 "GO:0140513" "nuclear protein-containing complex" 1
0 1 2 16 "GO:0140534" "endoplasmic reticulum protein-containing complex" 1
0 1 2 87 "GO:0140535" "intracellular protein-containing complex" 1
0 1 2 164 "GO:1902494" "catalytic complex" 1
0 1 2 5 "GO:1902562" "H4 histone acetyltransferase complex" 1
0 1 2 13 "GO:1905368" "peptidase complex" 1
0 1 2 6 "GO:1905369" "endopeptidase complex" 1
0 1 2 9 "GO:1990204" "oxidoreductase complex" 1
0 1 2 82 "GO:1990234" "transferase complex" 1
0 1 2 56 "GO:1990904" "ribonucleoprotein complex" 1
