"geneid","pr_meth_logFC","pr_meth_logCPM","common_name","peak_density_TSS","peak_density_Introns","peak_density_Intron1","peak_density_Exons","gene_len","exon_len","intron_len","TSS_dens_norm","intron_dens_norm","exon_dens_norm"
"SPU_000373",0.575517955765688,6.77121801987354,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000386",2.82154818722277,6.63848503643075,"SP-HOX2_1",17.3333333333333,73.3333333333333,73.3333333333333,36.6666666666667,1348,559,789,17.3333333333333,0.0929446556822983,0.0655933214072749
"SPU_000423",0.444499607926958,5.33640570906428,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000439",-0.940629198983239,9.93626344151975,"SP-P58-A",131,1594.33333333333,839.666666666667,321,28702,2618,26084,131,0.0611230383887952,0.122612681436211
"SPU_000446",-1.25768821798134,7.61052628892022,"SP-ADRM1L",75,28,0,5.33333333333333,2025,340,1685,75,0.0166172106824926,0.0156862745098039
"SPU_000449",-1.44593141540392,6.11668334937862,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000459",0.263960150876691,8.49238936814491,"SP-SMYD3L",93,648.333333333333,0,31.3333333333333,18356,603,17753,93,0.0365196492611577,0.0519624101713654
"SPU_000479",-0.86458809995251,7.43243374837113,"SP-CCDC63",30.6666666666667,37.3333333333333,0,90.6666666666667,5440,1311,4129,30.6666666666667,0.00904173730523936,0.0691584032545131
"SPU_000527",-1.0833843993062,8.65598813137465,"SP-CUBNL_8",13.6666666666667,67.3333333333333,0,26.6666666666667,9201,1112,8089,13.6666666666667,0.00832406148267194,0.0239808153477218
"SPU_000545",0.642505612539391,5.77249271635935,"SP-GTF3C1L",85.6666666666667,338.333333333333,0.666666666666667,279.333333333333,22922,5405,17517,85.6666666666667,0.0193145706076002,0.0516805427073697
"SPU_000548",-0.447976138883348,5.49436707997259,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000570",1.05304144102357,4.47614727954253,"SP-HYPP_308",114.333333333333,87,0,0,7535,4547,2988,114.333333333333,0.0291164658634538,0
"SPU_000584",-0.0569572724241754,7.15876130921927,"SP-GPCR126",16.3333333333333,638,172.333333333333,103,24204,2185,22019,16.3333333333333,0.0289749761569554,0.0471395881006865
"SPU_000593",2.30913445183015,6.74483064731608,"SP-SMPD1L",57.6666666666667,141.666666666667,25.6666666666667,30.3333333333333,10352,685,9667,57.6666666666667,0.0146546670804455,0.0442822384428224
"SPU_000595",-0.183547112975528,6.66893895891114,"SP-EF1A",73.6666666666667,0,0,0,4190,1033,3157,73.6666666666667,0,0
"SPU_000601",-0.12388924270588,7.94525958648102,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000619",1.07208670669594,4.71609291523346,"SP-APDPL",18.6666666666667,57.3333333333333,0,43.3333333333333,6986,800,6186,18.6666666666667,0.00926824011208104,0.0541666666666667
"SPU_000620",1.15467924678032,6.19226578796494,"SP-LRP12L_2",194.333333333333,918.333333333333,354.333333333333,295.666666666667,17814,1468,16346,194.333333333333,0.0561809209184714,0.201407811080836
"SPU_000621",-3.71972025635146,6.95841155215718,"SP-LRP1L_1",62.6666666666667,1270.33333333333,0,260.666666666667,24520,2075,22445,62.6666666666667,0.056597608970075,0.125622489959839
"SPU_000667",0.380900426499049,8.90945334429199,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000668",-0.133071311590879,9.89108541844941,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000678",-1.306778030577,7.68304855957889,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000713",0.615559345959693,9.82061803156637,"SP-HYPP_1284",134.666666666667,0,0,0,1783,1783,0,134.666666666667,0,0
"SPU_000718",0.494698177655774,9.25078635847004,"SP-CHST2L",103,32,32,49,971,971,0,103,0,0.0504634397528321
"SPU_000735",-0.357156736432094,8.82309409023709,"SP-SPA17",64,156.333333333333,11,31.3333333333333,6545,432,6113,64,0.02557391351764,0.0725308641975309
"SPU_000739",1.80179364252707,8.18412132778689,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000766",1.53593210325166,6.20988939908995,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000773",1.26766210706514,4.98856937616398,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000774",0.127412976964614,7.75748612974247,"SP-B3GALT5",115.666666666667,7.66666666666667,7.66666666666667,11.3333333333333,638,638,0,115.666666666667,0,0.0177638453500522
"SPU_000786",0.404652799984216,4.74544691066614,"SP-DDX20",46.6666666666667,172.666666666667,0,426,10588,5041,5547,46.6666666666667,0.0311279370230154,0.0845070422535211
"SPU_000809",-0.994038005629049,9.52517225762338,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000831",0.890801795356798,7.66337966173966,"SP-RPTPD_2",68.3333333333333,0,0,3.66666666666667,1001,474,527,68.3333333333333,0,0.00773558368495077
"SPU_000860",0.549404928916904,7.10246229454259,"SP-SLC16A12L_4",41.6666666666667,120,105,176.666666666667,7866,1454,6412,41.6666666666667,0.0187149095446039,0.121503897294819
"SPU_000873",3.51934250244724,6.30994678565597,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000879",-0.283681084025719,8.17190634106571,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000922",1.40116985243302,5.45889721835563,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000931",-0.332322005556105,7.53633141569551,"SP-ST8SIA",51.6666666666667,2,0,56.3333333333333,4146,1007,3139,51.6666666666667,0.000637145587766805,0.0559417411453161
"SPU_000932",-1.54646207821948,6.8562460549092,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000952",-0.487480142898078,7.19873531112801,"SP-CABLES1",9,215.333333333333,124.333333333333,117.666666666667,14820,1658,13162,9,0.0163602289419035,0.0709690390028146
"SPU_000959",0.832499370775258,7.85204704700371,"SP-EF1BD(N-TER)",103.666666666667,0,0,0,5499,291,5208,103.666666666667,0,0
"SPU_000971",0.442025140838749,6.87730202789969,"SP-SLC6A2_1",80,1583,760.666666666667,210,33180,1605,31575,80,0.0501346001583531,0.130841121495327
"SPU_000972",-0.57398633957909,8.87575766069356,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000978",-0.490926376544561,5.39450422879051,"SP-PLXNA4",10.6666666666667,47.6666666666667,0,51.3333333333333,4818,1522,3296,10.6666666666667,0.0144619741100324,0.0337275514673675
"SPU_000990",0.0920721566399856,8.74796039975713,"SP-ATOL1",87.3333333333333,16.3333333333333,0,14.6666666666667,863,863,0,87.3333333333333,0,0.0169949787562766
"SPU_000992",-0.338246428213028,7.17742542058289,NA,0,0,0,0,0,0,0,0,0,0
"SPU_001035",-0.0824184146166355,10.3337290649592,NA,0,0,0,0,0,0,0,0,0,0
"SPU_001081",-0.437543449000006,7.07400213928496,"SP-HEATR2",83.3333333333333,125.333333333333,0,159.666666666667,9489,2498,6991,83.3333333333333,0.0179278119486959,0.0639178009073926
"SPU_001112",0.897845965228094,7.4124051132476,NA,0,0,0,0,0,0,0,0,0,0
"SPU_001113",-5.01993537613531,5.70709423947784,NA,0,0,0,0,0,0,0,0,0,0
"SPU_001139",-1.38361472364598,4.62669882515161,"SP-KIAA1161",102.666666666667,767.666666666667,572.333333333333,216,5022,3834,1188,102.666666666667,0.646184062850729,0.0563380281690141
"SPU_001150",0.0465812235693852,11.1821666334607,NA,0,0,0,0,0,0,0,0,0,0
"SPU_001158",-0.983694803092424,7.1068613490802,NA,0,0,0,0,0,0,0,0,0,0
"SPU_001172",-0.319902980035481,8.2948769209509,"SP-SRCR11",70.6666666666667,44.6666666666667,0,70.6666666666667,5325,1780,3545,70.6666666666667,0.012599905970851,0.0397003745318352
"SPU_001192",-0.375438902040554,7.54253241962187,"SP-PAN3",81.6666666666667,657.333333333333,0,360,19546,5010,14536,81.6666666666667,0.045221060355898,0.0718562874251497
"SPU_001211",-0.588820232526279,7.46093310378934,"SP-SLC16A9",103,698.333333333333,417.666666666667,304,13818,2681,11137,103,0.0627038999132022,0.113390525923163
"SPU_001213",-1.92903621689345,5.74270194062795,NA,0,0,0,0,0,0,0,0,0,0
"SPU_001215",-0.019817419627546,6.31609703092493,NA,0,0,0,0,0,0,0,0,0,0
"SPU_001242",0.138755870506357,5.0058010926931,"SP-HYPP_1317",95.6666666666667,81.3333333333333,0,62.3333333333333,5288,2087,3201,95.6666666666667,0.0254087264396543,0.0298674333173614
"SPU_001247",1.71255857175457,5.29125693655649,NA,0,0,0,0,0,0,0,0,0,0
"SPU_001254",0.780213091014294,9.17558261592368,"SP-HYPP_3111",30.3333333333333,553.666666666667,0,329,13119,3094,10025,30.3333333333333,0.0552285951787199,0.106334841628959
"SPU_001270",0.688753506796854,4.65111607568625,"SP-SLC5L",87.6666666666667,0,0,0,1399,492,907,87.6666666666667,0,0
"SPU_001271",0.294558603840515,8.051333568694,"SP-SLC5L_1",19.6666666666667,0,0,0.333333333333333,398,398,0,19.6666666666667,0,0.00083752093802345
"SPU_001276",-0.138078726809771,7.50502258947117,"SP-GPR112L_2",110.333333333333,250.333333333333,72.3333333333333,291.333333333333,14076,2703,11373,110.333333333333,0.0220111961077406,0.107781477370823
"SPU_001308",-1.00160027747291,7.3646084156933,"SP-TAF12",82.6666666666667,142.666666666667,0,73.6666666666667,10485,1138,9347,82.6666666666667,0.015263364359331,0.0647334504979496
"SPU_001318",0.739755714995091,7.42692244420165,NA,0,0,0,0,0,0,0,0,0,0
"SPU_001378",1.50738512008,7.6390492500367,NA,0,0,0,0,0,0,0,0,0,0
"SPU_001414",0.00532581102175551,9.98681851014666,"SP-POLPPL_12",77.6666666666667,0,0,48.3333333333333,3818,3818,0,77.6666666666667,0,0.0126593329841104
"SPU_001416",3.41766013089938,5.49108308494475,NA,0,0,0,0,0,0,0,0,0,0
"SPU_001439",-0.446688138258085,5.11233535413281,"SP-POLR2C",7.66666666666667,40,0,18.6666666666667,7569,2647,4922,7.66666666666667,0.00812677773262901,0.00705200856315326
"SPU_001450",0.751744847036927,6.97795813508943,"SP-RFP150L",110,1262.33333333333,1262.33333333333,122.666666666667,30499,1331,29168,110,0.0432780215761565,0.0921612822439269
"SPU_001460",-0.0589499928434305,6.48469083227491,NA,0,0,0,0,0,0,0,0,0,0
"SPU_001496",-3.25349619018566,6.97647770853538,"SP-DNAJHC1",39.3333333333333,198,0,199,12770,1927,10843,39.3333333333333,0.0182606289772203,0.103269330565646
"SPU_001503",0.252124839749706,7.64014820608916,"SP-HRH2L_2",12.6666666666667,0,0,0,941,941,0,12.6666666666667,0,0
"SPU_001523",1.75444993236053,5.9124726560688,NA,0,0,0,0,0,0,0,0,0,0
"SPU_001534",0.507765900366193,5.36500358024475,NA,0,0,0,0,0,0,0,0,0,0
"SPU_001547",-0.0234010592180821,7.39914638172666,"SP-HYPP_1335",57,126.666666666667,0,11.3333333333333,8140,994,7146,57,0.0177255340983301,0.01140174379611
"SPU_001569",1.34803620181458,7.6339662748643,NA,0,0,0,0,0,0,0,0,0,0
"SPU_001590",-0.0689003006112491,7.16486490872477,NA,0,0,0,0,0,0,0,0,0,0
"SPU_001596",-0.164335645952598,11.4968986707249,"SP-ATP11",130,1706.33333333333,1706.33333333333,0,41302,3842,37460,130,0.045550809752625,0
"SPU_001633",1.05452031356994,8.18374287063964,"SP-UNK_109",40.6666666666667,96,0,0,9108,515,8593,40.6666666666667,0.0111718840917025,0
"SPU_001639",-0.466146142380975,8.0223774109145,"SP-LCT-8",158.666666666667,1503.66666666667,0,335.333333333333,4870,2573,2297,158.666666666667,0.654621970686403,0.130327762663557
"SPU_001655",-0.916929762603529,6.61955252761441,"SP-GALNAC4S-6STL",10,658,249.333333333333,174,3975,934,3041,10,0.216376192042091,0.186295503211991
"SPU_001672",0.89793975230562,7.56216165593466,"SP-XRRA1L",70.6666666666667,86.6666666666667,56.6666666666667,12.3333333333333,9549,1123,8426,70.6666666666667,0.0102856238626474,0.0109824873849807
"SPU_001690",0.333794739197825,7.00847144001916,"SP-CDK8",7,61.6666666666667,26,19,22695,3889,18806,7,0.00327909532418732,0.00488557469786577
"SPU_001697",1.27936183409112,5.04227939763887,"SP-GAT_4",157.333333333333,1568.66666666667,1568.66666666667,0,42431,441,41990,157.333333333333,0.0373581011351909,0
"SPU_001698",-0.218774358715761,8.34611260124202,NA,0,0,0,0,0,0,0,0,0,0
"SPU_001729",0.347997714117206,8.22601584032265,NA,0,0,0,0,0,0,0,0,0,0
"SPU_001754",0.424134679799715,7.53076301552349,"SP-ECHN18",13.3333333333333,34,0,0,21684,1526,20158,13.3333333333333,0.00168667526540331,0
"SPU_001756",0.572856299170176,7.9909019000366,NA,0,0,0,0,0,0,0,0,0,0
"SPU_001785",1.29026289789851,7.26766931549667,"SP-EGGBR1L",111.333333333333,582.333333333333,0,310,18537,4419,14118,111.333333333333,0.0412475799216131,0.0701516180131251
"SPU_001841",0.638572410217859,6.39071475959309,"SP-DRD2L_10",20.6666666666667,2,2,15,1169,1169,0,20.6666666666667,0,0.0128314798973482
"SPU_001842",-0.316793087667639,6.95128446432632,"SP-HYPP_1347",41.3333333333333,0,0,0,1242,1242,0,41.3333333333333,0,0
"SPU_001863",-1.18338677258427,5.60040338535066,"SP-SRCR20",110.666666666667,58.3333333333333,57,19,3557,750,2807,110.666666666667,0.0207813798836243,0.0253333333333333
"SPU_001876",1.47333990167362,7.64106078295067,"SP-HYPP_1351",71.3333333333333,357.333333333333,239.666666666667,69.6666666666667,17247,1367,15880,71.3333333333333,0.0225020990764064,0.0509631797122653
"SPU_001881",-0.798068216990791,6.05518485320746,NA,0,0,0,0,0,0,0,0,0,0
"SPU_001904",-0.291193026023083,7.83462591273752,NA,0,0,0,0,0,0,0,0,0,0
"SPU_001914",-0.986620654804209,7.76235053713774,"SP-HRH3",124.666666666667,43,0,23,1454,1454,0,124.666666666667,0,0.015818431911967
"SPU_001920",-0.502654016590366,6.37923195569309,"SP-HYPP_1355",32,265,0,129.333333333333,8268,1547,6721,32,0.039428656449933,0.083602671837966
"SPU_001924",1.48433847168048,7.01378841406417,"SP-CANT1",95.3333333333333,34.6666666666667,13.3333333333333,128.666666666667,3808,1194,2614,95.3333333333333,0.0132619229788319,0.107761027359017
"SPU_001928",1.6592785217008,5.89221421002964,"SP-HYALIN1",198.666666666667,1911.33333333333,365.333333333333,740.333333333333,41203,9109,32094,198.666666666667,0.0595542261274174,0.0812749295568485
"SPU_001975",0.574094260471835,9.0917142312482,NA,0,0,0,0,0,0,0,0,0,0
"SPU_002009",-0.717865366013775,7.841167186392,"SP-Z480_1",268,22.6666666666667,0,25.3333333333333,1070,1070,0,268,0,0.0236760124610592
"SPU_002012",1.08681305186606,7.11890439764692,"SP-ATPIF1L",36,2,0,1.33333333333333,4841,923,3918,36,0.000510464522715671,0.00144456482484651
"SPU_002025",4.58964435595445,5.10449614376209,"SP-AGRIN/NT",182,1289,1289,67.3333333333333,76186,1984,74202,182,0.0173714994205008,0.0339381720430108
"SPU_002036",-2.37229621832087,8.84477220705336,NA,0,0,0,0,0,0,0,0,0,0
"SPU_002054",0.816973327815935,6.19707101285779,"SP-ATAD5",42.6666666666667,245.333333333333,18.3333333333333,616.666666666667,20047,7847,12200,42.6666666666667,0.0201092896174863,0.0785862962490973
"SPU_002076",-0.96513501834726,8.28268324429432,"SP-UNK_68",47.6666666666667,94.3333333333333,0,56.3333333333333,1042,606,436,47.6666666666667,0.216360856269113,0.092959295929593
"SPU_002085",0.640876796005294,7.43801632098175,NA,0,0,0,0,0,0,0,0,0,0
"SPU_002114",-0.303403408547393,9.60089352533393,NA,0,0,0,0,0,0,0,0,0,0
"SPU_002118",3.32903488482016,5.20017584254114,"SP-RALBP1",46.3333333333333,953.333333333333,421.666666666667,126.333333333333,35377,2328,33049,46.3333333333333,0.028846056865059,0.0542668957617411
"SPU_002131",0.0790325193870179,9.94017195754214,NA,0,0,0,0,0,0,0,0,0,0
"SPU_002177",0.196726540295661,8.19496684123768,NA,0,0,0,0,0,0,0,0,0,0
"SPU_002187",-1.28715374323889,7.55484236184278,"SP-HYPP_347",11,120.333333333333,0,39.3333333333333,10261,2144,8117,11,0.0148248531887807,0.0183457711442786
"SPU_002211",1.79821020898165,6.17650128148501,NA,0,0,0,0,0,0,0,0,0,0
"SPU_002214",-0.885104252118261,6.77977819279489,"SP-LON",107,830.333333333333,830.333333333333,0,109793,3984,105809,107,0.00784747359235352,0
"SPU_002219",2.15529706378815,7.54574902334391,"SP-NEFL",92.3333333333333,488.333333333333,297.333333333333,48.3333333333333,25920,4720,21200,92.3333333333333,0.0230345911949686,0.0102401129943503
"SPU_002226",-0.00335168186460878,8.17973503751413,"SP-SLC39A3",113.333333333333,0,0,0,1235,1235,0,113.333333333333,0,0
"SPU_002252",-0.254831005561334,8.18955905449785,"SP-RAB39",7.66666666666667,0,0,0,4222,3578,644,7.66666666666667,0,0
"SPU_002295",0.0623265759812246,8.42031170030035,"SP-SEPHS2",157,73.3333333333333,0,89.3333333333333,7879,3886,3993,157,0.0183654729109275,0.0229885057471264
"SPU_002298",1.44471918262272,6.01374596847009,NA,0,0,0,0,0,0,0,0,0,0
"SPU_002342",-0.104439150100815,6.69358273534052,NA,0,0,0,0,0,0,0,0,0,0
"SPU_002344",-0.331564783774831,10.1000329300459,"SP-HYPP_1388",60,392.333333333333,0,171.666666666667,9600,1185,8415,60,0.0466230936819172,0.144866385372714
"SPU_002361",-1.80420349167365,6.68207585340245,NA,0,0,0,0,0,0,0,0,0,0
"SPU_002378",-0.256722777857212,5.75500948542452,NA,0,0,0,0,0,0,0,0,0,0
"SPU_002417",-0.484728034195364,7.88252277879083,NA,0,0,0,0,0,0,0,0,0,0
"SPU_002427",-0.315076905745006,5.70127719663912,"SP-SLC7A2",32,11.6666666666667,0,16.3333333333333,5114,1458,3656,32,0.00319110138584974,0.0112025605852766
"SPU_002432",0.640538244543385,7.31089067050384,"SP-UNK_30",81,1018,611,106.333333333333,15650,612,15038,81,0.0676951722303498,0.173747276688453
"SPU_002447",0.0713924805900189,10.0259519407665,NA,0,0,0,0,0,0,0,0,0,0
"SPU_002449",0.989824489647141,6.09958810649301,NA,0,0,0,0,0,0,0,0,0,0
"SPU_002499",0.825360603175989,6.97386836451151,"SP-GUCY2GL",7.33333333333333,167.666666666667,0,97.3333333333333,16434,1878,14556,7.33333333333333,0.0115187322524503,0.0518281860134895
"SPU_002550",0.13079997559144,8.14854822760473,"SP-MACPFB.1",39,0,0,0,35620,1772,33848,39,0,0
"SPU_002558",-0.194825532911946,8.82817151574393,"SP-SLC17A5",45.6666666666667,281.666666666667,0,235.666666666667,13403,3963,9440,45.6666666666667,0.0298375706214689,0.0594667339557574
"SPU_002572",0.474020686311901,5.49379571438641,"SP-PLA2G3",14.6666666666667,19.6666666666667,19.6666666666667,16,4190,1221,2969,14.6666666666667,0.00662400359267992,0.0131040131040131
"SPU_002587",-1.32723228199437,7.29734577606712,"SP-EF1BG",73.3333333333333,1337.66666666667,0,198.666666666667,12329,2405,9924,73.3333333333333,0.134791078866049,0.0826056826056826
"SPU_002590",-0.348960326254151,5.88918190164976,"SP-CYP46L1",6.66666666666667,179.333333333333,13.6666666666667,93.3333333333333,6236,1051,5185,6.66666666666667,0.0345869495339119,0.0888043133523628
"SPU_002597",0.594501871574372,7.34652434537434,"SP-HYPP_1404",23,0,0,57.6666666666667,4277,1278,2999,23,0,0.0451225873761085
"SPU_002613",0.213960469129617,8.86316438704867,NA,0,0,0,0,0,0,0,0,0,0
"SPU_002645",-0.780252270546157,5.22655015940122,"SP-SRPK1L",190,750.666666666667,299.333333333333,50.3333333333333,43214,2723,40491,190,0.0185390992236958,0.0184845146284735
"SPU_002688",0.799094495870738,7.95679777287643,NA,0,0,0,0,0,0,0,0,0,0
"SPU_002711",0.744935188779524,5.47114131287616,"SP-SERPL11",61.3333333333333,341.666666666667,294.333333333333,34.3333333333333,1112,418,694,61.3333333333333,0.492315081652257,0.0821371610845295
"SPU_002725",0.0391688710742189,7.74757662289218,"SP-HGD",33,412,0,142.333333333333,22337,1610,20727,33,0.0198774545279105,0.0884057971014493
"SPU_002739",-0.613564616734642,8.69618538475477,"SP-TMEM26-2",97.6666666666667,130,124.333333333333,57.6666666666667,11783,1200,10583,97.6666666666667,0.0122838514598885,0.0480555555555556
"SPU_002816",1.20975976813324,7.88708327600449,"SP-HB9",170.333333333333,1810.66666666667,1810.66666666667,19.3333333333333,29897,2055,27842,170.333333333333,0.0650336422191892,0.00940794809407948
"SPU_002834",0.556640879274132,6.09817460120411,"SP-ECHN19",85,638.333333333333,308,127.333333333333,15519,1262,14257,85,0.0447733277220547,0.100898045430534
"SPU_002846",0.0722667703705119,7.0678411400193,NA,0,0,0,0,0,0,0,0,0,0
"SPU_002861",1.36189988288217,5.4648247515639,"SP-CLECT/EGF/HYALIN",3.66666666666667,24.6666666666667,0,9.33333333333333,3789,1051,2738,3.66666666666667,0.00900900900900901,0.00888043133523628
"SPU_002862",-0.128715463992918,9.58050819324539,"SP-LRR_1",138,0,0,3.33333333333333,3033,3033,0,138,0,0.00109902187053522
"SPU_002877",-0.33856623253313,8.67670148225348,"SP-UNKEN3-5DL",65,42.3333333333333,0.666666666666667,44.3333333333333,7341,1548,5793,65,0.00730767017664998,0.0286391042204996
"SPU_002879",-0.575905938998883,6.68641773860662,"SP-ENDRVT_3",48.6666666666667,27,10,67,1748,1748,0,48.6666666666667,0,0.0383295194508009
"SPU_002887",0.14627041980296,8.58097253382696,"SP-B4GALT5",58,639.666666666667,0,52.6666666666667,38711,1242,37469,58,0.0170718905406247,0.0424047235641439
"SPU_002889",-0.0913635630635133,7.79748698096957,"SP-MDM1",92,520.666666666667,0,125,27071,2803,24268,92,0.0214548651173012,0.0445950767035319
"SPU_002894",0.971955075755678,8.67867040492211,NA,0,0,0,0,0,0,0,0,0,0
"SPU_002895",0.369526498091425,8.77923999238581,"SP-PKS1",62,811.333333333333,44.6666666666667,1022.33333333333,13497,9123,4374,62,0.185490016765737,0.112061091015382
"SPU_002899",0.123382880930544,8.52283475844571,"SP-CYP2LF",96.6666666666667,450.666666666667,394,95.3333333333333,885,405,480,96.6666666666667,0.938888888888889,0.235390946502058
"SPU_002901",-1.44207960477224,7.75709815234515,"SP-ALDH9A1",4,81.6666666666667,0,143.666666666667,7660,1131,6529,4,0.0125082963189871,0.127026230474506
"SPU_002904",0.131733487647661,10.8590651656669,"SP-C7ORF43L",119,124.333333333333,0,22,20382,1872,18510,119,0.00671708986133621,0.0117521367521368
"SPU_002931",2.135716217995,6.11526996814125,NA,0,0,0,0,0,0,0,0,0,0
"SPU_002944",-1.52551975522922,4.639442749972,NA,0,0,0,0,0,0,0,0,0,0
"SPU_002961",0.0397437870805549,7.46466556459045,"SP-DNM2",141.333333333333,178.333333333333,132.666666666667,48.6666666666667,71435,1911,69524,141.333333333333,0.00256506146558503,0.0254665968951683
"SPU_002991",0.291194995372602,7.71510447494777,NA,0,0,0,0,0,0,0,0,0,0
"SPU_002995",0.0718874994290643,8.63007309495712,NA,0,0,0,0,0,0,0,0,0,0
"SPU_003017",-1.60096886475096,5.39125460588941,"SP-NT5E_4",7.33333333333333,0,0,0,1323,403,920,7.33333333333333,0,0
"SPU_003021",-0.856822024574213,5.82133949405028,"SP-NT5E",106,280.333333333333,200,41.6666666666667,132896,1738,131158,106,0.00213737121131256,0.0239739163789797
"SPU_003037",-0.0723352108544073,8.08117031278677,NA,0,0,0,0,0,0,0,0,0,0
"SPU_003049",1.49732841626441,7.98163883280268,NA,0,0,0,0,0,0,0,0,0,0
"SPU_003053",0.105808609717403,6.14168085354475,NA,0,0,0,0,0,0,0,0,0,0
