"geneid","pr_meth_logFC","pr_meth_logCPM","GE_logFC","GE_logCPM","common_name","peak_density_TSS","peak_density_Introns","peak_density_Intron1","peak_density_Exons","gene_len","exon_len","intron_len","TSS_dens_norm","intron_dens_norm","exon_dens_norm"
"SPU_000446",-1.25768821798134,7.61052628892022,-0.0815274068952915,3.32066750877432,"SP-ADRM1L",75,28,0,5.33333333333333,2025,340,1685,0.075,0.0166172106824926,0.0156862745098039
"SPU_000545",0.642505612539391,5.77249271635935,-0.133331783632278,4.78836993986201,"SP-GTF3C1L",85.6666666666667,338.333333333333,0.666666666666667,279.333333333333,22922,5405,17517,0.0856666666666667,0.0193145706076002,0.0516805427073697
"SPU_000548",-0.447976138883348,5.49436707997259,-0.149597731085827,3.90641216329825,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000570",1.05304144102357,4.47614727954253,-0.0480007257056239,5.69295233183627,"SP-HYPP_308",114.333333333333,87,0,0,7535,4547,2988,0.114333333333333,0.0291164658634538,0
"SPU_000595",-0.183547112975528,6.66893895891114,0.100140364989608,11.2773040254995,"SP-EF1A",73.6666666666667,0,0,0,4190,1033,3157,0.0736666666666667,0,0
"SPU_000601",-0.12388924270588,7.94525958648102,0.106211881165912,1.6503059424129,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000620",1.15467924678032,6.19226578796494,-0.701615080622428,7.42960480338778,"SP-LRP12L_2",194.333333333333,918.333333333333,354.333333333333,295.666666666667,17814,1468,16346,0.194333333333333,0.0561809209184714,0.201407811080836
"SPU_000621",-3.71972025635146,6.95841155215718,-0.375115321826053,9.13511549260616,"SP-LRP1L_1",62.6666666666667,1270.33333333333,0,260.666666666667,24520,2075,22445,0.0626666666666667,0.056597608970075,0.125622489959839
"SPU_000667",0.380900426499049,8.90945334429199,-0.776763257066154,1.752159618235,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000668",-0.133071311590879,9.89108541844941,-0.0443690016204967,6.12458647032757,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000713",0.615559345959693,9.82061803156637,0.231021590297468,1.51873013085363,"SP-HYPP_1284",134.666666666667,0,0,0,1783,1783,0,0.134666666666667,0,0
"SPU_000735",-0.357156736432094,8.82309409023709,-0.0830107298752734,3.31304463815712,"SP-SPA17",64,156.333333333333,11,31.3333333333333,6545,432,6113,0.064,0.02557391351764,0.0725308641975309
"SPU_000739",1.80179364252707,8.18412132778689,-0.26071508003078,4.42800094059716,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000773",1.26766210706514,4.98856937616398,-0.15783984518571,2.3983417460344,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000774",0.127412976964614,7.75748612974247,-0.0227124821536847,3.86915695200364,"SP-B3GALT5",115.666666666667,7.66666666666667,7.66666666666667,11.3333333333333,638,638,0,0.115666666666667,0,0.0177638453500522
"SPU_000786",0.404652799984216,4.74544691066614,-0.0686439298887506,4.39214455502587,"SP-DDX20",46.6666666666667,172.666666666667,0,426,10588,5041,5547,0.0466666666666667,0.0311279370230154,0.0845070422535211
"SPU_000860",0.549404928916904,7.10246229454259,0.216053333242675,1.31810767733724,"SP-SLC16A12L_4",41.6666666666667,120,105,176.666666666667,7866,1454,6412,0.0416666666666667,0.0187149095446039,0.121503897294819
"SPU_000879",-0.283681084025719,8.17190634106571,0.0907130324887326,6.10990581081284,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000922",1.40116985243302,5.45889721835563,0.219086669818563,7.16851536802571,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000931",-0.332322005556105,7.53633141569551,0.33021233747545,0.469925331341629,"SP-ST8SIA",51.6666666666667,2,0,56.3333333333333,4146,1007,3139,0.0516666666666667,0.000637145587766805,0.0559417411453161
"SPU_000952",-0.487480142898078,7.19873531112801,-0.089792972194181,2.8103359929396,"SP-CABLES1",9,215.333333333333,124.333333333333,117.666666666667,14820,1658,13162,0.009,0.0163602289419035,0.0709690390028146
"SPU_000959",0.832499370775258,7.85204704700371,-0.0400275733711751,2.17235836372681,"SP-EF1BD(N-TER)",103.666666666667,0,0,0,5499,291,5208,0.103666666666667,0,0
"SPU_000971",0.442025140838749,6.87730202789969,-0.113395535736838,4.86642838643371,"SP-SLC6A2_1",80,1583,760.666666666667,210,33180,1605,31575,0.08,0.0501346001583531,0.130841121495327
"SPU_000972",-0.57398633957909,8.87575766069356,0.491141626007329,2.42989255599819,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000978",-0.490926376544561,5.39450422879051,-0.0251658428669427,4.66829639449339,"SP-PLXNA4",10.6666666666667,47.6666666666667,0,51.3333333333333,4818,1522,3296,0.0106666666666667,0.0144619741100324,0.0337275514673675
"SPU_001081",-0.437543449000006,7.07400213928496,-0.693890498164714,3.8028506016847,"SP-HEATR2",83.3333333333333,125.333333333333,0,159.666666666667,9489,2498,6991,0.0833333333333333,0.0179278119486959,0.0639178009073926
"SPU_001113",-5.01993537613531,5.70709423947784,0.0975786851873083,3.95467925927605,NA,0,0,0,0,0,0,0,0,0,0
"SPU_001192",-0.375438902040554,7.54253241962187,-0.0242774463887523,7.54002660139937,"SP-PAN3",81.6666666666667,657.333333333333,0,360,19546,5010,14536,0.0816666666666667,0.045221060355898,0.0718562874251497
"SPU_001211",-0.588820232526279,7.46093310378934,0.0665477041847645,5.42348528004035,"SP-SLC16A9",103,698.333333333333,417.666666666667,304,13818,2681,11137,0.103,0.0627038999132022,0.113390525923163
"SPU_001242",0.138755870506357,5.0058010926931,0.31648549966866,7.0890730927334,"SP-HYPP_1317",95.6666666666667,81.3333333333333,0,62.3333333333333,5288,2087,3201,0.0956666666666667,0.0254087264396543,0.0298674333173614
"SPU_001247",1.71255857175457,5.29125693655649,0.187453679279977,7.38147303466913,NA,0,0,0,0,0,0,0,0,0,0
"SPU_001254",0.780213091014294,9.17558261592368,0.753343032662737,0.257676841379182,"SP-HYPP_3111",30.3333333333333,553.666666666667,0,329,13119,3094,10025,0.0303333333333333,0.0552285951787199,0.106334841628959
"SPU_001308",-1.00160027747291,7.3646084156933,-0.0347164184682741,3.2121325071924,"SP-TAF12",82.6666666666667,142.666666666667,0,73.6666666666667,10485,1138,9347,0.0826666666666667,0.015263364359331,0.0647334504979496
"SPU_001318",0.739755714995091,7.42692244420165,0.0778278265690253,2.62609634946827,NA,0,0,0,0,0,0,0,0,0,0
"SPU_001439",-0.446688138258085,5.11233535413281,-0.785207760864052,4.12009210232075,"SP-POLR2C",7.66666666666667,40,0,18.6666666666667,7569,2647,4922,0.00766666666666667,0.00812677773262901,0.00705200856315326
"SPU_001450",0.751744847036927,6.97795813508943,-0.205640911019654,3.91264152826581,"SP-RFP150L",110,1262.33333333333,1262.33333333333,122.666666666667,30499,1331,29168,0.11,0.0432780215761565,0.0921612822439269
"SPU_001496",-3.25349619018566,6.97647770853538,-0.00635063791274377,4.33714027233422,"SP-DNAJHC1",39.3333333333333,198,0,199,12770,1927,10843,0.0393333333333333,0.0182606289772203,0.103269330565646
"SPU_001534",0.507765900366193,5.36500358024475,-0.124025791670629,2.96708505247169,NA,0,0,0,0,0,0,0,0,0,0
"SPU_001569",1.34803620181458,7.6339662748643,-0.0237104293366948,1.81982533003196,NA,0,0,0,0,0,0,0,0,0,0
"SPU_001596",-0.164335645952598,11.4968986707249,-0.0090555897515444,11.1665590994448,"SP-ATP11",130,1706.33333333333,1706.33333333333,0,41302,3842,37460,0.13,0.045550809752625,0
"SPU_001633",1.05452031356994,8.18374287063964,-0.0820284533985803,3.00392672691501,"SP-UNK_109",40.6666666666667,96,0,0,9108,515,8593,0.0406666666666667,0.0111718840917025,0
"SPU_001672",0.89793975230562,7.56216165593466,0.0837483205240322,4.1920426855508,"SP-XRRA1L",70.6666666666667,86.6666666666667,56.6666666666667,12.3333333333333,9549,1123,8426,0.0706666666666667,0.0102856238626474,0.0109824873849807
"SPU_001690",0.333794739197825,7.00847144001916,0.139357422304638,6.9358721611514,"SP-CDK8",7,61.6666666666667,26,19,22695,3889,18806,0.007,0.00327909532418732,0.00488557469786577
"SPU_001729",0.347997714117206,8.22601584032265,-0.512319146400092,1.50813401570024,NA,0,0,0,0,0,0,0,0,0,0
"SPU_001754",0.424134679799715,7.53076301552349,0.81435348094921,0.0548984571081338,"SP-ECHN18",13.3333333333333,34,0,0,21684,1526,20158,0.0133333333333333,0.00168667526540331,0
"SPU_001756",0.572856299170176,7.9909019000366,-0.0664863645644537,1.60945008550508,NA,0,0,0,0,0,0,0,0,0,0
"SPU_001785",1.29026289789851,7.26766931549667,-0.106707596117986,9.04085953709274,"SP-EGGBR1L",111.333333333333,582.333333333333,0,310,18537,4419,14118,0.111333333333333,0.0412475799216131,0.0701516180131251
"SPU_001876",1.47333990167362,7.64106078295067,0.291984670517198,2.72358404986445,"SP-HYPP_1351",71.3333333333333,357.333333333333,239.666666666667,69.6666666666667,17247,1367,15880,0.0713333333333333,0.0225020990764064,0.0509631797122653
"SPU_001881",-0.798068216990791,6.05518485320746,-0.0126682061935598,0.496962638718635,NA,0,0,0,0,0,0,0,0,0,0
"SPU_001924",1.48433847168048,7.01378841406417,-0.244464125295245,5.73366846981513,"SP-CANT1",95.3333333333333,34.6666666666667,13.3333333333333,128.666666666667,3808,1194,2614,0.0953333333333333,0.0132619229788319,0.107761027359017
"SPU_001928",1.6592785217008,5.89221421002964,-0.153389213241902,7.38652281967111,"SP-HYALIN1",198.666666666667,1911.33333333333,365.333333333333,740.333333333333,41203,9109,32094,0.198666666666667,0.0595542261274174,0.0812749295568485
"SPU_002009",-0.717865366013775,7.841167186392,-0.0988901742383602,3.76567697299435,"SP-Z480_1",268,22.6666666666667,0,25.3333333333333,1070,1070,0,0.268,0,0.0236760124610592
"SPU_002012",1.08681305186606,7.11890439764692,0.309337451968624,6.98773490944989,"SP-ATPIF1L",36,2,0,1.33333333333333,4841,923,3918,0.036,0.000510464522715671,0.00144456482484651
"SPU_002025",4.58964435595445,5.10449614376209,-0.482732825119414,3.00205528227878,"SP-AGRIN/NT",182,1289,1289,67.3333333333333,76186,1984,74202,0.182,0.0173714994205008,0.0339381720430108
"SPU_002054",0.816973327815935,6.19707101285779,0.157047413848527,6.27923895075435,"SP-ATAD5",42.6666666666667,245.333333333333,18.3333333333333,616.666666666667,20047,7847,12200,0.0426666666666667,0.0201092896174863,0.0785862962490973
"SPU_002118",3.32903488482016,5.20017584254114,0.0502943758368537,6.35721802662422,"SP-RALBP1",46.3333333333333,953.333333333333,421.666666666667,126.333333333333,35377,2328,33049,0.0463333333333333,0.028846056865059,0.0542668957617411
"SPU_002131",0.0790325193870179,9.94017195754214,0.0606078227808709,2.96868439757259,NA,0,0,0,0,0,0,0,0,0,0
"SPU_002177",0.196726540295661,8.19496684123768,0.256453670518416,3.93735563602061,NA,0,0,0,0,0,0,0,0,0,0
"SPU_002211",1.79821020898165,6.17650128148501,0.0449724813379794,0.91386994032128,NA,0,0,0,0,0,0,0,0,0,0
"SPU_002214",-0.885104252118261,6.77977819279489,0.0616482110187474,5.55356248457513,"SP-LON",107,830.333333333333,830.333333333333,0,109793,3984,105809,0.107,0.00784747359235352,0
"SPU_002219",2.15529706378815,7.54574902334391,0.189213678938467,9.91877013288623,"SP-NEFL",92.3333333333333,488.333333333333,297.333333333333,48.3333333333333,25920,4720,21200,0.0923333333333333,0.0230345911949686,0.0102401129943503
"SPU_002226",-0.00335168186460878,8.17973503751413,-0.0237889890207096,2.86692141259556,"SP-SLC39A3",113.333333333333,0,0,0,1235,1235,0,0.113333333333333,0,0
"SPU_002252",-0.254831005561334,8.18955905449785,-0.12200063090318,6.48133525209675,"SP-RAB39",7.66666666666667,0,0,0,4222,3578,644,0.00766666666666667,0,0
"SPU_002295",0.0623265759812246,8.42031170030035,0.130145041236149,10.0668985759338,"SP-SEPHS2",157,73.3333333333333,0,89.3333333333333,7879,3886,3993,0.157,0.0183654729109275,0.0229885057471264
"SPU_002298",1.44471918262272,6.01374596847009,-0.141540001867093,7.16211122776283,NA,0,0,0,0,0,0,0,0,0,0
"SPU_002344",-0.331564783774831,10.1000329300459,0.325100091910674,1.56539100528595,"SP-HYPP_1388",60,392.333333333333,0,171.666666666667,9600,1185,8415,0.06,0.0466230936819172,0.144866385372714
"SPU_002361",-1.80420349167365,6.68207585340245,-0.103845523934691,4.66930576136811,NA,0,0,0,0,0,0,0,0,0,0
"SPU_002378",-0.256722777857212,5.75500948542452,0.0695580153019051,8.20427945986254,NA,0,0,0,0,0,0,0,0,0,0
"SPU_002417",-0.484728034195364,7.88252277879083,-0.171154778199014,2.46512295510553,NA,0,0,0,0,0,0,0,0,0,0
"SPU_002432",0.640538244543385,7.31089067050384,0.128968085841677,8.116072426911,"SP-UNK_30",81,1018,611,106.333333333333,15650,612,15038,0.081,0.0676951722303498,0.173747276688453
"SPU_002447",0.0713924805900189,10.0259519407665,-0.0285267938985585,3.79037158256628,NA,0,0,0,0,0,0,0,0,0,0
"SPU_002550",0.13079997559144,8.14854822760473,-0.0368042627138908,0.399604336094071,"SP-MACPFB.1",39,0,0,0,35620,1772,33848,0.039,0,0
"SPU_002558",-0.194825532911946,8.82817151574393,0.279140355118106,5.32797621205519,"SP-SLC17A5",45.6666666666667,281.666666666667,0,235.666666666667,13403,3963,9440,0.0456666666666667,0.0298375706214689,0.0594667339557574
"SPU_002572",0.474020686311901,5.49379571438641,0.318065665884112,0.754721197581873,"SP-PLA2G3",14.6666666666667,19.6666666666667,19.6666666666667,16,4190,1221,2969,0.0146666666666667,0.00662400359267992,0.0131040131040131
"SPU_002587",-1.32723228199437,7.29734577606712,0.0548295724578488,8.52141347412257,"SP-EF1BG",73.3333333333333,1337.66666666667,0,198.666666666667,12329,2405,9924,0.0733333333333333,0.134791078866049,0.0826056826056826
"SPU_002590",-0.348960326254151,5.88918190164976,-0.198804706676205,3.31950676768451,"SP-CYP46L1",6.66666666666667,179.333333333333,13.6666666666667,93.3333333333333,6236,1051,5185,0.00666666666666667,0.0345869495339119,0.0888043133523628
"SPU_002613",0.213960469129617,8.86316438704867,-0.0431878556062388,4.19116548236572,NA,0,0,0,0,0,0,0,0,0,0
"SPU_002645",-0.780252270546157,5.22655015940122,0.0412424307133989,4.76633692269264,"SP-SRPK1L",190,750.666666666667,299.333333333333,50.3333333333333,43214,2723,40491,0.19,0.0185390992236958,0.0184845146284735
"SPU_002725",0.0391688710742189,7.74757662289218,-0.0188098633633052,4.49967189875922,"SP-HGD",33,412,0,142.333333333333,22337,1610,20727,0.033,0.0198774545279105,0.0884057971014493
"SPU_002816",1.20975976813324,7.88708327600449,0.743356796957073,3.78922628032909,"SP-HB9",170.333333333333,1810.66666666667,1810.66666666667,19.3333333333333,29897,2055,27842,0.170333333333333,0.0650336422191892,0.00940794809407948
"SPU_002879",-0.575905938998883,6.68641773860662,0.0592497020773389,2.51899610140714,"SP-ENDRVT_3",48.6666666666667,27,10,67,1748,1748,0,0.0486666666666667,0,0.0383295194508009
"SPU_002889",-0.0913635630635133,7.79748698096957,0.257921829920275,4.58788715145867,"SP-MDM1",92,520.666666666667,0,125,27071,2803,24268,0.092,0.0214548651173012,0.0445950767035319
"SPU_002895",0.369526498091425,8.77923999238581,-0.0352540476472767,12.0950816718769,"SP-PKS1",62,811.333333333333,44.6666666666667,1022.33333333333,13497,9123,4374,0.062,0.185490016765737,0.112061091015382
"SPU_002899",0.123382880930544,8.52283475844571,-1.12639170959118,0.276193794734713,"SP-CYP2LF",96.6666666666667,450.666666666667,394,95.3333333333333,885,405,480,0.0966666666666667,0.938888888888889,0.235390946502058
"SPU_002901",-1.44207960477224,7.75709815234515,-0.235449173940407,2.74939086938998,"SP-ALDH9A1",4,81.6666666666667,0,143.666666666667,7660,1131,6529,0.004,0.0125082963189871,0.127026230474506
"SPU_002904",0.131733487647661,10.8590651656669,-0.177783073808412,3.06714538733481,"SP-C7ORF43L",119,124.333333333333,0,22,20382,1872,18510,0.119,0.00671708986133621,0.0117521367521368
"SPU_002944",-1.52551975522922,4.639442749972,0.0292236953601695,4.37373178763194,NA,0,0,0,0,0,0,0,0,0,0
"SPU_002961",0.0397437870805549,7.46466556459045,-0.0450767666194751,5.5204366590832,"SP-DNM2",141.333333333333,178.333333333333,132.666666666667,48.6666666666667,71435,1911,69524,0.141333333333333,0.00256506146558503,0.0254665968951683
"SPU_003049",1.49732841626441,7.98163883280268,-0.423770920363889,3.25389490996289,NA,0,0,0,0,0,0,0,0,0,0
"SPU_003053",0.105808609717403,6.14168085354475,0.471985402466087,0.33985966171172,NA,0,0,0,0,0,0,0,0,0,0
"SPU_003077",-0.570022701198805,5.15828687094225,0.174472552381168,4.13154487960508,NA,0,0,0,0,0,0,0,0,0,0
"SPU_003107",-0.645203661180626,8.13517017015618,0.185990319023964,10.7383850658879,"SP-MSY",82,178.333333333333,0,51,8845,2303,6542,0.082,0.0272597574645878,0.0221450282240556
"SPU_003108",-0.690168725959319,5.05198923550152,-0.293778425873068,7.77922110864654,NA,0,0,0,0,0,0,0,0,0,0
"SPU_003114",-1.2330327206941,5.59849498846598,0.114544941380307,9.42209286432098,"SP-NOVA1",130.666666666667,5006.33333333333,1069.33333333333,346,62319,4404,57915,0.130666666666667,0.0864427753316642,0.0785649409627611
"SPU_003132",-0.184096599406503,6.85396996257365,-0.112443304168752,4.17706318858378,"SP-RAP1GDS1",49.3333333333333,214.666666666667,0,95.6666666666667,21022,2654,18368,0.0493333333333333,0.0116869918699187,0.0360462195428284
"SPU_003172",0.622034650843051,6.31048162253153,-0.390086266848699,0.89756666526901,"SP-MOSPD2",52.3333333333333,140,15.3333333333333,72,9764,724,9040,0.0523333333333333,0.0154867256637168,0.0994475138121547
"SPU_003177",0.405758538970293,5.99836777454305,-0.145837838233511,2.29179919585583,NA,0,0,0,0,0,0,0,0,0,0
"SPU_003181",0.769205009593548,7.14557963490501,0.0687555249843637,4.37780640506559,"SP-PLEKHA1",52.3333333333333,1124,360,54,49142,1215,47927,0.0523333333333333,0.0234523337575897,0.0444444444444444
"SPU_003229",-0.344004641717551,6.47477335788803,-0.360927327359251,3.25353366798166,"SP-SLC40A1",43.6666666666667,141.666666666667,0,128.666666666667,7924,2101,5823,0.0436666666666667,0.0243288110366936,0.0612406790417262
"SPU_003230",0.704511319324733,6.62378830153052,-0.139849637792283,6.29613611180358,NA,0,0,0,0,0,0,0,0,0,0
"SPU_003231",0.294245205829848,8.58015098027545,0.415997694209047,0.114237575472969,"SP-CYP17R1",84.3333333333333,3171.66666666667,0,135,6639,1576,5063,0.0843333333333333,0.626440186977418,0.0856598984771574
"SPU_003239",0.210016800607264,7.74751703115125,-0.0683483783849961,1.41407451009449,NA,0,0,0,0,0,0,0,0,0,0
"SPU_003307",1.2618935736443,5.41449517314289,-0.133857159104855,3.55256704100239,NA,0,0,0,0,0,0,0,0,0,0
"SPU_003312",-0.155583141678099,8.88205744220883,-0.378493440231101,2.45054231991656,"SP-NPC2L_1",46,1690.33333333333,1690.33333333333,67,9381,392,8989,0.046,0.188044647161345,0.170918367346939
"SPU_003345",-0.0833735427358631,7.80035089956397,-0.0999148504059852,5.27020452358144,"SP-DKK1",50.6666666666667,310.333333333333,101,29,3503,2849,654,0.0506666666666667,0.474515800203874,0.0101790101790102
"SPU_003354",0.399919575996755,8.11124752129059,-0.134779860088564,0.326153748129318,"SP-HYPP_1446",103.666666666667,829.666666666667,751.333333333333,120.666666666667,21433,1114,20319,0.103666666666667,0.0408320619453057,0.108318372232196
"SPU_003383",2.47273232004853,6.94233375780334,-0.0728875821560505,3.17913607287527,"SP-GAL3ST1L_3",68.6666666666667,0,0,0,1855,1033,822,0.0686666666666667,0,0
"SPU_003402",0.50940446904764,7.25117932320699,-0.225057374795208,9.04846409041834,"SP-SDC",108,2810,2538.66666666667,65,39285,622,38663,0.108,0.0726793057962393,0.104501607717042
"SPU_003424",0.270170321648197,7.23346339209841,-0.45059227886224,0.489061473866426,"SP-TSSK4",136.333333333333,12,0,5.33333333333333,941,941,0,0.136333333333333,0,0.00566772936592278
"SPU_003440",-0.431958577675285,7.59928065426581,-0.563017838237436,3.78860772176659,"SP-HYPP_382",501.666666666667,859.666666666667,403.666666666667,55,10091,1872,8219,0.501666666666667,0.104595044003731,0.0293803418803419
"SPU_003461",0.335655486116944,8.07240405793145,-0.0173091363954043,5.22519292533508,"SP-UNK",110.333333333333,504.666666666667,0,222,24694,3478,21216,0.110333333333333,0.0237870789341378,0.0638297872340425
"SPU_003501",-2.20102597107212,5.82791513969817,0.137279999728296,3.70712724476339,"SP-PLEK",108,222.333333333333,0,82,11827,1201,10626,0.108,0.0209235209235209,0.0682764363030808
"SPU_003511",-0.0382119773798304,8.30766405777897,0.0511318464265816,4.25860351973188,"SP-CRYZ",87.6666666666667,189.333333333333,0,208,7093,1064,6029,0.0876666666666667,0.0314037706640128,0.195488721804511
"SPU_003563",-0.804727134514096,7.29623052846491,-0.323575893703233,3.67377164385332,"SP-SLC44",49,267,195.333333333333,35.6666666666667,11874,528,11346,0.049,0.023532522474881,0.067550505050505
"SPU_003610",2.33372349186519,4.98439399337578,0.699703837948485,1.02273748580393,"SP-CLECT/TM_8",38.6666666666667,186,41.6666666666667,190,10947,1708,9239,0.0386666666666667,0.0201320489230436,0.111241217798595
"SPU_003623",-0.532380556970967,6.86946036067028,-0.0628555310491957,5.97087281002783,"SP-CTH_1",72,7.33333333333333,7.33333333333333,0,1395,274,1121,0.072,0.00654177817424918,0
"SPU_003627",1.23088176676428,8.15892147174639,-0.556273920701545,0.698615875996641,NA,0,0,0,0,0,0,0,0,0,0
"SPU_003629",1.55973179336466,6.26476911964051,-0.0902691032725097,3.76893463517882,"SP-HYPP_1464",85,567.666666666667,95.3333333333333,34.6666666666667,17847,780,17067,0.085,0.0332610691197438,0.0444444444444444
"SPU_003632",-0.28468787220347,6.93192115983354,-0.329811393740395,3.31597857053481,"SP-KYNU",36.3333333333333,141,0,16.6666666666667,16589,1167,15422,0.0363333333333333,0.00914278303721956,0.0142816338189089
"SPU_003687",-1.52024655940628,5.37409042103053,0.29877730447776,2.60392516168938,"SP-CYP46L3",67.6666666666667,172,9.33333333333333,35.3333333333333,14093,892,13201,0.0676666666666667,0.0130293159609121,0.0396113602391629
"SPU_003748",1.99132130551555,4.9917494641404,-0.0896198855941169,2.6782950136276,"SP-MOV10L",6,309.333333333333,0,218,5956,1288,4668,0.006,0.0662667809197372,0.169254658385093
"SPU_003776",0.101885386385363,9.66271598863008,-0.0767710993553585,3.33943030656828,NA,0,0,0,0,0,0,0,0,0,0
"SPU_003798",-0.271719471610179,8.33472668419114,-0.270517599031482,2.2476988860227,NA,0,0,0,0,0,0,0,0,0,0
"SPU_003803",-0.0847049446658271,7.56356725951801,-0.677608851569294,5.04784464599399,"SP-PPAT",106.333333333333,79,0,187.333333333333,7966,1556,6410,0.106333333333333,0.0123244929797192,0.120394173093402
"SPU_003825",-0.0106185067724979,8.83099604864302,0.184677069857497,11.7672731688071,"SP-14-3-3E",97.3333333333333,1533.33333333333,1342,87,26008,3648,22360,0.0973333333333333,0.0685748360166965,0.0238486842105263
"SPU_003832",0.62333836628507,8.64415798665415,-0.237877114089519,5.10797898673971,"SP-GLYT",104.333333333333,1207.66666666667,1207.66666666667,0,38135,1813,36322,0.104333333333333,0.0332489033276435,0
"SPU_003854",-0.0495058422859371,8.37918412884808,-0.00717218832251932,3.09530209271203,"SP-HP_LOC203522",105.666666666667,200.333333333333,0,24,81562,1052,80510,0.105666666666667,0.00248830373038546,0.0228136882129278
"SPU_003889",0.741593684395989,7.32585075319123,-0.0644307312362838,4.68081039821766,"SP-HS3ST2",133,0,0,0,2418,2418,0,0.133,0,0
"SPU_003913",-0.898226579275154,8.58510465510273,-0.21785480434633,6.19289941019409,"SP-OAT",65.3333333333333,485.666666666667,18.6666666666667,150,11146,1238,9908,0.0653333333333333,0.049017628852106,0.121163166397415
