"","exonid","N","median","sd","se","ci","exon_length","peak_density_ind_exons","spu_id","peak_dens_norm_ind_exon"
"16","ENSRNA022744637-E1",4,1.12420253453647,2.09047784441988,1.04523892220994,3.32641674612574,71,0,"ENSRNA022744637-E1",0
"17","ENSRNA022744715-E1",3,0,0,0,0,71,0,"ENSRNA022744715-E1",0
"18","ENSRNA022745199-E1",3,1.14357864357864,1.98073631312891,1.14357864357864,4.92042177247684,71,0,"ENSRNA022745199-E1",0
"19","ENSRNA022745203-E1",7,1.18152524167562,3.12602195721917,1.18152524167562,2.89108811628299,71,0,"ENSRNA022745203-E1",0
"20","ENSRNA022745286-E1",3,0.564285714285713,0.977371527128151,0.564285714285713,2.42792546893005,72,0,"ENSRNA022745286-E1",0
"21","ENSRNA022745299-E1",3,0.928518103770063,1.60824053147726,0.928518103770063,3.99509095380806,72,0,"ENSRNA022745299-E1",0
"22","ENSRNA022745425-E1",3,0.99433002584841,1.72223012426072,0.99433002584841,4.27825679998851,71,0,"ENSRNA022745425-E1",0
"23","ENSRNA022745535-E1",5,2.82419786096257,4.80378992842464,2.14832016591727,5.96469300905872,71,0,"ENSRNA022745535-E1",0
"24","ENSRNA022745541-E1",3,0,0,0,0,71,0,"ENSRNA022745541-E1",0
"25","ENSRNA022745712-E1",3,0.297619047619048,0.515491311776452,0.297619047619048,1.28055140766353,71,0,"ENSRNA022745712-E1",0
"26","ENSRNA022745882-E1",5,0.197191227395152,0.272366201130584,0.121805868100273,0.338187306271372,71,0,"ENSRNA022745882-E1",0
"27","ENSRNA022745887-E1",6,0.490196078431373,1.20073026607019,0.490196078431373,1.26008913511584,71,0,"ENSRNA022745887-E1",0
"28","ENSRNA022746438-E1",8,0.520348837209302,1.47176876549293,0.520348837209302,1.23042947975322,70,0,"ENSRNA022746438-E1",0
"29","ENSRNA022746484-E1",8,0,0,0,0,71,0,"ENSRNA022746484-E1",0
"30","SPU_000002-tr-E4",5,0,0,0,0,125,46,"SPU_000002",0.368
"31","SPU_000002-tr-E4",5,0,0,0,0,125,168,"SPU_000002",1.344
"32","SPU_000003-tr-E2",26,1.15094819421743,3.20602796839235,0.628753814306031,1.29494272075396,3961,0,"SPU_000003",0
"33","SPU_000004-tr-E1",7,3.62216379789189,3.53616980627897,1.33654655730137,3.27041161066774,517,0,"SPU_000004",0
"34","SPU_000004-tr-E5",5,2.34432234432234,5.24206412307642,2.34432234432234,6.50888229789958,177,0,"SPU_000004",0
"35","SPU_000018-tr-E1",11,55.769102560989,16.7517871958803,5.05085388151044,11.2540037690991,572,0,"SPU_000018",0
"36","SPU_000019-tr-E1",7,10.4208862616604,12.1767522571548,4.60237974983942,11.2616175533517,1139,0,"SPU_000019",0
"37","SPU_000020-tr-E1",4,2.70422259188443,2.51429509822622,1.25714754911311,4.00080457287148,773,0,"SPU_000020",0
"38","SPU_000030-tr-E1",11,0.614250614250615,2.03723881471462,0.614250614250615,1.36863565846823,935,0,"SPU_000030",0
"39","SPU_000041-tr-E38",3,5.1059374230106,6.84106082051309,3.94968830626583,16.9941371726142,263,0,"SPU_000041",0
"40","SPU_000041-tr-E41",4,3.15477916133397,2.35374645291294,1.17687322645647,3.74533585132371,195,0,"SPU_000041",0
"41","SPU_000048-tr-E4",9,99.9346405228758,0.196078431372565,0.0653594771241883,0.15071922452316,2295,78,"SPU_000048",0.0339869281045752
"42","SPU_000048-tr-E4",9,99.9346405228758,0.196078431372565,0.0653594771241883,0.15071922452316,2295,63,"SPU_000048",0.0274509803921569
"43","SPU_000050-tr-E10",5,0,0,0,0,504,28,"SPU_000050",0.0555555555555556
"44","SPU_000050-tr-E10",5,0,0,0,0,504,10,"SPU_000050",0.0198412698412698
"45","SPU_000050-tr-E10",5,0,0,0,0,504,2,"SPU_000050",0.00396825396825397
"46","SPU_000050-tr-E10",5,0,0,0,0,504,16,"SPU_000050",0.0317460317460317
"47","SPU_000050-tr-E10",5,0,0,0,0,504,25,"SPU_000050",0.0496031746031746
"48","SPU_000050-tr-E10",5,0,0,0,0,504,132,"SPU_000050",0.261904761904762
"49","SPU_000050-tr-E10",5,0,0,0,0,504,27,"SPU_000050",0.0535714285714286
"50","SPU_000050-tr-E10",5,0,0,0,0,504,4,"SPU_000050",0.00793650793650794
"51","SPU_000050-tr-E10",5,0,0,0,0,504,43,"SPU_000050",0.0853174603174603
"52","SPU_000050-tr-E10",5,0,0,0,0,504,5,"SPU_000050",0.00992063492063492
"53","SPU_000050-tr-E10",5,0,0,0,0,504,110,"SPU_000050",0.218253968253968
"54","SPU_000050-tr-E10",5,0,0,0,0,504,58,"SPU_000050",0.115079365079365
"55","SPU_000050-tr-E10",5,0,0,0,0,504,45,"SPU_000050",0.0892857142857143
"56","SPU_000050-tr-E10",5,0,0,0,0,504,2,"SPU_000050",0.00396825396825397
"57","SPU_000050-tr-E10",5,0,0,0,0,504,22,"SPU_000050",0.0436507936507936
"58","SPU_000050-tr-E10",5,0,0,0,0,504,15,"SPU_000050",0.0297619047619048
"59","SPU_000050-tr-E10",5,0,0,0,0,504,29,"SPU_000050",0.0575396825396825
"60","SPU_000050-tr-E10",5,0,0,0,0,504,11,"SPU_000050",0.0218253968253968
"61","SPU_000050-tr-E10",5,0,0,0,0,504,10,"SPU_000050",0.0198412698412698
"62","SPU_000050-tr-E10",5,0,0,0,0,504,15,"SPU_000050",0.0297619047619048
"63","SPU_000050-tr-E10",5,0,0,0,0,504,56,"SPU_000050",0.111111111111111
"64","SPU_000050-tr-E10",5,0,0,0,0,504,35,"SPU_000050",0.0694444444444444
"65","SPU_000050-tr-E10",5,0,0,0,0,504,9,"SPU_000050",0.0178571428571429
"66","SPU_000050-tr-E10",5,0,0,0,0,504,3,"SPU_000050",0.00595238095238095
"67","SPU_000053-tr-E12",4,1.54188977406295,2.01694136991557,1.00847068495779,3.20940380533084,254,120,"SPU_000053",0.47244094488189
"68","SPU_000053-tr-E22",10,2.06460206460206,4.56297040233957,1.44293793673279,3.26415238905335,245,166,"SPU_000053",0.677551020408163
"69","SPU_000053-tr-E23",12,1.03975145762936,2.1976599105646,0.634409770475861,1.39632649023451,254,131,"SPU_000053",0.515748031496063
"70","SPU_000053-tr-E28",3,0,0,0,0,251,114,"SPU_000053",0.454183266932271
"71","SPU_000053-tr-E33",12,1.46362250316922,3.46671390928506,1.00075410436458,2.20264493260723,251,100,"SPU_000053",0.398406374501992
"72","SPU_000053-tr-E52",7,4.23997505979136,4.76736299968691,1.80189384382035,4.40907540094918,251,0,"SPU_000053",0
"73","SPU_000053-tr-E59",5,1.32575757575758,2.01328519180581,0.900368509394297,2.49982374078203,254,0,"SPU_000053",0
"74","SPU_000053-tr-E70",7,27.8926980148785,6.12698354935006,2.3157821083663,5.66651468563099,996,0,"SPU_000053",0
"75","SPU_000061-tr-E2",7,0.995945531993596,2.25492982195625,0.852283361828484,2.08546225859179,108,33,"SPU_000061",0.305555555555556
"76","SPU_000061-tr-E2",7,0.995945531993596,2.25492982195625,0.852283361828484,2.08546225859179,108,151,"SPU_000061",1.39814814814815
"77","SPU_000065-tr-E1",10,93.2952310585254,10.6405708885548,3.36484396123149,7.61180586859811,231,0,"SPU_000065",0
"78","SPU_000066-tr-E1",3,99.2424242424242,1.31215970270371,0.757575757575765,3.25958540132538,375,0,"SPU_000066",0
"79","SPU_000070-tr-E6",3,1.64260208042229,2.84507025990975,1.64260208042229,7.06754632522112,257,107,"SPU_000070",0.416342412451362
"80","SPU_000070-tr-E6",3,1.64260208042229,2.84507025990975,1.64260208042229,7.06754632522112,257,40,"SPU_000070",0.155642023346304
"81","SPU_000070-tr-E6",3,1.64260208042229,2.84507025990975,1.64260208042229,7.06754632522112,257,16,"SPU_000070",0.0622568093385214
"82","SPU_000070-tr-E6",3,1.64260208042229,2.84507025990975,1.64260208042229,7.06754632522112,257,72,"SPU_000070",0.280155642023346
"83","SPU_000070-tr-E6",3,1.64260208042229,2.84507025990975,1.64260208042229,7.06754632522112,257,118,"SPU_000070",0.459143968871595
"84","SPU_000070-tr-E6",3,1.64260208042229,2.84507025990975,1.64260208042229,7.06754632522112,257,105,"SPU_000070",0.408560311284047
"85","SPU_000070-tr-E6",3,1.64260208042229,2.84507025990975,1.64260208042229,7.06754632522112,257,65,"SPU_000070",0.252918287937743
"86","SPU_000070-tr-E8",8,0,0,0,0,305,148,"SPU_000070",0.485245901639344
"87","SPU_000070-tr-E8",8,0,0,0,0,305,39,"SPU_000070",0.127868852459016
"88","SPU_000070-tr-E8",8,0,0,0,0,305,107,"SPU_000070",0.350819672131148
"89","SPU_000070-tr-E8",8,0,0,0,0,305,2,"SPU_000070",0.00655737704918033
"90","SPU_000070-tr-E8",8,0,0,0,0,305,124,"SPU_000070",0.40655737704918
"91","SPU_000070-tr-E8",8,0,0,0,0,305,127,"SPU_000070",0.416393442622951
"92","SPU_000071-tr-E1",6,88.214613744703,28.1221575925389,11.4808227613093,29.5123944483817,253,0,"SPU_000071",0
"93","SPU_000092-tr-E10",3,3.07802133198959,5.3312893337868,3.07802133198959,13.2436568863121,980,473,"SPU_000092",0.48265306122449
"94","SPU_000092-tr-E8",3,2.33145471564825,3.75508627983534,2.16800007449321,9.32815143861523,252,126,"SPU_000092",0.5
"95","SPU_000098-tr-E12",5,99.4736842105263,1.17687788289462,0.526315789473679,1.46128689747251,128,94,"SPU_000098",0.734375
"96","SPU_000103-tr-E1",13,20.0413937913938,1.4166567403353,0.392909885923892,0.856077100354064,401,168,"SPU_000103",0.418952618453865
"97","SPU_000105-tr-E1",4,100,0,0,0,151,0,"SPU_000105",0
"98","SPU_000110-tr-E2",4,99.8355263157895,0.328947368421048,0.164473684210524,0.523428668632181,171,0,"SPU_000110",0
"99","SPU_000114-tr-E1",26,56.1928483936517,8.79916592782201,1.72565841420405,3.55406003293635,4587,0,"SPU_000114",0
"100","SPU_000135-tr-E14",12,93.3194618451187,10.4345986040546,3.01220915646832,6.62982765247893,814,0,"SPU_000135",0
"101","SPU_000144-tr-E12",6,81.8834573162482,39.3706355778719,16.072994669142,41.3169481407756,252,0,"SPU_000144",0
"102","SPU_000145-tr-E6",3,97.883064516129,3.66663981440992,2.11693548387097,9.10843823838091,257,0,"SPU_000145",0
"103","SPU_000159-tr-E11",8,95.7981321839081,9.20203241963947,3.25340976231276,7.69309162433348,257,321,"SPU_000159",1.24902723735409
"104","SPU_000159-tr-E14",5,98.7541557334396,1.24655052336966,0.557474341528498,1.54779690681016,245,334,"SPU_000159",1.36326530612245
"105","SPU_000159-tr-E17",10,96.7697939749424,6.85491313529804,2.16771386701478,4.90370945116447,512,468,"SPU_000159",0.9140625
"106","SPU_000159-tr-E4",4,99.7159090909091,0.568181818181799,0.284090909090899,0.904104064001023,119,0,"SPU_000159",0
"107","SPU_000166-tr-E5",4,0.131578947368421,0.263157894736842,0.131578947368421,0.418742934905751,189,0,"SPU_000166",0
"108","SPU_000166-tr-E7",8,0.201612903225806,0.570247404182699,0.201612903225806,0.476738760401771,1227,0,"SPU_000166",0
"109","SPU_000169-tr-E6",3,99.6913580246914,0.534583582582969,0.308641975308632,1.32797923757695,1255,607,"SPU_000169",0.483665338645418
"110","SPU_000170-tr-E13",3,91.3915513592369,8.654019353817,4.99640040349848,21.497775835034,371,93,"SPU_000170",0.250673854447439
"111","SPU_000176-tr-E6",4,3.46440282193959,4.76205145752796,2.38102572876398,7.57748653329038,119,29,"SPU_000176",0.243697478991597
"112","SPU_000199-tr-E1",34,0.844391180654275,1.73146668889009,0.296944087366035,0.604137288233332,2639,0,"SPU_000199",0
"113","SPU_000202-tr-E1",3,92.3189580592352,8.01086394559194,4.62507445542897,19.900089230946,1092,0,"SPU_000202",0
"114","SPU_000208-tr-E2",11,99.1163934088462,2.20916578168751,0.666088545231786,1.48413776649396,123,0,"SPU_000208",0
"115","SPU_000208-tr-E4",14,96.4365533447422,8.23018592864394,2.19960971245954,4.75196787924872,3492,0,"SPU_000208",0
"116","SPU_000225-tr-E8",4,70.6707482218548,47.4821818315389,23.7410909157694,75.5547470682951,1431,0,"SPU_000225",0
"117","SPU_000239-tr-E1",3,3.85185185185187,6.6716031106357,3.85185185185187,16.573180884961,82,6,"SPU_000239",0.0731707317073171
"118","SPU_000241-tr-E24",7,99.6240601503759,0.994643350024273,0.375939849624057,0.919891673362762,227,0,"SPU_000241",0
"119","SPU_000245-tr-E7",3,100,0,0,0,1470,0,"SPU_000245",0
"120","SPU_000247-tr-E3",12,1.12120385716798,1.36254353362264,0.393332437959808,0.865718858932202,518,0,"SPU_000247",0
"121","SPU_000252-tr-E16",4,95.2464108717779,1.42415882926102,0.71207941463051,2.26615450215945,7888,1204,"SPU_000252",0.1526369168357
"122","SPU_000255-tr-E2",6,2.28322980694897,2.59552883320192,1.05962020900435,2.72384046193973,1141,0,"SPU_000255",0
"123","SPU_000255-tr-E6",12,0.895217495794283,3.10112437308055,0.895217495794283,1.97036042329762,178,0,"SPU_000255",0
"124","SPU_000255-tr-E7",5,0,0,0,0,256,0,"SPU_000255",0
"125","SPU_000259-tr-E6",7,99.6677740863787,0.878987146533075,0.332225913621258,0.812927525297321,199,0,"SPU_000259",0
"126","SPU_000276-tr-E2",3,0,0,0,0,238,0,"SPU_000276",0
"127","SPU_000279-tr-E4",6,0.763888888888888,1.87113799795937,0.763888888888889,1.96363890222218,241,0,"SPU_000279",0
"128","SPU_000293-tr-E2",3,100,0,0,0,136,0,"SPU_000293",0
"129","SPU_000327-tr-E9",3,0,0,0,0,283,0,"SPU_000327",0
"130","SPU_000330-tr-E6",10,2.35522439732966,3.82399605725715,1.20925373044363,2.7355219879635,378,336,"SPU_000330",0.888888888888889
"131","SPU_000343-tr-E4",4,2.45967741935484,4.91935483870968,2.45967741935484,7.82779131541557,155,65,"SPU_000343",0.419354838709677
"132","SPU_000343-tr-E4",4,2.45967741935484,4.91935483870968,2.45967741935484,7.82779131541557,155,1,"SPU_000343",0.00645161290322581
"133","SPU_000347-tr-E2",10,1.62190225233703,3.54580835321405,1.12128305426072,2.53651849272014,1040,0,"SPU_000347",0
"134","SPU_000356-tr-E4",3,0,0,0,0,133,2,"SPU_000356",0.0150375939849624
"135","SPU_000356-tr-E4",3,0,0,0,0,133,184,"SPU_000356",1.38345864661654
"136","SPU_000356-tr-E4",3,0,0,0,0,133,93,"SPU_000356",0.699248120300752
"137","SPU_000356-tr-E4",3,0,0,0,0,133,60,"SPU_000356",0.451127819548872
"138","SPU_000356-tr-E4",3,0,0,0,0,133,56,"SPU_000356",0.421052631578947
"139","SPU_000356-tr-E4",3,0,0,0,0,133,30,"SPU_000356",0.225563909774436
"140","SPU_000356-tr-E4",3,0,0,0,0,133,114,"SPU_000356",0.857142857142857
"141","SPU_000358-tr-E1",16,0.842166242062717,2.27454768505323,0.568636921263308,1.21202090741519,355,0,"SPU_000358",0
"142","SPU_000358-tr-E2",9,0,0,0,0,609,0,"SPU_000358",0
"143","SPU_000362-tr-E24",3,0,0,0,0,362,0,"SPU_000362",0
"144","SPU_000362-tr-E26",29,3.60590237651861,4.83412666480845,0.897674785812308,1.83880344226745,359,0,"SPU_000362",0
"145","SPU_000372-tr-E2",3,0,0,0,0,375,0,"SPU_000372",0
"146","SPU_000382-tr-E2",3,98.3239053006495,2.90308117757195,1.6760946993505,7.21165343347903,287,0,"SPU_000382",0
"147","SPU_000402-tr-E10",6,1.19867929945449,2.93615264890031,1.19867929945449,3.08130323393098,800,0,"SPU_000402",0
"148","SPU_000402-tr-E3",6,0,0,0,0,171,0,"SPU_000402",0
"149","SPU_000409-tr-E7",7,0.595238095238096,1.57485197087178,0.595238095238096,1.45649514949105,970,52,"SPU_000409",0.0536082474226804
"150","SPU_000410-tr-E2",5,0,0,0,0,218,0,"SPU_000410",0
"151","SPU_000413-tr-E1",13,1.00385130030941,2.17685054102329,0.603749711129308,1.31545761651642,1331,114,"SPU_000413",0.0856498873027799
"152","SPU_000419-tr-E5",4,4.40939493964381,5.63025823062268,2.81512911531134,8.95899725191917,187,38,"SPU_000419",0.203208556149733
"153","SPU_000423-tr-E1",22,0.427547492764884,1.22831012657597,0.261876598892847,0.544602200667762,557,0,"SPU_000423",0
"154","SPU_000439-tr-E1",4,0.562718531468532,1.12543706293706,0.562718531468532,1.7908215113867,75,111,"SPU_000439",1.48
"155","SPU_000439-tr-E3",3,0.666666666666667,1.15470053837925,0.666666666666667,2.86843515316631,946,398,"SPU_000439",0.420718816067653
"156","SPU_000440-tr-E4",3,100,0,0,0,5621,283,"SPU_000440",0.050346913360612
"157","SPU_000441-tr-E8",6,0.896825396825397,2.19676461059126,0.896825396825397,2.30536307481669,2053,0,"SPU_000441",0
"158","SPU_000468-tr-E6",4,94.9256831748508,5.9583713505714,2.9791856752857,9.48109844506713,414,188,"SPU_000468",0.454106280193237
"159","SPU_000471-tr-E3",7,0.642173095175997,0.748558094201809,0.282928365591778,0.692300770791598,250,0,"SPU_000471",0
"160","SPU_000471-tr-E5",6,1.47569444444444,3.61469840514879,1.47569444444445,3.79339333383831,298,0,"SPU_000471",0
"161","SPU_000480-tr-E2",4,98.6525974025974,2.6948051948052,1.3474025974026,4.28803641783357,1478,0,"SPU_000480",0
"162","SPU_000484-tr-E4",9,0,0,0,0,747,68,"SPU_000484",0.0910307898259705
"163","SPU_000484-tr-E4",9,0,0,0,0,747,7,"SPU_000484",0.00937081659973226
"164","SPU_000508-tr-E4",6,99.4480056980057,1.3521043808098,0.551994301994301,1.4189465260813,162,5,"SPU_000508",0.0308641975308642
"165","SPU_000508-tr-E4",6,99.4480056980057,1.3521043808098,0.551994301994301,1.4189465260813,162,31,"SPU_000508",0.191358024691358
"166","SPU_000508-tr-E4",6,99.4480056980057,1.3521043808098,0.551994301994301,1.4189465260813,162,5,"SPU_000508",0.0308641975308642
"167","SPU_000508-tr-E4",6,99.4480056980057,1.3521043808098,0.551994301994301,1.4189465260813,162,26,"SPU_000508",0.160493827160494
"168","SPU_000508-tr-E4",6,99.4480056980057,1.3521043808098,0.551994301994301,1.4189465260813,162,16,"SPU_000508",0.0987654320987654
"169","SPU_000513-tr-E6",3,10.4620021096691,16.0296858835213,9.25474345987614,39.8199472107671,161,79,"SPU_000513",0.490683229813665
"170","SPU_000514-tr-E15",11,98.0125348507702,3.52464317670123,1.06271990336403,2.36788750546449,3023,71,"SPU_000514",0.0234866027125372
"171","SPU_000545-tr-E1",6,1.38888888888889,3.40206908719886,1.38888888888889,3.57025254949488,1268,0,"SPU_000545",0
"172","SPU_000563-tr-E4",5,99.4068784610901,1.32626007992191,0.593121538909941,1.64676939349389,178,47,"SPU_000563",0.264044943820225
"173","SPU_000576-tr-E1",19,0.505309825627064,1.35082135768494,0.30989967310132,0.651075053482055,1019,39,"SPU_000576",0.0382728164867517
"174","SPU_000576-tr-E1",19,0.505309825627064,1.35082135768494,0.30989967310132,0.651075053482055,1019,18,"SPU_000576",0.0176643768400393
"175","SPU_000576-tr-E1",19,0.505309825627064,1.35082135768494,0.30989967310132,0.651075053482055,1019,12,"SPU_000576",0.0117762512266928
"176","SPU_000581-tr-E11",5,0,0,0,0,140,8,"SPU_000581",0.0571428571428571
"177","SPU_000581-tr-E11",5,0,0,0,0,140,79,"SPU_000581",0.564285714285714
"178","SPU_000582-tr-E5",3,0.52910052910053,0.916428998713693,0.52910052910053,2.27653583584628,219,0,"SPU_000582",0
"179","SPU_000582-tr-E9",4,0,0,0,0,230,0,"SPU_000582",0
"180","SPU_000583-tr-E3",3,2.84848484848485,4.9337204821659,2.84848484848485,12.2560411089833,1751,0,"SPU_000583",0
"181","SPU_000585-tr-E3",3,1.96066894879475,2.95192876159109,1.70429686513321,7.33299755906888,161,0,"SPU_000585",0
"182","SPU_000590-tr-E9",5,98.618907018907,1.91208173581104,0.855108947961858,2.37416305297953,98,0,"SPU_000590",0
"183","SPU_000599-tr-E5",9,94.0027020909374,11.4685333209837,3.82284444032788,8.81549508763836,384,0,"SPU_000599",0
"184","SPU_000599-tr-E7",5,98.7517648534088,1.43251767586066,0.64064138043889,1.77870562490671,872,0,"SPU_000599",0
"185","SPU_000614-tr-E16",5,0.777126099706744,1.73770678603356,0.777126099706744,2.15764795565224,2050,0,"SPU_000614",0
"186","SPU_000614-tr-E5",3,1.62553858206032,2.81551541379194,1.62553858206032,6.9941280174149,485,0,"SPU_000614",0
"187","SPU_000614-tr-E6",5,0.89126559714795,1.99293046122976,0.89126559714795,2.47455000463261,273,0,"SPU_000614",0
"188","SPU_000619-tr-E2",5,0.613636363636364,1.08282993177924,0.484256267105966,1.34451094246772,88,0,"SPU_000619",0
"189","SPU_000619-tr-E6",4,1.52292872368095,1.44486664534717,0.722433322673586,2.29910525855639,143,49,"SPU_000619",0.342657342657343
"190","SPU_000619-tr-E6",4,1.52292872368095,1.44486664534717,0.722433322673586,2.29910525855639,143,5,"SPU_000619",0.034965034965035
"191","SPU_000634-tr-E3",4,79.7555636635576,23.1671770697433,11.5835885348716,36.8641485347289,155,94,"SPU_000634",0.606451612903226
"192","SPU_000635-tr-E5",6,30.3292133400782,2.37438614064203,0.969339082818196,2.49176543886482,1801,0,"SPU_000635",0
"193","SPU_000645-tr-E3",7,0.915532879818594,1.92819404592266,0.728788846426688,1.78328206530373,196,0,"SPU_000645",0
"194","SPU_000645-tr-E4",4,3.7878787878788,7.5757575757576,3.7878787878788,12.0547208533474,203,0,"SPU_000645",0
"195","SPU_000652-tr-E1",12,99.8774509803922,0.424522256757073,0.122549019607842,0.269728573540639,544,0,"SPU_000652",0
"196","SPU_000669-tr-E2",17,0.417472279517722,1.22225807783495,0.296441126863408,0.628427115744858,370,0,"SPU_000669",0
"197","SPU_000678-tr-E4",5,72.7931276445535,11.305987684359,5.05619140300043,14.0382378718037,123,0,"SPU_000678",0
"198","SPU_000682-tr-E1",43,1.02889058316449,2.8841870602505,0.439834403259999,0.887621761489074,1871,0,"SPU_000682",0
"199","SPU_000683-tr-E1",19,0.530542878204324,1.59286432458384,0.365428137980637,0.767736029207764,3366,0,"SPU_000683",0
"200","SPU_000692-tr-E1",5,3.00379326695116,4.21558306080038,1.88526605774926,5.23433771803346,887,0,"SPU_000692",0
"201","SPU_000694-tr-E1",9,3.40909090909091,8.65428762029988,2.88476254009996,6.65227434655258,887,0,"SPU_000694",0
"202","SPU_000703-tr-E1",22,1.58114425993683,3.51870412882731,0.750190240909427,1.56010601117484,1307,0,"SPU_000703",0
"203","SPU_000712-tr-E2",6,97.1004276997995,3.36938325033129,1.37554495186532,3.53595086736622,278,0,"SPU_000712",0
"204","SPU_000718-tr-E1",3,1.75925925925926,3.04712642072303,1.75925925925926,7.56948165418887,971,13,"SPU_000718",0.0133882595262616
"205","SPU_000718-tr-E1",3,1.75925925925926,3.04712642072303,1.75925925925926,7.56948165418887,971,129,"SPU_000718",0.132852729145211
"206","SPU_000718-tr-E1",3,1.75925925925926,3.04712642072303,1.75925925925926,7.56948165418887,971,132,"SPU_000718",0.135942327497425
"207","SPU_000718-tr-E1",3,1.75925925925926,3.04712642072303,1.75925925925926,7.56948165418887,971,9,"SPU_000718",0.00926879505664264
"208","SPU_000719-tr-E1",6,0.813492063492063,1.99264046535933,0.813492063492063,2.091147921847,1145,37,"SPU_000719",0.0323144104803493
"209","SPU_000719-tr-E1",6,0.813492063492063,1.99264046535933,0.813492063492063,2.091147921847,1145,21,"SPU_000719",0.0183406113537118
"210","SPU_000721-tr-E15",4,1.15740740740741,2.31481481481481,1.15740740740741,3.6833869274117,259,0,"SPU_000721",0
"211","SPU_000733-tr-E9",4,90.875,13.7612150606298,6.88060753031489,21.8971640129579,154,0,"SPU_000733",0
"212","SPU_000739-tr-E1",11,0.248963802155292,0.825719518129378,0.248963802155292,0.55472592032043,218,0,"SPU_000739",0
"213","SPU_000743-tr-E1",4,0,0,0,0,96,0,"SPU_000743",0
"214","SPU_000746-tr-E4",7,3.68809537775055,5.05196217997905,1.90946222301833,4.67228574281716,235,0,"SPU_000746",0
"215","SPU_000751-tr-E1",12,1.10680636777128,2.59283799309772,0.748487856640029,1.6474106649735,369,40,"SPU_000751",0.10840108401084
"216","SPU_000765-tr-E4",10,0.125,0.395284707521047,0.125,0.282769645349776,109,0,"SPU_000765",0
"217","SPU_000765-tr-E6",4,0,0,0,0,338,0,"SPU_000765",0
"218","SPU_000765-tr-E7",24,0,0,0,0,554,0,"SPU_000765",0
"219","SPU_000767-tr-E3",9,0.271076998050682,0.813230994152047,0.271076998050682,0.625104678463605,118,104,"SPU_000767",0.88135593220339
"220","SPU_000773-tr-E2",4,0,0,0,0,280,0,"SPU_000773",0
"221","SPU_000791-tr-E4",9,2.96959184258382,2.64240007326972,0.88080002442324,2.03112849860792,440,0,"SPU_000791",0
"222","SPU_000792-tr-E8",7,0.162337662337663,0.429505082965032,0.162337662337663,0.397225949861197,1149,506,"SPU_000792",0.440382941688425
"223","SPU_000796-tr-E2",5,1.45803698435277,3.2602698107216,1.45803698435277,4.04815964840361,222,125,"SPU_000796",0.563063063063063
"224","SPU_000798-tr-E9",8,0,0,0,0,83,78,"SPU_000798",0.939759036144578
"225","SPU_000798-tr-E9",8,0,0,0,0,83,25,"SPU_000798",0.301204819277108
"226","SPU_000798-tr-E9",8,0,0,0,0,83,37,"SPU_000798",0.44578313253012
"227","SPU_000802-tr-E3",4,17.190720523402,10.4987784400388,5.24938922001942,16.7058993282469,628,0,"SPU_000802",0
"228","SPU_000816-tr-E5",6,35.4665217126517,2.08683803020126,0.851948058304638,2.19000220358353,218,54,"SPU_000816",0.247706422018349
"229","SPU_000825-tr-E1",4,1.59523809523809,3.19047619047619,1.59523809523809,5.07675958223829,235,0,"SPU_000825",0
"230","SPU_000828-tr-E2",7,2.37012987012987,6.27077421128946,2.37012987012987,5.79949886797347,363,0,"SPU_000828",0
