"geneid","ex_meth_logFC","ex_meth_logCPM","common_name","peak_density_TSS","peak_density_Introns","peak_density_Intron1","peak_density_Exons","gene_len","exon_len","intron_len","TSS_dens_norm","intron_dens_norm","exon_dens_norm"
"SPU_000135",0.0666505963695462,7.32365649557937,"SP-ZF(MYND)_13L",58,20.3333333333333,0,72.3333333333333,26714,4154,22560,0.058,0.000901300236406619,0.0174129353233831
"SPU_000138",-3.43011820090271,3.91289224013759,"SP-MAEAL",18.6666666666667,382.333333333333,141.666666666667,171,14477,1502,12975,0.0186666666666667,0.0294669235709698,0.113848202396804
"SPU_000144",-0.0713760804544791,6.22726192757653,"SP-NOP5",58.6666666666667,124,1.33333333333333,94.3333333333333,10419,1594,8825,0.0586666666666667,0.0140509915014164,0.0591802593057298
"SPU_000145",1.61188930367869,4.86973573668989,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000146",0.499894688642673,3.48946644253645,"SP-KPNB1",130.333333333333,867,176.333333333333,578,21399,2548,18851,0.130333333333333,0.0459922550527823,0.226844583987441
"SPU_000150",-0.0377999463618582,5.28083235117837,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000159",0.473422514114315,8.52895165078862,"SP-BDNR",29.3333333333333,821.333333333333,0,1147.66666666667,16477,6715,9762,0.0293333333333333,0.0841357645291265,0.170910896003971
"SPU_000163",0.690148877869668,4.03817675403889,"SP-SULT4A1",113.666666666667,437.333333333333,137,117.666666666667,17361,840,16521,0.113666666666667,0.026471359683635,0.140079365079365
"SPU_000166",0.0950915205335596,7.72305867330117,"SP-SLC35F3L",38.3333333333333,61.3333333333333,17.3333333333333,63.6666666666667,13258,2347,10911,0.0383333333333333,0.00562123850548376,0.0271268285754864
"SPU_000169",0.374877525521007,4.89138926368795,"SP-NCOA7L",73.6666666666667,669,0,289,34770,2848,31922,0.0736666666666667,0.0209573335004072,0.101474719101124
"SPU_000170",0.585967163412074,5.59281087964392,"SP-ARS2",27,408.666666666667,0,227,16602,2543,14059,0.027,0.0290679754368495,0.0892646480534801
"SPU_000176",1.21568121205495,5.54758454812906,"SP-REELER/EGF/FOLN",93,386.333333333333,196.333333333333,183,24448,3430,21018,0.093,0.0183810701938021,0.0533527696793003
"SPU_000177",1.53368650044946,3.48154553019812,"SP-PCSK9L",86.6666666666667,1361.33333333333,0,245,17094,1677,15417,0.0866666666666667,0.0883007934963568,0.146094215861658
"SPU_000195",-1.33870507137634,4.57061041469326,"SP-DYSF",65.3333333333333,268.666666666667,0,133.666666666667,18866,2204,16662,0.0653333333333333,0.016124514864162,0.0606473079249849
"SPU_000199",-0.0649833395137829,10.2663014544031,"SP-TLR003",158.333333333333,0,0,0,2639,2639,0,0.158333333333333,0,0
"SPU_000202",0.348839959222534,7.3454321422877,"SP-CHN2",142,877,155.333333333333,39,25025,2495,22530,0.142,0.0389258766089658,0.0156312625250501
"SPU_000208",0.0440393231385302,8.11677157358329,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000217",0.916776961174435,4.19485450754934,"SP-ESPL1",17.6666666666667,1498,0,249.333333333333,8311,1939,6372,0.0176666666666667,0.235091023226616,0.128588619563349
"SPU_000225",-0.122544524003837,7.45873411679847,"SP-MPHOSPH10L",10.6666666666667,79.3333333333333,0,25.6666666666667,10977,3294,7683,0.0106666666666667,0.0103258275847108,0.0077919449504149
"SPU_000227",1.32505840732425,5.68171236734163,"SP-ALG10BH",36,9.66666666666667,1,187.333333333333,5187,1263,3924,0.036,0.00246347264695889,0.148324096067564
"SPU_000239",-0.206353421672147,4.53779804674519,"SP-RRM",176.333333333333,1418.33333333333,1338.66666666667,43,39377,528,38849,0.176333333333333,0.0365088762473509,0.0814393939393939
"SPU_000241",-1.24700824484854,6.1093168175806,"SP-TAL1PH",56,134.333333333333,0,0,96970,10193,86777,0.056,0.00154802923969869,0
"SPU_000243",-1.01711161262391,5.86037207230635,"SP-WDR60",55.3333333333333,409,0,193,23677,3977,19700,0.0553333333333333,0.020761421319797,0.0485290419914508
"SPU_000247",1.16771925872406,8.23054864772851,"SP-TPPP2/3",51.3333333333333,33.3333333333333,18.3333333333333,56.3333333333333,2502,861,1641,0.0513333333333333,0.0203128173877717,0.0654277971351142
"SPU_000252",0.138514145837828,8.72430099198364,"SP-MED1",89.6666666666667,398.333333333333,0,611.666666666667,21482,9520,11962,0.0896666666666667,0.0332998941091233,0.064250700280112
"SPU_000255",-0.138468388005753,7.87578440206869,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000259",1.36963347576924,5.93754278966576,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000271",0.0120230704717004,3.07103904209249,"SP-CLECT/EGF_4",44.3333333333333,121.666666666667,7.66666666666667,107,6080,1123,4957,0.0443333333333333,0.024544415304956,0.0952804986642921
"SPU_000276",-0.157701247684825,4.80739321100998,"SP-PAXC",15.6666666666667,398.666666666667,0,10,13880,1298,12582,0.0156666666666667,0.0316854766067928,0.00770416024653313
"SPU_000279",-0.255300774009277,5.26473025248943,"SP-CYP17A1",58.6666666666667,0,0,0,2739,656,2083,0.0586666666666667,0,0
"SPU_000290",-0.529764122914077,4.25886187306887,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000293",2.8434458933137,4.87430816828684,"SP-ASPHL",29.6666666666667,99.3333333333333,0,69,4734,924,3810,0.0296666666666667,0.026071741032371,0.0746753246753247
"SPU_000304",-1.73248803076342,3.21330382214707,"SP-VPS4H",8.66666666666667,198.333333333333,0,0,15632,913,14719,0.00866666666666667,0.0134746472812918,0
"SPU_000308",-0.520418135388262,4.09829438979094,"SP-RHOGAP24L2",33.3333333333333,982,477.333333333333,246.666666666667,27456,2353,25103,0.0333333333333333,0.0391188304186751,0.104830712565519
"SPU_000313",-1.08804263002535,4.89162967931211,"SP-VPS37HA",80,179.333333333333,0,130.333333333333,8924,1219,7705,0.08,0.0232749296993294,0.106918238993711
"SPU_000316",-1.05201105687196,5.04267052658084,"SP-INPP4B",25.6666666666667,695,4.66666666666667,323.333333333333,31934,3264,28670,0.0256666666666667,0.0242413672828741,0.0990604575163399
"SPU_000327",0.320790177707313,6.4015134322614,"SP-UNC44L_2",64,268.333333333333,0,115,27627,3672,23955,0.064,0.0112015584777012,0.031318082788671
"SPU_000330",-0.0852089675736698,6.94954724754591,"SP-HGFL",84.6666666666667,368.666666666667,120.666666666667,391.333333333333,17443,3470,13973,0.0846666666666667,0.0263842171807534,0.112776176753122
"SPU_000343",-0.551991267267563,6.4343269940263,"SP-SYT6-1",20.6666666666667,94.3333333333333,0,27.3333333333333,7812,551,7261,0.0206666666666667,0.012991782582748,0.0496067755595886
"SPU_000346",0.517798285450046,4.03205965813445,"SP-CLECT/FN3_17",1.66666666666667,1335.33333333333,6.66666666666667,291.666666666667,38343,3713,34630,0.00166666666666667,0.0385600154009048,0.0785528323906994
"SPU_000347",-1.59572383975651,5.14445231231277,"SP-HYPP_298",20,0,0,0,2147,1264,883,0.02,0,0
"SPU_000356",0.162977131680553,4.98666542592797,"SP-SLC16A6L",56.6666666666667,46,0,30.3333333333333,4383,1523,2860,0.0566666666666667,0.0160839160839161,0.0199168308163712
"SPU_000358",0.14657160362295,8.27435466036351,"SP-HYPP_1251",24,0,0,0,1146,964,182,0.024,0,0
"SPU_000362",-0.103817763945961,9.65747938423901,"SP-MASP",11,249.333333333333,77,39.6666666666667,42644,5200,37444,0.011,0.00665883274578927,0.00762820512820513
"SPU_000372",0.258866118698309,5.00693711998082,"SP-HYPP_1256",31,120.333333333333,29,108.333333333333,3268,993,2275,0.031,0.0528937728937729,0.109097012420275
"SPU_000373",0.0395893283782775,4.19829440470865,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000381",-1.60241775347138,4.57172633783474,"SP-FBSL_2",119.666666666667,617,32,160.666666666667,2097,1792,305,0.119666666666667,2.02295081967213,0.0896577380952381
"SPU_000382",-0.353084286693057,5.22658978543862,"SP-MAN1B1L",52,18,0,20.6666666666667,5213,967,4246,0.052,0.00423928403203015,0.0213719407101
"SPU_000396",0.522481749236583,5.24468943845815,"SP-HYPP_300",49,10,0,38.6666666666667,7584,2941,4643,0.049,0.00215377988369589,0.0131474555139975
"SPU_000402",-0.0413407710360613,7.16567092968558,"SP-GPR158_1",46,529.666666666667,76.6666666666667,233.333333333333,21738,2162,19576,0.046,0.0270569404713254,0.107924761023743
"SPU_000406",0.155678945893921,3.93544583714809,"SP-FN3/IGF",21.6666666666667,144.333333333333,0,149.333333333333,17482,5687,11795,0.0216666666666667,0.0122368235127879,0.0262587187151984
"SPU_000409",-0.190567806580183,6.87202781438633,"SP-IL1R/RS1(D)",47.3333333333333,11,0,17.3333333333333,5773,1949,3824,0.0473333333333333,0.0028765690376569,0.00889344963229006
"SPU_000410",-1.74497025604448,5.00711167825316,"SP-EGFIB_3",61.3333333333333,491.333333333333,131.333333333333,83.3333333333333,17140,1458,15682,0.0613333333333333,0.0313310377077754,0.0571559213534522
"SPU_000413",0.582336770538619,7.0331151368485,"SP-CHRM5L",112.666666666667,182.666666666667,0,52.6666666666667,1331,1331,0,0.112666666666667,0,0.0395692461808164
"SPU_000419",0.7116975514781,6.37733986816792,"SP-LMLM-2",43,386.333333333333,73.3333333333333,98,14058,1617,12441,0.043,0.0310532379497897,0.0606060606060606
"SPU_000423",0.433192423555733,8.21056750537787,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000426",1.81741729944376,5.69949730815076,"SP-ARSJ",128.666666666667,1121,743,261,25309,1760,23549,0.128666666666667,0.047602870610217,0.148295454545455
"SPU_000435",-0.322396320743041,3.43328342123169,"SP-MLCKL",39.6666666666667,759,0,245.333333333333,30851,3688,27163,0.0396666666666667,0.0279424216765453,0.0665220535068691
"SPU_000439",0.484936601661946,7.28382487921866,"SP-P58-A",131,1594.33333333333,839.666666666667,321,28702,2618,26084,0.131,0.0611230383887952,0.122612681436211
"SPU_000440",-2.26795603544105,5.23255481126336,"SP-Z115",44,565,340,357.666666666667,13467,7183,6284,0.044,0.08991088478676,0.0497934938976287
"SPU_000441",0.260356524956777,6.47779531458929,"SP-IGCAM/IGCAM",16.6666666666667,475.333333333333,0,240,19786,5077,14709,0.0166666666666667,0.0323158157137354,0.0472720110301359
"SPU_000447",2.67530289322785,4.41421522300931,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000468",-0.281913145393223,5.61951588445693,"SP-PLK2",37,586.333333333333,9,187.333333333333,25524,1884,23640,0.037,0.0248025944726452,0.0994338287331918
"SPU_000471",0.31746900900104,9.17646281236469,"SP-RDH10_1",60.6666666666667,31,0,17,4376,1175,3201,0.0606666666666667,0.00968447360199937,0.014468085106383
"SPU_000480",0.425586543113734,5.76916589441205,"SP-ZFP509L",74.3333333333333,17.6666666666667,0,273.666666666667,5189,3342,1847,0.0743333333333333,0.00956506045840101,0.0818870935567524
"SPU_000484",-0.279174537922627,6.76555734162147,"SP-CYTB561",22.3333333333333,128.333333333333,86.6666666666667,67,7870,1304,6566,0.0223333333333333,0.01954513148543,0.0513803680981595
"SPU_000508",-1.87840599464458,4.48079187719646,"SP-GBA",81,266,207.666666666667,53,14552,502,14050,0.081,0.018932384341637,0.105577689243028
"SPU_000513",-0.359395042035735,7.35510876484824,"SP-DO1(UDX1)",149,1358,0,833.666666666667,32767,6779,25988,0.149,0.0522548868708635,0.122977823671141
"SPU_000514",0.137332318016224,6.63728483646341,"SP-KSR1",78.6666666666667,1083.66666666667,74.6666666666667,323.666666666667,40717,4953,35764,0.0786666666666667,0.0303004883868322,0.0653476007806716
"SPU_000538",-0.161625719066222,4.64958239168587,"SP-EGF/CCP",13.6666666666667,224.333333333333,0,48,21223,1717,19506,0.0136666666666667,0.0115007348166376,0.0279557367501456
"SPU_000545",-0.905174593319712,7.11662516015466,"SP-GTF3C1L",85.6666666666667,338.333333333333,0.666666666666667,279.333333333333,22922,5405,17517,0.0856666666666667,0.0193145706076002,0.0516805427073697
"SPU_000555",-3.82578828099961,3.87032340740033,"SP-C20ORF7L",88,3277.33333333333,0,70.3333333333333,38570,1247,37323,0.088,0.0878100188445016,0.0564020315423683
"SPU_000563",-1.16173680174917,6.3674339714615,"SP-CDKL2",96.6666666666667,490.666666666667,0,115.666666666667,37301,3244,34057,0.0966666666666667,0.0144072192696558,0.0356555692560625
"SPU_000565",0.727850548210314,4.67283634439939,"SP-HYPP_307",4.33333333333333,9.66666666666667,0,14,11981,3520,8461,0.00433333333333333,0.0011424969467754,0.00397727272727273
"SPU_000576",0.409124864714324,7.94307017304534,"SP-GPR151L",95,188.333333333333,9,128.333333333333,1019,1019,0,0.095,0,0.125940464507687
"SPU_000581",0.0575443333757643,7.86425204117622,"SP-HERC4L",46.3333333333333,783.333333333333,0,319,21701,3565,18136,0.0463333333333333,0.0431921776209381,0.0894810659186536
"SPU_000582",0.439663619612464,7.06645738687531,"SP-HERC4_2",61.6666666666667,658.666666666667,48.3333333333333,343,12489,3231,9258,0.0616666666666667,0.0711456758119104,0.106159083874961
"SPU_000583",0.566890552722614,5.95275905806299,"SP-MUC4L",36.6666666666667,133,0,26.3333333333333,18560,4097,14463,0.0366666666666667,0.00919587913987416,0.00642746725246115
"SPU_000584",-1.13639263843503,3.84392063417572,"SP-GPCR126",16.3333333333333,638,172.333333333333,103,24204,2185,22019,0.0163333333333333,0.0289749761569554,0.0471395881006865
"SPU_000585",0.479077614444842,5.91295296889519,"SP-HYPP_1262",44.3333333333333,213.666666666667,213.666666666667,108.333333333333,3307,950,2357,0.0443333333333333,0.090651958704568,0.114035087719298
"SPU_000590",-0.774121803380145,5.35207827101727,"SP-ADHFE1",44,254.333333333333,0,18,17494,1472,16022,0.044,0.0158740065742937,0.0122282608695652
"SPU_000595",1.17807920377532,5.27436662992609,"SP-EF1A",73.6666666666667,0,0,0,4190,1033,3157,0.0736666666666667,0,0
"SPU_000599",-0.28040447278945,6.99285013711189,"SP-HYPP_310",55.3333333333333,377,17.6666666666667,428.666666666667,14937,3156,11781,0.0553333333333333,0.0320006790595026,0.13582594000845
"SPU_000614",0.815282860649394,6.26766809777352,"SP-SACSL_3",10.6666666666667,31,16.6666666666667,62.6666666666667,19851,9985,9866,0.0106666666666667,0.00314210419622948,0.00627608078784844
"SPU_000619",-0.195573312886658,8.37848732660015,"SP-APDPL",18.6666666666667,57.3333333333333,0,43.3333333333333,6986,800,6186,0.0186666666666667,0.00926824011208104,0.0541666666666667
"SPU_000621",-0.575461532792094,5.30261634823672,"SP-LRP1L_1",62.6666666666667,1270.33333333333,0,260.666666666667,24520,2075,22445,0.0626666666666667,0.056597608970075,0.125622489959839
"SPU_000634",0.115145413032223,6.43716943558584,"SP-HECW1L",137.333333333333,1646.66666666667,369,42,62278,1320,60958,0.137333333333333,0.0270131347266424,0.0318181818181818
"SPU_000635",-0.452296987464448,8.1061881083287,"SP-GAGPOLL_3",2.66666666666667,1.33333333333333,0,28.6666666666667,15872,10496,5376,0.00266666666666667,0.000248015873015873,0.00273119918699187
"SPU_000645",0.550214266944853,6.76272643281265,"SP-CYP27L_1",165.333333333333,960.333333333333,960.333333333333,0,40039,1545,38494,0.165333333333333,0.0249476108830813,0
"SPU_000652",-0.0737808602626744,6.58515615133181,"SP-DUSP14/18/21",126.666666666667,0,0,0,1290,1209,81,0.126666666666667,0,0
"SPU_000669",0.479026687248116,6.90235378206787,"SP-BMP2/4",90,398.666666666667,398.666666666667,0,19096,1335,17761,0.09,0.0224461835857591,0
"SPU_000678",1.24618269899003,5.96638185086089,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000680",-0.765568985057054,2.81235897471783,"SP-ADAM/TS6/10L1",51,947,0,40.6666666666667,41167,2051,39116,0.051,0.0242100419265774,0.0198277263123679
"SPU_000682",-0.0755473381909857,8.48521380339786,"SP-HS3ST3A1L",105,0,0,0,1871,1871,0,0.105,0,0
"SPU_000683",0.633294131966191,7.24013885680855,"SP-HYPP_1273",222,0,0,0,3366,3366,0,0.222,0,0
"SPU_000687",-4.54497505739781,2.94327832498058,"SP-AMBRA1",34,12.6666666666667,0,28,18105,2460,15645,0.034,0.000809630339831682,0.0113821138211382
"SPU_000692",0.578075292406058,5.79860386834423,"SP-UGT2B17",62.3333333333333,37.3333333333333,0,15.3333333333333,9358,1977,7381,0.0623333333333333,0.00505803188366527,0.00775585904569213
"SPU_000694",-0.697911655774654,6.10478918944708,"SP-UGT2B34",143.333333333333,12.6666666666667,0,18.6666666666667,3921,1623,2298,0.143333333333333,0.0055120394545982,0.0115013349763812
"SPU_000703",0.185687169756076,7.52198650637581,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000712",-0.401362139342234,7.52706175231584,"SP-HYPP_1283",79,86,0,5,8025,1349,6676,0.079,0.0128819652486519,0.00370644922164566
"SPU_000718",0.188153770023061,5.31561065623315,"SP-CHST2L",103,32,32,49,971,971,0,0.103,0,0.0504634397528321
"SPU_000719",-0.342255069774395,6.66255507350262,"SP-OPRK1L",85.3333333333333,0,0,0,1145,1145,0,0.0853333333333333,0,0
"SPU_000721",1.08394078746921,5.42694121746033,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000733",0.0490651526969483,6.10440482639464,"SP-HYPP_1287",36.6666666666667,334.666666666667,25,314,13001,1450,11551,0.0366666666666667,0.0289729604940409,0.216551724137931
"SPU_000739",0.102110295273397,8.3960413157228,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000743",0.393090224102051,6.49827715009282,"SP-CLECT_2",20,0,0,0,1478,460,1018,0.02,0,0
"SPU_000746",-2.73047901963134,6.4098032975846,"SP-CYP2L1P",23,0,0,0.666666666666667,3074,838,2236,0.023,0,0.000795544948289578
"SPU_000751",-0.19448085496043,6.77063226342245,"SP-MACPFD1",104,208.333333333333,26.3333333333333,247.666666666667,6977,2233,4744,0.104,0.0439151208544126,0.110912076429318
"SPU_000765",1.11871845223649,8.68473854712712,"SP-CHRNA9L_2",42.3333333333333,1394.66666666667,903.666666666667,298.333333333333,19315,1795,17520,0.0423333333333333,0.0796042617960426,0.166202414113278
"SPU_000767",-0.27709866409064,6.72774922614858,"SP-CHRNA9-2",19.6666666666667,663.666666666667,272,200.666666666667,14869,1201,13668,0.0196666666666667,0.0485562384157643,0.167082986400222
"SPU_000773",-1.1746810512873,5.49999536566287,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000784",-0.193336793323721,6.2020720909941,NA,0,0,0,0,0,0,0,0,0,0
