"geneid","int_meth_logFC","int_meth_logCPM","common_name","peak_density_TSS","peak_density_Introns","peak_density_Intron1","peak_density_Exons","gene_len","exon_len","intron_len","TSS_dens_norm","intron_dens_norm","exon_dens_norm"
"SPU_000050",-0.0986392859361598,4.9617548776516,"SP-UNC44L",45.3333333333333,211.333333333333,145.666666666667,88.6666666666667,17530,3047,14483,45.3333333333333,0.0145918202950586,0.0290996608686139
"SPU_000051",0.332723096832838,6.391591331328,"SP-SRCR",13,356,226.666666666667,118,61256,2328,58928,13,0.00604127070323106,0.0506872852233677
"SPU_000057",0.083678578484233,4.8717603771411,"SP-IGCAM/IGCAM/IGCAM",31.6666666666667,463,0,0,20032,1428,18604,31.6666666666667,0.0248871210492367,0
"SPU_000059",0.32855707826496,3.06697943447946,"SP-DDX55L",15,0,0,0,1433,237,1196,15,0,0
"SPU_000061",1.08508566618885,3.9827159941151,"SP-BTUB2",42.6666666666667,81.6666666666667,8.66666666666667,48.6666666666667,8903,1830,7073,42.6666666666667,0.0115462557142184,0.0265938069216758
"SPU_000064",0.599169117962615,5.04011813311592,"SP-MUS_ACHLRM3",31.3333333333333,118,18.3333333333333,49.3333333333333,4020,1060,2960,31.3333333333333,0.0398648648648649,0.0465408805031447
"SPU_000067",-0.889122982412452,1.43578507707632,"SP-CRJ1L",17.3333333333333,18,0,50,3495,642,2853,17.3333333333333,0.00630914826498423,0.0778816199376947
"SPU_000068",-0.3706107175742,7.5787000560326,"SP-AGA_1",6,2,2,0,21061,2362,18699,6,0.000106957591315044,0
"SPU_000069",0.726961994029815,7.66460644118744,"SP-GLYT1L",55.6666666666667,210,2,182.666666666667,11889,1241,10648,55.6666666666667,0.0197220135236664,0.147193123824872
"SPU_000070",0.134613701658239,7.87205237782698,"SP-MUCL",7,402.333333333333,112.333333333333,288.333333333333,19589,3132,16457,7,0.0244475501812805,0.0920604512558535
"SPU_0000702",1.02109765969937,3.30106334870843,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000074",-0.592706634916992,2.21824607217054,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000075",-0.0865760654390764,5.21376171037608,"SP-METHIAPD2L",108,221.666666666667,0,18.3333333333333,16577,4421,12156,108,0.0182351650762312,0.00414687476438212
"SPU_000076",-0.472017879424486,4.98782888596763,"SP-GAT_2",31.3333333333333,397.666666666667,0,140,15518,3592,11926,31.3333333333333,0.0333445133881156,0.0389755011135857
"SPU_000081",0.588849195612309,3.34763640837431,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000083",-0.558886071027873,5.49612326878658,NA,0,0,0,0,0,0,0,0,0,0
"SPU_0000846",0.19114714347672,7.21035298684765,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000091",0.1210939400061,4.81819821908627,"SP-FIMBPH",20.6666666666667,169.333333333333,0,105,9360,995,8365,20.6666666666667,0.0202430763100219,0.105527638190955
"SPU_000094",0.116898834073572,7.43982536707244,"SP-HYPP_293",140.666666666667,627,627,0,100236,2189,98047,140.666666666667,0.0063948922455557,0
"SPU_000098",0.995063918130667,4.87089405299499,"SP-CLASP2",48.6666666666667,1150.33333333333,1150.33333333333,374.666666666667,36090,3133,32957,48.6666666666667,0.0349040669154757,0.119587190126609
"SPU_000100",-1.99732094001373,3.24665629375119,"SP-HYPP_1243",1.66666666666667,320.666666666667,60.3333333333333,117,14820,1065,13755,1.66666666666667,0.0233127347631164,0.109859154929577
"SPU_000116",-0.136330464433511,6.24286256947203,"SP-GUCY1A3",92,3399.66666666667,0,191.333333333333,42050,1042,41008,92,0.0829025230849265,0.183621241202815
"SPU_000117",0.810947755149129,2.4855291045033,"SP-GUCY1B3",181.333333333333,3348.33333333333,104,221,18323,1806,16517,181.333333333333,0.20272042945652,0.122369878183832
"SPU_000120",0.129516283574396,4.06686966402113,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000124",1.49219214383728,3.34565324986909,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000125",-0.337519430711766,4.68937976882052,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000128",0.0689116588194518,6.36610272892488,"SP-TROPMY1",133.333333333333,1880.66666666667,413,157.666666666667,24826,721,24105,133.333333333333,0.0780197745972482,0.218677762367083
"SPU_000142",-0.766530511011064,1.3139019100373,"SP-COL18A1LF",80.6666666666667,0,0,0,49315,4140,45175,80.6666666666667,0,0
"SPU_000146",2.13848716714646,2.75761226650235,"SP-KPNB1",130.333333333333,867,176.333333333333,578,21399,2548,18851,130.333333333333,0.0459922550527823,0.226844583987441
"SPU_000150",-0.684860967787191,2.68193154485644,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000152",0.94127035579433,6.86184066467874,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000157",1.53426216564075,2.98144701256336,"SP-DPL",18,41.3333333333333,2.66666666666667,445.333333333333,8836,7013,1823,18,0.0226732492228927,0.0635011169732402
"SPU_000158",-0.28346283817543,1.54219448579361,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000162",0.272432774919086,3.28345238414647,"SP-MYH1L",43.6666666666667,107,8,46.6666666666667,9358,1542,7816,43.6666666666667,0.0136898669396111,0.0302637267617812
"SPU_000163",0.32262439195106,3.06655896937926,"SP-SULT4A1",113.666666666667,437.333333333333,137,117.666666666667,17361,840,16521,113.666666666667,0.026471359683635,0.140079365079365
"SPU_000166",-3.23729970409641,2.22169110838426,"SP-SLC35F3L",38.3333333333333,61.3333333333333,17.3333333333333,63.6666666666667,13258,2347,10911,38.3333333333333,0.00562123850548376,0.0271268285754864
"SPU_000173",0.0209787938799191,8.76872023330978,"SP-SLC30A3",89.6666666666667,191.333333333333,0,88,8052,1147,6905,89.6666666666667,0.0277093893314024,0.0767218831734961
"SPU_000174",-0.0620840209507601,8.66367348326454,"SP-SLC30A3_1",108.333333333333,316,0,88.3333333333333,12553,3990,8563,108.333333333333,0.0369029545719958,0.0221386800334169
"SPU_000175",-0.819389588887646,5.16458915712678,"SP-ECHN",68,128.666666666667,0,26,17207,1214,15993,68,0.0080451864357323,0.0214168039538715
"SPU_000176",-0.124377426628746,5.52687966503264,"SP-REELER/EGF/FOLN",93,386.333333333333,196.333333333333,183,24448,3430,21018,93,0.0183810701938021,0.0533527696793003
"SPU_000177",0.823004164591322,4.10353751368442,"SP-PCSK9L",86.6666666666667,1361.33333333333,0,245,17094,1677,15417,86.6666666666667,0.0883007934963568,0.146094215861658
"SPU_000195",0.164544532735499,4.27332659185566,"SP-DYSF",65.3333333333333,268.666666666667,0,133.666666666667,18866,2204,16662,65.3333333333333,0.016124514864162,0.0606473079249849
"SPU_0001954",-1.75739692928741,5.64345572558528,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000208",-0.24812943807836,6.54196623220695,NA,0,0,0,0,0,0,0,0,0,0
"SPU_0002164",1.31020584737064,3.19259290184879,NA,0,0,0,0,0,0,0,0,0,0
"SPU_0002166",-0.530385806891793,1.92919393873418,NA,0,0,0,0,0,0,0,0,0,0
"SPU_0002167",-0.709911081755194,2.86195911769326,NA,0,0,0,0,0,0,0,0,0,0
"SPU_0002169",-0.418287963002382,3.94320432003765,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000218",-0.276763580044878,6.14741922123951,"SP-TOLLOIDL",103.333333333333,146,0,116.333333333333,7767,1228,6539,103.333333333333,0.0223275730233981,0.0947339847991314
"SPU_000225",-0.255476736050742,5.85972275421326,"SP-MPHOSPH10L",10.6666666666667,79.3333333333333,0,25.6666666666667,10977,3294,7683,10.6666666666667,0.0103258275847108,0.0077919449504149
"SPU_000231",0.943781422620153,2.85785032610519,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000236",0.404801171991422,5.21666622361198,"SP-IDH1",93.6666666666667,378,96,199.666666666667,18393,1263,17130,93.6666666666667,0.0220665499124343,0.158089205595144
"SPU_000241",-0.367181922389379,4.30143956039548,"SP-TAL1PH",56,134.333333333333,0,0,96970,10193,86777,56,0.00154802923969869,0
"SPU_0002410",-1.12126273566262,2.11593083137549,NA,0,0,0,0,0,0,0,0,0,0
"SPU_0002418",0.0821332587401319,5.57649702608833,NA,0,0,0,0,0,0,0,0,0,0
"SPU_0002440",0.870955353017031,4.46982841556659,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000255",0.39325673485309,5.47715162644602,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000258",1.29001990318133,2.5823469828959,"SP-FAM13A1_1",5,292.333333333333,8.33333333333333,114.666666666667,6249,950,5299,5,0.0551676416934013,0.120701754385965
"SPU_000260",0.09373856658437,1.98891154602282,"SP-PBL1",50.3333333333333,259.666666666667,0,62.3333333333333,18937,3528,15409,50.3333333333333,0.0168516235100699,0.0176681783824641
"SPU_000261",-0.0194643196515548,7.06306225417418,"SP-HYPP_1247",89,180.666666666667,0,39.3333333333333,11219,1378,9841,89,0.0183585678962165,0.0285437832607644
"SPU_000269",0.668502553344704,4.39535546535864,"SP-PLXNA2",10.6666666666667,411,0,64,116391,898,115493,10.6666666666667,0.0035586572346376,0.0712694877505568
"SPU_000271",-0.18187502406151,3.75204065138095,"SP-CLECT/EGF_4",44.3333333333333,121.666666666667,7.66666666666667,107,6080,1123,4957,44.3333333333333,0.024544415304956,0.0952804986642921
"SPU_000282",0.524877972544489,2.15530083068749,"SP-CRY1/2L",49.6666666666667,3.66666666666667,0,5.33333333333333,8605,1624,6981,49.6666666666667,0.000525235162106671,0.00328407224958949
"SPU_000284",-0.86938819657606,2.45233814873073,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000296",-0.42217796885958,4.41046700356195,"SP-GELSLNPH",77,177.666666666667,0,81,17873,1660,16213,77,0.0109582845042044,0.0487951807228916
"SPU_0002963",0.0440466178651604,5.36909453748544,NA,0,0,0,0,0,0,0,0,0,0
"SPU_0002970",0.126395737422838,2.4018216293721,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000298",-0.637419230191714,5.3426147326714,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000308",0.281014631596484,6.21727711572642,"SP-RHOGAP24L2",33.3333333333333,982,477.333333333333,246.666666666667,27456,2353,25103,33.3333333333333,0.0391188304186751,0.104830712565519
"SPU_000310",-0.381289071933293,4.88073767504702,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000313",0.656952079300253,5.27546222059914,"SP-VPS37HA",80,179.333333333333,0,130.333333333333,8924,1219,7705,80,0.0232749296993294,0.106918238993711
"SPU_000316",-0.973960907799782,3.36211851336342,"SP-INPP4B",25.6666666666667,695,4.66666666666667,323.333333333333,31934,3264,28670,25.6666666666667,0.0242413672828741,0.0990604575163399
"SPU_000323",-0.358807932367807,4.77531529356106,"SP-SLC5A3_2",84.3333333333333,182,16.3333333333333,31.3333333333333,9844,715,9129,84.3333333333333,0.0199364662065944,0.0438228438228438
"SPU_000324",-0.610980248825622,5.51671615732629,"SP-ASNSD1",118,496,0,90.6666666666667,16789,1791,14998,118,0.0330710761434858,0.0506234878094175
"SPU_000330",0.091523477682824,8.84065956679678,"SP-HGFL",84.6666666666667,368.666666666667,120.666666666667,391.333333333333,17443,3470,13973,84.6666666666667,0.0263842171807534,0.112776176753122
"SPU_000334",-0.482288502779457,4.43523214393732,"SP-ELOVL4_1",41.6666666666667,20.6666666666667,10,22.6666666666667,42373,1106,41267,41.6666666666667,0.00050080370917844,0.0204942736588306
"SPU_000337",1.15372205297441,3.33640953261899,"SP-SRCR1",0.333333333333333,3,0,5,5659,1533,4126,0.333333333333333,0.000727096461463887,0.00326157860404436
"SPU_000343",0.0131380937275203,6.93422707421854,"SP-SYT6-1",20.6666666666667,94.3333333333333,0,27.3333333333333,7812,551,7261,20.6666666666667,0.012991782582748,0.0496067755595886
"SPU_000346",-0.332115750721049,2.00023568066752,"SP-CLECT/FN3_17",1.66666666666667,1335.33333333333,6.66666666666667,291.666666666667,38343,3713,34630,1.66666666666667,0.0385600154009048,0.0785528323906994
"SPU_0003461",0.32451019416771,2.29852662837169,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000356",-0.668426672226457,5.04896346390956,"SP-SLC16A6L",56.6666666666667,46,0,30.3333333333333,4383,1523,2860,56.6666666666667,0.0160839160839161,0.0199168308163712
"SPU_000357",0.138541999210217,6.50002252181614,"SP-GNMT",47.6666666666667,345.333333333333,157,141,9878,939,8939,47.6666666666667,0.0386322109109893,0.150159744408946
"SPU_0003623",-0.284301489413131,2.805063186562,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000364",-0.122246005559826,5.32503998510246,"SP-ATP6V1H",28.3333333333333,170.333333333333,146,49.6666666666667,7195,1248,5947,28.3333333333333,0.0286418922706126,0.0397970085470085
"SPU_000371",1.0881918389826,4.1960450522651,NA,0,0,0,0,0,0,0,0,0,0
"SPU_0003715",0.355562264720281,5.21375284286065,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000372",-0.41734640485802,5.63141699514712,"SP-HYPP_1256",31,120.333333333333,29,108.333333333333,3268,993,2275,31,0.0528937728937729,0.109097012420275
"SPU_000387",-0.0649633351184657,5.61189770844712,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000388",0.405701744937274,8.00151795338971,"SP-HOX11/13C",16.6666666666667,0,0,0,128194,450,127744,16.6666666666667,0,0
"SPU_000393",-0.670921451831644,6.24028855303404,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000394",0.0781163424578065,7.26469751320975,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000396",0.132705671569425,4.39882922421625,"SP-HYPP_300",49,10,0,38.6666666666667,7584,2941,4643,49,0.00215377988369589,0.0131474555139975
"SPU_000402",0.578077888078366,5.57958108255421,"SP-GPR158_1",46,529.666666666667,76.6666666666667,233.333333333333,21738,2162,19576,46,0.0270569404713254,0.107924761023743
"SPU_000417",-0.77352858604423,3.95103773778496,"SP-SLC27A1",3.66666666666667,1717,308.666666666667,468,19348,2812,16536,3.66666666666667,0.103834059022738,0.166429587482219
"SPU_000418",-1.53792539648007,2.67102366475358,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000419",0.600799005259918,4.93708000116411,"SP-LMLM-2",43,386.333333333333,73.3333333333333,98,14058,1617,12441,43,0.0310532379497897,0.0606060606060606
"SPU_0004190",0.0462554164087213,5.49565919329801,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000426",0.420965765199443,6.67228018493224,"SP-ARSJ",128.666666666667,1121,743,261,25309,1760,23549,128.666666666667,0.047602870610217,0.148295454545455
"SPU_000435",0.170912717346128,2.01968259748052,"SP-MLCKL",39.6666666666667,759,0,245.333333333333,30851,3688,27163,39.6666666666667,0.0279424216765453,0.0665220535068691
"SPU_0004350",0.525009382295407,3.22658482307402,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000436",-0.212695056437542,5.78018017680263,"SP-CYP3L2",43.3333333333333,511,0,392,14941,1434,13507,43.3333333333333,0.0378322351373362,0.273361227336123
"SPU_0004360",0.867415414689149,3.34710376077036,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000439",-1.09575269196859,1.57089239705791,"SP-P58-A",131,1594.33333333333,839.666666666667,321,28702,2618,26084,131,0.0611230383887952,0.122612681436211
"SPU_000441",-0.00554608036206367,4.76294195946977,"SP-IGCAM/IGCAM",16.6666666666667,475.333333333333,0,240,19786,5077,14709,16.6666666666667,0.0323158157137354,0.0472720110301359
"SPU_000442",-0.497449527485411,5.46211149065663,"SP-MLCKB",117.666666666667,656.333333333333,0,159.333333333333,12219,2530,9689,117.666666666667,0.0677400488526508,0.0629776021080369
"SPU_000447",0.0352091745867496,7.13524433413344,NA,0,0,0,0,0,0,0,0,0,0
"SPU_0004471",-0.638145441721132,4.80088114303574,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000452",0.0186129068797561,5.96235728319128,"SP-SYVN1L",6.33333333333333,106.333333333333,26,37,10284,1333,8951,6.33333333333333,0.0118794920493055,0.0277569392348087
"SPU_000453",1.33797156284281,2.81244162656137,"SP-IGF_17",20,126.333333333333,0,24.3333333333333,32679,2852,29827,20,0.00423553603558297,0.00853202431042543
"SPU_000458",-0.449157806710742,2.44961208115629,"SP-SIAT7B",98.6666666666667,889.333333333333,0,83,25472,1297,24175,98.6666666666667,0.0367873147190624,0.063993831919815
"SPU_000459",-0.33154661642895,3.60887124506081,"SP-SMYD3L",93,648.333333333333,0,31.3333333333333,18356,603,17753,93,0.0365196492611577,0.0519624101713654
"SPU_000463",-0.109619296933263,5.77261213794299,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000468",0.0808756901369363,4.9638425612348,"SP-PLK2",37,586.333333333333,9,187.333333333333,25524,1884,23640,37,0.0248025944726452,0.0994338287331918
"SPU_000471",1.38932102235936,2.60078263762007,"SP-RDH10_1",60.6666666666667,31,0,17,4376,1175,3201,60.6666666666667,0.00968447360199937,0.014468085106383
"SPU_000476",0.423807103621447,6.87449217920528,"SP-UNC44L_3",7.66666666666667,228.333333333333,0,232.666666666667,27083,4210,22873,7.66666666666667,0.00998265786443988,0.0552652414885194
"SPU_000482",-0.305822949738347,4.5482991919018,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000485",0.676558364994405,4.77875778228066,"SP-CHX10",154,1745,877.666666666667,144,29795,1348,28447,154,0.0613421450416564,0.106824925816024
"SPU_000487",-0.173129334662962,7.53303644810413,"SP-DAK",71.3333333333333,12.6666666666667,0,1.33333333333333,6043,724,5319,71.3333333333333,0.00238140001253368,0.00184162062615101
"SPU_000490",-0.126448309980354,4.77370310084991,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000491",-1.06987088200563,5.06747595953139,"SP-PPAP2CL",46.6666666666667,66,0,73.3333333333333,6284,1014,5270,46.6666666666667,0.0125237191650854,0.0723208415516108
"SPU_000494",-0.281502987268525,7.43798275787731,"SP-RTL_71",7.33333333333333,0,0,14.6666666666667,9032,5496,3536,7.33333333333333,0,0.00266860747210092
"SPU_000499",-1.40654444925937,3.73017069159224,"SP-UNC44L_4",1,1154.33333333333,1.33333333333333,279.666666666667,19924,6566,13358,1,0.0864151320057893,0.0425931566656513
"SPU_000500",0.794186707464295,3.66150325243714,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000509",-0.176314391897661,7.97511913533289,NA,0,0,0,0,0,0,0,0,0,0
"SPU_0005102",-0.591012648798471,4.85010852170411,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000514",-0.278648590110947,5.01907392589567,"SP-KSR1",78.6666666666667,1083.66666666667,74.6666666666667,323.666666666667,40717,4953,35764,78.6666666666667,0.0303004883868322,0.0653476007806716
"SPU_000518",-0.279557689431628,5.33513229918758,"SP-BCHE-2",97.6666666666667,63.3333333333333,0,43.6666666666667,8542,1860,6682,97.6666666666667,0.00947820013967874,0.0234767025089606
"SPU_000525",0.450652248734885,2.50370245045708,"SP-CERCAM",99.3333333333333,149.666666666667,5,96.3333333333333,10852,1130,9722,99.3333333333333,0.0153946375917164,0.0852507374631268
"SPU_000526",0.0132787097606193,6.13316215008895,NA,0,0,0,0,0,0,0,0,0,0
"SPU_0005261",-0.0418571000745914,3.50842756765794,NA,0,0,0,0,0,0,0,0,0,0
"SPU_0005264",0.132306726106421,3.47488858438111,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000527",-0.291793459243708,2.11294650544716,"SP-CUBNL_8",13.6666666666667,67.3333333333333,0,26.6666666666667,9201,1112,8089,13.6666666666667,0.00832406148267194,0.0239808153477218
"SPU_000529",0.0509259471490788,5.25467930434172,"SP-HYPP_305",32.6666666666667,143.666666666667,0.333333333333333,190,8512,1870,6642,32.6666666666667,0.021630031115126,0.101604278074866
"SPU_000534",1.44388238397402,3.92378366544178,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000535",-0.230530148458343,5.67524772782886,"SP-DOM3ZL",110,237,14.3333333333333,138.333333333333,7190,1074,6116,110,0.0387508175277959,0.128801986343886
"SPU_000538",1.3221827443787,2.96312072090247,"SP-EGF/CCP",13.6666666666667,224.333333333333,0,48,21223,1717,19506,13.6666666666667,0.0115007348166376,0.0279557367501456
"SPU_000541",0.104391419240158,10.011817973386,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000542",0.660521249441146,5.97520710589663,"SP-CLECT/PAN_7",15.3333333333333,634.666666666667,169,81.3333333333333,18492,983,17509,15.3333333333333,0.0362480248253279,0.0827399118345202
"SPU_000544",-0.227669268253452,5.77263786304518,"SP-ORC3",83,723.333333333333,139.666666666667,375.333333333333,19482,2244,17238,83,0.0419615577986619,0.167260843731432
"SPU_0005440",0.187163693182254,1.96222424218842,NA,0,0,0,0,0,0,0,0,0,0
"SPU_0005445",0.515151519550293,5.47542950048524,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000545",-0.553697998775739,7.9970161083138,"SP-GTF3C1L",85.6666666666667,338.333333333333,0.666666666666667,279.333333333333,22922,5405,17517,85.6666666666667,0.0193145706076002,0.0516805427073697
"SPU_0005453",-0.136913398374998,7.68978484495301,NA,0,0,0,0,0,0,0,0,0,0
"SPU_0005454",-0.05374370659552,7.76669886547931,NA,0,0,0,0,0,0,0,0,0,0
"SPU_0005455",-0.28990235492677,5.31443858579897,NA,0,0,0,0,0,0,0,0,0,0
"SPU_0005456",-0.106795010964456,6.03272284222369,NA,0,0,0,0,0,0,0,0,0,0
"SPU_0005457",-0.0297766567276946,8.95742025146177,NA,0,0,0,0,0,0,0,0,0,0
"SPU_0005470",1.08319605635922,2.07409836235374,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000548",0.344901101467325,1.40468083298623,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000555",-0.229061691585931,9.98248600842618,"SP-C20ORF7L",88,3277.33333333333,0,70.3333333333333,38570,1247,37323,88,0.0878100188445016,0.0564020315423683
"SPU_0005598",-0.160863518386054,5.15053088780089,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000563",0.756015437362956,6.12671037754916,"SP-CDKL2",96.6666666666667,490.666666666667,0,115.666666666667,37301,3244,34057,96.6666666666667,0.0144072192696558,0.0356555692560625
"SPU_000565",-0.454209645238988,2.09687488192534,"SP-HYPP_307",4.33333333333333,9.66666666666667,0,14,11981,3520,8461,4.33333333333333,0.0011424969467754,0.00397727272727273
"SPU_000573",-0.548653382099301,4.85122834189614,"SP-HYPP_309",46,101.666666666667,0,124.333333333333,13349,3747,9602,46,0.0105880719294591,0.0331821012365448
"SPU_000580",-0.180809562390442,7.71819152510718,"SP-SRCR3",54.3333333333333,958.666666666667,80,159.333333333333,22339,1489,20850,54.3333333333333,0.0459792166266986,0.107006939780613
"SPU_0005824",3.22669044031895,3.49156579354049,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000583",0.0114806944924673,5.86202907227859,"SP-MUC4L",36.6666666666667,133,0,26.3333333333333,18560,4097,14463,36.6666666666667,0.00919587913987416,0.00642746725246115
"SPU_000584",0.498011977345319,4.64719997917119,"SP-GPCR126",16.3333333333333,638,172.333333333333,103,24204,2185,22019,16.3333333333333,0.0289749761569554,0.0471395881006865
"SPU_000585",1.98743367297879,3.93746830821512,"SP-HYPP_1262",44.3333333333333,213.666666666667,213.666666666667,108.333333333333,3307,950,2357,44.3333333333333,0.090651958704568,0.114035087719298
"SPU_000587",-0.164388451737517,5.00904336981363,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000588",0.0481137035929334,3.56166512837405,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000590",-0.0909184821695208,5.38573924534627,"SP-ADHFE1",44,254.333333333333,0,18,17494,1472,16022,44,0.0158740065742937,0.0122282608695652
"SPU_000593",2.07889009860966,2.0124135246725,"SP-SMPD1L",57.6666666666667,141.666666666667,25.6666666666667,30.3333333333333,10352,685,9667,57.6666666666667,0.0146546670804455,0.0442822384428224
"SPU_000614",-1.5967124923136,2.45438325055218,"SP-SACSL_3",10.6666666666667,31,16.6666666666667,62.6666666666667,19851,9985,9866,10.6666666666667,0.00314210419622948,0.00627608078784844
"SPU_000620",-0.353254355986794,3.62301381717445,"SP-LRP12L_2",194.333333333333,918.333333333333,354.333333333333,295.666666666667,17814,1468,16346,194.333333333333,0.0561809209184714,0.201407811080836
"SPU_000621",-0.149588496114695,4.83133851838767,"SP-LRP1L_1",62.6666666666667,1270.33333333333,0,260.666666666667,24520,2075,22445,62.6666666666667,0.056597608970075,0.125622489959839
"SPU_0006210",-1.02007435320589,5.96852341515426,NA,0,0,0,0,0,0,0,0,0,0
"SPU_0006212",-1.29407796439019,4.35055988031969,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000628",0.687748287633714,4.25946959009208,"SP-ANKRD53",37.3333333333333,0,0,0,4611,2888,1723,37.3333333333333,0,0
